'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/07/2020, ,0.0, , ,18.1,96,29,2.63,15.57
KARRATHA AERO,02/07/2020, , , ,28.7, ,87,28,3.63,13.58
KARRATHA AERO,03/07/2020,6.5,0.0, ,30.6,20.1,71,18,5.74,15.09
KARRATHA AERO,04/07/2020,7.2,0.0, ,31.5,20.4,58,19,5.92,17.09
KARRATHA AERO,05/07/2020,4.9,0.0, ,27.5,17.5,79,39,5.44,17.07
KARRATHA AERO,06/07/2020,4.9,0.0, ,27.1,14.7,80,22,4.32,17.13
KARRATHA AERO,07/07/2020,5.1,0.0, ,27.0,12.9,71,19,4.20,17.18
KARRATHA AERO,08/07/2020,4.7,0.0, ,27.9,12.6,68,16,3.29,17.18
KARRATHA AERO,09/07/2020,5.2,0.0, ,31.3,13.3,81,10,3.28,17.23
KARRATHA AERO,10/07/2020, ,0.0, , ,13.8,64,13,5.31,17.27
KARRATHA AERO,11/07/2020, , , , , ,68,16,5.17,17.31
KARRATHA AERO,12/07/2020,6.3, , ,26.8,16.7,77,14,6.40,17.34
KARRATHA AERO,13/07/2020,5.1,0.0, ,26.9,11.7,78,20,4.46,17.36
KARRATHA AERO,14/07/2020,4.5,0.0, ,28.5,12.8,92,22,3.27,17.46
KARRATHA AERO,15/07/2020,4.7,0.0, ,27.6,13.0,86,27,3.98,17.59
KARRATHA AERO,16/07/2020,4.6,0.0, ,26.4,13.8,88,27,4.28,17.60
KARRATHA AERO,17/07/2020,3.7,0.0, ,27.3,14.1,81,41,2.77,17.71
KARRATHA AERO,18/07/2020,2.6,0.0, ,25.3,21.0,98,47,3.35,7.61
KARRATHA AERO,19/07/2020,3.6,56.0, ,25.4,17.1,91,44,3.19,17.80
KARRATHA AERO,20/07/2020,3.6,0.0, ,25.1,15.0,90,47,3.47,18.08
KARRATHA AERO,21/07/2020,3.8,0.0, ,25.5,14.5,91,40,3.46,18.16
KARRATHA AERO,22/07/2020,4.0,0.0, ,26.9,14.7,98,37,3.48,18.14
KARRATHA AERO,23/07/2020,4.1,0.0, ,26.6,15.5,98,31,3.48,18.31
KARRATHA AERO,24/07/2020,4.1,0.0, ,27.2,15.1,98,33,3.28,18.39
KARRATHA AERO,25/07/2020,5.4,0.0, ,28.4,14.8,84,20,4.38,18.47
KARRATHA AERO,26/07/2020,6.5,0.0, ,28.0,15.4,64,17,5.67,18.56
KARRATHA AERO,27/07/2020,4.7,0.0, ,27.3,13.0,81,26,3.61,18.64
KARRATHA AERO,28/07/2020,4.9,0.0, ,27.3,11.6,77,24,3.73,18.73
KARRATHA AERO,29/07/2020,5.1,0.0, ,27.8,12.6,79,26,4.25,18.82
KARRATHA AERO,30/07/2020,4.8,0.0, ,27.8,13.1,93,21,3.64,18.91
KARRATHA AERO,31/07/2020,5.3,0.0, ,30.6,12.2,93,14,3.32,19.00
Totals:,,129.9,56, ,,,,,, 
