'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/04/2022,5.5,0.0, ,33.9,26.2,90,52,3.68,20.75
KARRATHA AERO,02/04/2022,4.9,0.0, ,34.3,27.7,85,47,3.58,14.69
KARRATHA AERO,03/04/2022,6.0,0.0, ,34.4,24.9,91,48,4.20,22.30
KARRATHA AERO,04/04/2022,7.0,0.0, ,35.4,25.6,88,43,5.57,22.86
KARRATHA AERO,05/04/2022,7.6,0.0, ,36.5,26.1,85,35,5.30,23.09
KARRATHA AERO,06/04/2022,7.1,0.0, ,35.7,24.7,91,40,5.41,23.04
KARRATHA AERO,07/04/2022,7.1,0.0, ,36.1,26.3,86,38,5.05,22.43
KARRATHA AERO,08/04/2022,8.8,0.0, ,37.1,26.6,71,30,6.27,22.59
KARRATHA AERO,09/04/2022,8.3,0.0, ,36.4,25.6,76,37,6.69,22.58
KARRATHA AERO,10/04/2022,9.1,0.0, ,37.3,24.3,72,23,6.29,22.46
KARRATHA AERO,11/04/2022, ,0.0, , ,24.0,62,24,5.26,22.33
KARRATHA AERO,12/04/2022,7.3, , ,35.1,23.2,73,25,4.48,22.23
KARRATHA AERO,13/04/2022,6.6,0.0, ,35.4,21.0,79,30,3.86,22.05
KARRATHA AERO,14/04/2022,7.4,0.0, ,38.1,21.5,79,18,3.88,21.80
KARRATHA AERO,15/04/2022,7.6,0.0, ,35.4,24.1,84,22,5.24,21.58
KARRATHA AERO,16/04/2022,6.7,0.0, ,36.5,27.3,84,32,3.88,21.65
KARRATHA AERO,17/04/2022,7.1,0.0, ,39.5,25.0,73,13,3.08,21.54
KARRATHA AERO,18/04/2022,7.8,0.0, ,36.8,25.4,86,25,5.51,21.19
KARRATHA AERO,19/04/2022,8.0,0.0, ,35.5,25.0,62,30,5.61,20.86
KARRATHA AERO,20/04/2022,7.0,0.0, ,34.7,23.8,66,31,4.63,20.68
KARRATHA AERO,21/04/2022,7.1,0.0, ,34.7,23.4,64,27,4.51,20.99
KARRATHA AERO,22/04/2022,6.5,0.0, ,33.2,22.4,62,18,4.18,15.28
KARRATHA AERO,23/04/2022,7.4,0.0, ,35.3,21.9,72,18,4.59,20.80
KARRATHA AERO,24/04/2022,6.0,0.0, ,33.6,21.2,82,34,4.10,20.70
KARRATHA AERO,25/04/2022,5.6,0.0, ,33.2,21.2,88,35,3.76,20.40
KARRATHA AERO,26/04/2022,5.2,0.0, ,31.4,20.9,97,27,4.38,14.21
KARRATHA AERO,27/04/2022,5.1,0.0, ,31.4,24.6,77,42,4.42,14.71
KARRATHA AERO,28/04/2022,3.2,0.0, ,28.9,25.6,98,34,3.20,6.70
KARRATHA AERO,29/04/2022, ,9.0, , ,21.9,98,62,4.87,10.73
KARRATHA AERO,30/04/2022, , , ,31.3, ,83,36,6.19,13.03
Totals:,,183,9, ,,,,,, 
