'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KATANNING Western Australia for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KATANNING,01/01/2020,8.1,0.0, ,33.4,14.4,83,14,3.50,30.64
KATANNING,02/01/2020,5.7,0.0, ,27.9,13.1,85,31,4.40,18.97
KATANNING,03/01/2020,5.2,0.0, ,19.0,10.0,80,29,5.15,24.37
KATANNING,04/01/2020,6.4,0.0, ,24.2,6.0,76,18,3.74,30.56
KATANNING,05/01/2020,8.9,0.0, ,33.6,9.7,76,11,4.30,30.50
KATANNING,06/01/2020, ,0.0, , ,14.0,48,11,3.34,29.89
KATANNING,07/01/2020, , , , , ,83,11,2.99,30.60
KATANNING,08/01/2020, , , ,32.7, ,63,18,4.00,30.66
KATANNING,09/01/2020,7.3,0.0, ,26.5,15.3,74,24,4.78,30.37
KATANNING,10/01/2020,7.5,0.0, ,26.5,10.7,71,23,5.66,30.09
KATANNING,11/01/2020,8.9,0.0, ,32.2,12.5,74,9,4.70,30.21
KATANNING,12/01/2020,9.1,0.0, ,35.4,12.7,80,13,4.35,30.12
KATANNING,13/01/2020,8.0,0.0, ,28.7,14.4,74,24,5.76,29.83
KATANNING,14/01/2020,7.6,0.0, ,30.1,13.8,81,33,5.78,29.14
KATANNING,15/01/2020,5.5,0.0, ,24.4,12.6,72,42,6.30,18.46
KATANNING,16/01/2020,6.8,0.0, ,30.4,16.2,77,33,4.74,23.68
KATANNING,17/01/2020,6.2,0.0, ,30.0,16.9,88,40,5.35,21.22
KATANNING,18/01/2020,6.3,0.2, ,23.8,14.5,84,32,5.49,28.49
KATANNING,19/01/2020,7.5,0.0, ,28.2,10.6,73,18,4.83,27.84
KATANNING,20/01/2020,7.8,0.0, ,32.2,12.9,82,15,3.68,29.38
KATANNING,21/01/2020,6.4,0.0, ,26.1,13.7,78,32,6.14,22.03
KATANNING,22/01/2020,6.2,0.0, ,25.6,11.3,75,31,6.02,20.60
KATANNING,23/01/2020,6.2,1.0, ,28.0,13.3,89,26,3.92,24.43
KATANNING,24/01/2020,6.4,0.0, ,32.3,9.8,89,17,2.14,27.96
KATANNING,25/01/2020,7.5,0.0, ,32.9,16.4,75,18,3.34,28.31
KATANNING,26/01/2020,7.9,0.0, ,34.6,16.5,82,20,3.45,29.27
KATANNING,27/01/2020,8.9,0.0, ,38.7,14.3,85,10,3.42,28.92
KATANNING,28/01/2020,9.7,0.0, ,41.6,15.6,83,9,3.57,29.07
KATANNING,29/01/2020,8.3,0.0, ,35.4,14.4,87,13,3.65,28.91
KATANNING,30/01/2020,4.8,0.8, ,22.6,14.7,87,33,4.94,16.93
KATANNING,31/01/2020,4.0, , ,20.8,7.9,84,30,3.20,16.67
Totals:,,199.1,2, ,,,,,, 
