'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/06/2014,4.5,0.0, ,33.7,17.3,89,24,2.05,18.95
KUNUNURRA AERO,02/06/2014,5.7,0.0, ,32.9,20.0,71,23,3.48,19.19
KUNUNURRA AERO,03/06/2014,5.8,0.0, ,32.0,19.5,67,20,3.65,19.55
KUNUNURRA AERO,04/06/2014,6.0,0.0, ,32.3,17.8,59,17,3.66,19.52
KUNUNURRA AERO,05/06/2014,6.3,0.0, ,32.1,17.3,58,21,4.14,19.37
KUNUNURRA AERO,06/06/2014,6.8,0.0, ,32.5,19.1,43,23,4.61,19.12
KUNUNURRA AERO,07/06/2014,7.4,0.0, ,30.4,22.9,44,24,5.67,19.30
KUNUNURRA AERO,08/06/2014,6.8,0.0, ,29.4,19.1,49,21,5.21,19.88
KUNUNURRA AERO,09/06/2014,6.5,0.0, ,28.5,19.0,61,14,5.03,20.06
KUNUNURRA AERO,10/06/2014,4.8,0.0, ,27.7,14.1,81,17,3.12,20.22
KUNUNURRA AERO,11/06/2014,3.8,0.0, ,28.5,8.5,92,16,1.74,20.16
KUNUNURRA AERO,12/06/2014,3.6,0.0, ,30.2,9.0,89,16,1.37,19.33
KUNUNURRA AERO,13/06/2014,4.5,0.0, ,29.8,12.5,86,20,2.60,18.95
KUNUNURRA AERO,14/06/2014,5.4,0.0, ,28.0,15.3,79,26,4.72,18.31
KUNUNURRA AERO,15/06/2014,6.5,0.0, ,26.1,17.9,37,18,5.12,19.66
KUNUNURRA AERO,16/06/2014,5.4,0.0, ,25.8,10.9,57,19,4.26,19.86
KUNUNURRA AERO,17/06/2014,5.1,0.0, ,26.8,10.8,70,18,3.70,19.95
KUNUNURRA AERO,18/06/2014,4.4,0.0, ,30.8,11.0,84,28,2.46,18.80
KUNUNURRA AERO,19/06/2014,4.1,0.0, ,32.3,15.0,91,28,1.94,18.18
KUNUNURRA AERO,20/06/2014,4.0,0.0, ,34.1,19.3,83,33,1.71,17.56
KUNUNURRA AERO,21/06/2014,4.0,0.0, ,34.0,17.7,90,28,1.65,18.39
KUNUNURRA AERO,22/06/2014,4.4,0.0, ,33.9,17.8,90,24,2.06,18.66
KUNUNURRA AERO,23/06/2014,4.8,0.0, ,33.0,15.4,87,16,2.41,19.07
KUNUNURRA AERO,24/06/2014,5.2,0.0, ,32.0,13.0,87,11,2.86,19.39
KUNUNURRA AERO,25/06/2014,6.2,0.0, ,30.0,17.0,56,15,4.28,18.73
KUNUNURRA AERO,26/06/2014,5.2,0.0, ,28.0,17.0,79,15,3.72,19.31
KUNUNURRA AERO,27/06/2014, ,0.0, , ,11.0,88,17,1.73,19.23
KUNUNURRA AERO,28/06/2014, , , ,31.1, ,91,15,2.17,19.56
KUNUNURRA AERO,29/06/2014, ,0.0, , ,14.4,52,14,4.12,19.43
KUNUNURRA AERO,30/06/2014, , , , , ,37,8,3.67,19.85
Totals:,,137.2,0, ,,,,,, 
