'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/01/2015,3.4,9.4, ,31.1,22.4,98,66,3.22,11.99
KUNUNURRA AERO,02/01/2015, ,33.6, , ,24.2,98,72,5.21,10.04
KUNUNURRA AERO,03/01/2015, , , , , ,98,75,4.64,7.87
KUNUNURRA AERO,04/01/2015, , , ,30.3, ,96,74,4.04,15.26
KUNUNURRA AERO,05/01/2015,2.5,55.4, ,30.2,24.3,98,73,3.14,8.06
KUNUNURRA AERO,06/01/2015,1.6,12.6, ,30.6,24.5,98,85,3.65,4.65
KUNUNURRA AERO,07/01/2015,3.2,7.4, ,32.8,25.4,100,63,4.19,8.33
KUNUNURRA AERO,08/01/2015,5.5,11.8, ,34.0,25.5,94,55,5.58,16.88
KUNUNURRA AERO,09/01/2015,7.6,0.4, ,35.6,26.3,92,44,8.07,20.44
KUNUNURRA AERO,10/01/2015,7.2,2.2, ,35.0,23.5,93,40,4.11,26.73
KUNUNURRA AERO,11/01/2015,7.0,0.0, ,36.1,25.4,99,38,3.45,25.89
KUNUNURRA AERO,12/01/2015,6.4,46.8, ,36.5,22.0,98,41,2.07,26.85
KUNUNURRA AERO,13/01/2015,7.0,0.0, ,37.8,25.1,96,33,2.32,27.27
KUNUNURRA AERO,14/01/2015,3.5,0.0, ,34.3,26.9,94,45,2.62,8.56
KUNUNURRA AERO,15/01/2015,4.1,19.0, ,32.5,23.5,99,55,2.95,14.44
KUNUNURRA AERO,16/01/2015,5.2,0.2, ,35.7,27.0,93,46,2.64,17.87
KUNUNURRA AERO,17/01/2015,3.0,12.4, ,31.1,24.1,98,71,2.44,11.50
KUNUNURRA AERO,18/01/2015,4.5,8.0, ,32.7,24.2,96,63,3.29,17.52
KUNUNURRA AERO,19/01/2015,5.7,0.4, ,34.0,25.9,96,49,3.09,21.63
KUNUNURRA AERO,20/01/2015,6.6,0.2, ,35.2,24.4,96,38,2.40,26.71
KUNUNURRA AERO,21/01/2015,5.0,0.0, ,34.9,25.5,95,42,2.35,17.61
KUNUNURRA AERO,22/01/2015,7.2,0.0, ,38.8,25.8,86,39,2.74,26.35
KUNUNURRA AERO,23/01/2015,6.1,0.0, ,38.4,27.1,97,30,1.72,23.01
KUNUNURRA AERO,24/01/2015,7.5,0.0, ,40.0,25.1,91,25,2.30,27.82
KUNUNURRA AERO,25/01/2015,7.0,0.0, ,37.9,27.0,96,39,3.06,25.22
KUNUNURRA AERO,26/01/2015,7.0,0.0, ,37.1,25.9,84,38,3.13,24.82
KUNUNURRA AERO,27/01/2015,3.2,2.2, ,33.8,26.1,96,59,2.30,9.92
KUNUNURRA AERO,28/01/2015,6.4,17.2, ,35.2,23.8,96,43,2.37,26.59
KUNUNURRA AERO,29/01/2015,6.4,7.8, ,34.2,23.8,96,48,3.12,26.38
KUNUNURRA AERO,30/01/2015,5.3,12.0, ,34.8,24.1,96,50,2.16,21.34
KUNUNURRA AERO,31/01/2015,6.2,4.0, ,35.1,25.0,94,45,2.13,25.90
Totals:,,151.3,263, ,,,,,, 
