'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/04/2017,6.8,0.0, ,35.1,23.1,82,26,3.22,24.66
KUNUNURRA AERO,02/04/2017,6.6,0.0, ,33.6,18.6,80,21,3.24,24.64
KUNUNURRA AERO,03/04/2017,6.5,0.0, ,34.3,19.1,85,21,2.95,24.47
KUNUNURRA AERO,04/04/2017,5.3,0.0, ,34.6,17.6,89,25,1.88,22.46
KUNUNURRA AERO,05/04/2017,5.6,0.0, ,35.9,17.5,88,26,1.81,24.33
KUNUNURRA AERO,06/04/2017,5.5,0.0, ,36.7,20.9,87,31,1.57,24.04
KUNUNURRA AERO,07/04/2017,5.2,0.0, ,35.9,22.8,94,44,2.09,20.93
KUNUNURRA AERO,08/04/2017,5.2,0.0, ,36.4,23.3,92,37,1.64,21.50
KUNUNURRA AERO,09/04/2017,5.8,0.0, ,36.7,22.3,94,23,2.45,20.36
KUNUNURRA AERO,10/04/2017,7.3,0.0, ,36.0,19.0,82,21,3.93,23.46
KUNUNURRA AERO,11/04/2017,6.6,0.0, ,32.1,21.7,61,25,4.28,18.23
KUNUNURRA AERO,12/04/2017,5.6,0.0, ,31.3,23.2,80,25,3.99,14.93
KUNUNURRA AERO,13/04/2017,4.5,2.6, ,33.4,20.3,97,53,3.44,16.64
KUNUNURRA AERO,14/04/2017,3.6,6.2, ,31.7,24.0,97,60,2.17,15.04
KUNUNURRA AERO,15/04/2017,4.9,13.0, ,34.7,23.7,98,50,1.71,21.56
KUNUNURRA AERO,16/04/2017,5.1,0.0, ,35.4,24.2,96,41,1.64,22.46
KUNUNURRA AERO,17/04/2017,5.2,0.0, ,35.3,22.5,96,40,1.82,22.79
KUNUNURRA AERO,18/04/2017,5.1,0.0, ,35.2,24.4,96,44,2.11,21.47
KUNUNURRA AERO,19/04/2017,5.1,0.0, ,35.4,24.1,96,41,1.70,22.13
KUNUNURRA AERO,20/04/2017,5.1,0.0, ,35.9,22.3,93,38,1.69,22.10
KUNUNURRA AERO,21/04/2017,5.3,0.0, ,37.0,23.3,93,33,1.83,21.72
KUNUNURRA AERO,22/04/2017,5.0,0.0, ,36.3,22.9,94,35,1.50,21.82
KUNUNURRA AERO,23/04/2017,5.1,0.0, ,36.0,22.3,92,37,1.72,22.04
KUNUNURRA AERO,24/04/2017,5.0,0.0, ,36.3,22.8,92,35,1.48,22.00
KUNUNURRA AERO,25/04/2017,4.0,0.0, ,35.8,22.1,94,35,0.96,18.03
KUNUNURRA AERO,26/04/2017,5.3,0.0, ,36.8,21.2,90,32,2.00,21.73
KUNUNURRA AERO,27/04/2017,7.1,0.0, ,33.3,25.2,61,31,4.86,20.46
KUNUNURRA AERO,28/04/2017,6.3,0.0, ,29.6,24.2,53,23,4.27,16.17
KUNUNURRA AERO,29/04/2017,6.2,0.0, ,30.7,21.0,64,21,3.67,21.25
KUNUNURRA AERO,30/04/2017,4.5,0.0, ,32.2,17.9,70,21,1.88,18.16
Totals:,,164.4,21.8, ,,,,,, 
