'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for August 2019,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/08/2019,7.7,0.0, ,32.9,16.1,47,15,5.06,20.56
KUNUNURRA AERO,02/08/2019,8.3,0.0, ,28.6,20.7,24,11,5.83,20.55
KUNUNURRA AERO,03/08/2019,6.0,0.0, ,29.1,15.3,63,13,3.86,20.66
KUNUNURRA AERO,04/08/2019,5.7,0.0, ,31.5,12.7,72,19,3.20,20.70
KUNUNURRA AERO,05/08/2019,4.6,0.0, ,32.9,12.0,82,19,1.77,20.77
KUNUNURRA AERO,06/08/2019,4.7,0.0, ,33.9,13.5,83,18,1.77,20.91
KUNUNURRA AERO,07/08/2019,5.2,0.0, ,34.2,14.5,90,20,2.30,20.71
KUNUNURRA AERO,08/08/2019,5.1,0.0, ,33.6,15.0,85,13,2.16,21.08
KUNUNURRA AERO,09/08/2019,5.2,0.0, ,34.1,14.1,81,17,2.19,21.09
KUNUNURRA AERO,10/08/2019,6.2,0.0, ,34.5,16.6,69,14,3.04,21.11
KUNUNURRA AERO,11/08/2019,6.9,0.0, ,32.9,14.6,57,11,3.85,21.33
KUNUNURRA AERO,12/08/2019,7.3,0.0, ,30.7,18.7,38,10,4.37,21.43
KUNUNURRA AERO,13/08/2019,6.2,0.0, ,29.9,13.1,59,9,3.54,21.54
KUNUNURRA AERO,14/08/2019,5.5,0.0, ,29.6,11.9,86,8,2.91,21.61
KUNUNURRA AERO,15/08/2019,4.8,0.0, ,31.9,7.6,81,7,1.79,21.75
KUNUNURRA AERO,16/08/2019,4.6,0.0, ,33.7,10.0,85,11,1.49,21.81
KUNUNURRA AERO,17/08/2019,5.0,0.0, ,34.9,11.8,77,14,1.73,21.78
KUNUNURRA AERO,18/08/2019,5.8,0.0, ,34.1,14.3,88,15,2.70,21.94
KUNUNURRA AERO,19/08/2019,7.8,0.0, ,34.0,15.1,68,13,4.79,21.99
KUNUNURRA AERO,20/08/2019,8.9,0.0, ,29.3,22.6,18,10,5.78,22.11
KUNUNURRA AERO,21/08/2019,7.5,0.0, ,29.0,19.2,44,10,4.85,22.24
KUNUNURRA AERO,22/08/2019,5.6,0.0, ,31.3,11.0,70,10,2.55,22.30
KUNUNURRA AERO,23/08/2019,5.0,0.0, ,32.8,10.3,78,8,1.73,22.42
KUNUNURRA AERO,24/08/2019,5.3,0.0, ,34.4,9.8,83,7,1.87,22.52
KUNUNURRA AERO,25/08/2019,5.8,0.0, ,35.4,10.4,81,7,2.13,22.54
KUNUNURRA AERO,26/08/2019,5.9,0.0, ,34.3,13.4,90,13,2.50,22.55
KUNUNURRA AERO,27/08/2019,6.4,0.0, ,34.7,13.5,90,11,2.97,22.75
KUNUNURRA AERO,28/08/2019,8.7,0.0, ,35.2,15.6,48,7,4.73,22.88
KUNUNURRA AERO,29/08/2019,7.8,0.0, ,30.9,18.2,52,5,4.58,23.00
KUNUNURRA AERO,30/08/2019,5.7,0.0, ,31.2,8.6,71,6,2.48,23.06
KUNUNURRA AERO,31/08/2019,5.9,0.0, ,33.7,8.2,78,5,2.25,23.21
Totals:,,191.1,0, ,,,,,, 
