'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for May 2020,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/05/2020,8.4,0.0, ,33.5,24.4,35,18,5.17,21.48
KUNUNURRA AERO,02/05/2020,6.7,0.0, ,30.7,20.9,53,15,4.06,21.40
KUNUNURRA AERO,03/05/2020,6.4,0.0, ,30.8,14.1,62,14,3.85,21.31
KUNUNURRA AERO,04/05/2020,6.3,0.0, ,32.2,18.2,71,13,3.57,21.04
KUNUNURRA AERO,05/05/2020,5.6,0.0, ,32.1,16.7,74,16,3.09,19.32
KUNUNURRA AERO,06/05/2020,4.5,0.0, ,33.5,13.0,81,11,1.53,20.64
KUNUNURRA AERO,07/05/2020,4.6,0.0, ,35.0,12.6,89,15,1.54,20.85
KUNUNURRA AERO,08/05/2020,4.5,0.0, ,35.1,15.2,87,17,1.49,20.78
KUNUNURRA AERO,09/05/2020,5.1,0.0, ,35.8,16.1,86,21,2.04,20.68
KUNUNURRA AERO,10/05/2020,6.1,0.0, ,35.9,21.7,75,18,3.00,20.60
KUNUNURRA AERO,11/05/2020,6.3,0.0, ,32.9,21.5,62,16,3.52,20.49
KUNUNURRA AERO,12/05/2020,5.5,0.0, ,32.8,14.9,71,15,2.73,20.40
KUNUNURRA AERO,13/05/2020,5.5,0.0, ,32.9,17.6,65,12,2.67,20.32
KUNUNURRA AERO,14/05/2020,5.5,0.0, ,32.8,13.7,63,14,2.72,20.22
KUNUNURRA AERO,15/05/2020,6.2,0.0, ,32.9,16.0,63,18,3.59,20.04
KUNUNURRA AERO,16/05/2020,5.8,0.0, ,33.2,18.2,63,22,3.23,19.67
KUNUNURRA AERO,17/05/2020,6.6,0.0, ,33.7,20.3,57,26,4.15,19.96
KUNUNURRA AERO,18/05/2020,6.1,0.0, ,33.1,22.0,64,19,3.42,19.94
KUNUNURRA AERO,19/05/2020,4.9,0.0, ,33.5,16.4,80,19,2.42,17.31
KUNUNURRA AERO,20/05/2020,4.7,0.0, ,28.8,21.8,60,26,3.64,9.34
KUNUNURRA AERO,21/05/2020,2.0,0.4, ,20.2,19.7,95,65,3.80,6.36
KUNUNURRA AERO,22/05/2020,2.6,9.4, ,20.4,17.9,93,53,4.67,8.10
KUNUNURRA AERO,23/05/2020,5.5,0.0, ,24.9,15.3,73,28,5.54,19.66
KUNUNURRA AERO,24/05/2020,5.0,0.0, ,26.2,14.3,85,18,3.89,19.70
KUNUNURRA AERO,25/05/2020,3.9,0.0, ,28.6,10.4,87,21,1.88,19.12
KUNUNURRA AERO,26/05/2020,4.1,0.0, ,31.2,13.6,92,23,1.93,18.57
KUNUNURRA AERO,27/05/2020,4.2,0.0, ,33.3,18.7,84,28,1.89,17.10
KUNUNURRA AERO,28/05/2020, ,0.0, , ,23.1,71,1,2.80,18.00
KUNUNURRA AERO,29/05/2020, , , ,33.4, ,36,1,1.78,19.43
KUNUNURRA AERO,30/05/2020,4.0, , ,34.7,16.9,78,2,1.36,19.39
KUNUNURRA AERO,31/05/2020,3.8,0.0, ,35.7,18.5,82,1,1.14,19.32
Totals:,,150.4,9.8, ,,,,,, 
