'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KUNUNURRA AERO Western Australia for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KUNUNURRA AERO,01/02/2022,4.9,13.4, ,33.4,24.7,96,61,5.27,16.50
KUNUNURRA AERO,02/02/2022,6.0,2.2, ,34.1,23.7,91,56,4.46,22.75
KUNUNURRA AERO,03/02/2022,5.7,0.0, ,33.6,24.0,98,55,3.09,23.56
KUNUNURRA AERO,04/02/2022,3.7,3.0, ,32.6,24.7,98,69,1.87,15.45
KUNUNURRA AERO,05/02/2022,4.0,8.2, ,31.8,25.4,98,70,2.29,17.29
KUNUNURRA AERO,06/02/2022,4.8,40.4, ,34.0,24.2,99,59,2.11,19.97
KUNUNURRA AERO,07/02/2022,5.9,74.0, ,35.0,22.8,98,53,2.54,25.01
KUNUNURRA AERO,08/02/2022,5.9,0.0, ,36.5,25.1,98,48,2.04,23.89
KUNUNURRA AERO,09/02/2022,5.9,0.0, ,35.6,24.9,92,52,2.63,23.34
KUNUNURRA AERO,10/02/2022,5.7,2.2, ,35.5,24.6,97,50,2.13,23.18
KUNUNURRA AERO,11/02/2022,6.9,0.2, ,37.6,24.9,96,40,2.20,28.27
KUNUNURRA AERO,12/02/2022,6.0,1.6, ,36.3,24.8,95,47,2.58,23.30
KUNUNURRA AERO,13/02/2022,7.3,0.0, ,38.9,24.8,97,38,2.43,28.56
KUNUNURRA AERO,14/02/2022,4.3,15.2, ,33.3,23.2,97,58,3.45,14.65
KUNUNURRA AERO,15/02/2022,6.5,7.6, ,36.4,22.4,96,45,2.45,26.88
KUNUNURRA AERO,16/02/2022,6.7,0.0, ,37.6,23.7,96,34,1.96,27.75
KUNUNURRA AERO,17/02/2022,6.6,0.0, ,38.0,24.8,93,38,1.86,27.03
KUNUNURRA AERO,18/02/2022,5.4,0.0, ,36.0,25.5,93,50,2.59,20.17
KUNUNURRA AERO,19/02/2022,6.7,0.0, ,37.6,24.3,96,39,2.03,27.27
KUNUNURRA AERO,20/02/2022,6.5,0.0, ,37.9,24.1,92,42,1.76,27.24
KUNUNURRA AERO,21/02/2022,6.9,0.0, ,37.6,25.2,97,40,2.34,27.87
KUNUNURRA AERO,22/02/2022,6.7,0.0, ,37.0,25.5,92,42,2.21,27.44
KUNUNURRA AERO,23/02/2022,6.5,0.0, ,36.1,26.5,93,47,2.95,24.91
KUNUNURRA AERO,24/02/2022,6.9,0.0, ,37.1,25.8,90,37,2.87,25.81
KUNUNURRA AERO,25/02/2022,5.5,0.0, ,34.4,23.9,93,51,2.50,22.37
KUNUNURRA AERO,26/02/2022,5.8,0.0, ,35.1,25.3,89,53,3.69,20.59
KUNUNURRA AERO,27/02/2022,4.8,1.2, ,32.0,25.8,92,61,5.10,16.48
KUNUNURRA AERO,28/02/2022,4.7,7.6, ,32.0,24.0,97,65,3.37,19.83
Totals:,,163.2,176.8, ,,,,,, 
