'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAKE GRACE Western Australia for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAKE GRACE,01/05/2010,2.8,0.0, ,20.4,12.6,93,35,2.94,14.66
LAKE GRACE,02/05/2010,2.7,0.0, ,22.6,5.5,84,37,1.95,17.34
LAKE GRACE,03/05/2010,3.0,0.0, ,20.7,7.0,87,31,3.02,15.53
LAKE GRACE,04/05/2010,2.8,0.0, ,18.2,8.3,74,38,3.10,16.26
LAKE GRACE,05/05/2010,2.3,0.0, ,21.7,3.7,87,24,1.24,17.25
LAKE GRACE,06/05/2010,2.8,0.0, ,23.9,3.8,80,21,1.67,16.72
LAKE GRACE,07/05/2010,2.8,0.0, ,25.9,9.0,99,20,1.60,16.91
LAKE GRACE,08/05/2010,3.9,0.0, ,28.1,5.6,90,12,2.40,16.92
LAKE GRACE,09/05/2010,2.4,0.0, ,20.7,12.3,93,49,2.89,14.77
LAKE GRACE,10/05/2010,2.3,0.0, ,16.2,7.4,95,42,3.56,13.69
LAKE GRACE,11/05/2010,3.0,0.0, ,18.5,7.2,85,31,3.65,16.09
LAKE GRACE,12/05/2010,4.8,0.0, ,25.4,7.1,65,15,4.20,16.24
LAKE GRACE,13/05/2010,1.5,0.8, ,15.4,7.7,96,68,4.43,8.08
LAKE GRACE,14/05/2010,2.0,28.4, ,13.5,8.1,96,54,5.89,12.47
LAKE GRACE,15/05/2010,1.9,0.0, ,15.1,9.1,84,49,2.60,12.58
LAKE GRACE,16/05/2010,2.0,0.0, ,18.7,9.2,89,47,2.00,14.74
LAKE GRACE,17/05/2010,2.1,0.0, ,19.2,5.8,94,36,1.90,15.32
LAKE GRACE,18/05/2010,3.3,0.0, ,24.2,8.4,81,19,2.81,15.33
LAKE GRACE,19/05/2010,2.6,0.0, ,23.5,8.9,78,33,2.06,15.08
LAKE GRACE,20/05/2010,3.0,0.0, ,25.5,8.4,96,20,2.45,14.78
LAKE GRACE,21/05/2010,3.9,0.0, ,24.0,9.4,67,23,3.86,15.19
LAKE GRACE,22/05/2010,2.2,0.0, ,18.1,14.3,94,48,4.53,8.17
LAKE GRACE,23/05/2010,2.5,12.8, ,14.4,10.6,90,49,7.21,12.71
LAKE GRACE,24/05/2010,1.6,0.0, ,14.5,10.4,92,59,3.46,10.06
LAKE GRACE,25/05/2010,1.2,0.0, ,15.2,5.4,95,54,1.07,12.36
LAKE GRACE,26/05/2010,2.4,0.0, ,19.2,6.0,95,38,3.26,14.55
LAKE GRACE,27/05/2010,1.8,2.0, ,15.4,10.5,94,61,4.66,11.34
LAKE GRACE,28/05/2010,1.8,0.2, ,16.8,5.2,95,51,2.52,14.44
LAKE GRACE,29/05/2010,2.0,0.2, ,18.6,5.8,94,42,2.48,14.05
LAKE GRACE,30/05/2010,2.4,0.0, ,20.5,4.8,93,32,2.52,14.19
LAKE GRACE,31/05/2010,1.8,0.0, ,19.2,5.6,91,49,2.05,13.81
Totals:,,77.6,44.4, ,,,,,, 
