'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LANCELIN (DEFENCE) Western Australia for September 2018,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 October 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LANCELIN (DEFENCE),01/09/2018,2.2,0.2, ,18.4,10.0,100,61,2.45,14.27
LANCELIN (DEFENCE),02/09/2018,2.8,0.2, ,19.6,4.3,99,48,2.44,19.16
LANCELIN (DEFENCE),03/09/2018,2.7,0.0, ,19.8,7.3,100,62,2.79,19.23
LANCELIN (DEFENCE),04/09/2018,2.8,10.4, ,18.6,11.9,99,59,5.90,15.55
LANCELIN (DEFENCE),05/09/2018,2.7,1.6, ,15.7,13.2,97,56,6.59,14.79
LANCELIN (DEFENCE),06/09/2018,2.3,2.8, ,16.4,8.7,100,69,2.16,17.70
LANCELIN (DEFENCE),07/09/2018,2.3,4.8, ,18.5,8.9,100,68,3.54,15.73
LANCELIN (DEFENCE),08/09/2018,2.4,2.2, ,20.1,10.7,100,77,2.83,17.89
LANCELIN (DEFENCE),09/09/2018,3.0,1.2, ,22.0,9.4,100,68,3.40,20.36
LANCELIN (DEFENCE),10/09/2018,2.6,0.2, ,20.3,11.1,100,70,5.54,15.77
LANCELIN (DEFENCE),11/09/2018,3.3,6.6, ,17.5,14.4,81,55,4.34,18.06
LANCELIN (DEFENCE),12/09/2018,2.6,0.0, ,16.7,10.6,87,65,2.56,17.64
LANCELIN (DEFENCE),13/09/2018,2.4,0.0, ,18.2,10.6,98,70,4.08,16.32
LANCELIN (DEFENCE),14/09/2018,2.9,1.0, ,18.0,14.1,100,57,6.52,15.57
LANCELIN (DEFENCE),15/09/2018,3.8,0.0, ,20.1,6.0,92,39,4.22,21.13
LANCELIN (DEFENCE),16/09/2018,3.6,0.0, ,18.4,4.7,93,41,4.59,20.35
LANCELIN (DEFENCE),17/09/2018,2.9,0.4, ,17.4,9.7,99,57,5.89,17.32
LANCELIN (DEFENCE),18/09/2018,3.3,0.2, ,18.3,8.4,94,53,4.63,20.69
LANCELIN (DEFENCE),19/09/2018,2.8,0.0, ,18.7,9.9,99,75,3.67,21.91
LANCELIN (DEFENCE),20/09/2018,4.3,0.0, ,26.6,4.9,100,40,2.92,22.05
LANCELIN (DEFENCE),21/09/2018,3.4,0.0, ,21.1,10.0,100,59,3.65,21.72
LANCELIN (DEFENCE),22/09/2018,3.0,0.0, ,21.8,9.1,100,76,2.91,21.46
LANCELIN (DEFENCE),23/09/2018,3.2,0.2, ,23.0,8.4,100,73,2.50,22.56
LANCELIN (DEFENCE),24/09/2018,2.9,0.0, ,20.4,9.5,100,82,2.26,22.42
LANCELIN (DEFENCE),25/09/2018,2.9,0.0, ,20.7,7.2,100,80,3.02,22.68
LANCELIN (DEFENCE),26/09/2018,3.3,0.0, ,19.7,10.3,100,66,5.18,23.02
LANCELIN (DEFENCE),27/09/2018,3.3,0.0, ,20.6,7.4,100,67,5.37,23.14
LANCELIN (DEFENCE),28/09/2018,5.3,0.0, ,26.4,10.8,89,49,6.67,23.27
LANCELIN (DEFENCE),29/09/2018,4.9,0.2, ,27.2,13.3,100,47,6.53,18.06
LANCELIN (DEFENCE),30/09/2018,2.8,5.2, ,19.4,12.8,100,87,4.70,23.00
Totals:,,92.7,37.4, ,,,,,, 
