'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/05/2010,6.1,0.0, ,27.8,15.8,53,26,5.42,19.30
LAVERTON AERO,02/05/2010,4.8,0.0, ,25.3,15.9,78,38,5.74,18.54
LAVERTON AERO,03/05/2010,4.5,0.0, ,29.1,12.9,79,26,3.08,18.91
LAVERTON AERO,04/05/2010, ,0.0, , ,13.5,74,33,5.64,19.01
LAVERTON AERO,05/05/2010, ,0.0, ,23.1, ,67,25,4.19,19.14
LAVERTON AERO,06/05/2010,4.2,0.0, ,24.8,9.4,69,22,3.15,18.98
LAVERTON AERO,07/05/2010,5.3,0.0, ,25.8,10.7,56,16,4.23,18.95
LAVERTON AERO,08/05/2010,4.9,0.0, ,27.1,12.4,56,24,3.75,18.44
LAVERTON AERO,09/05/2010,4.7,0.0, ,27.3,12.6,53,19,3.21,18.27
LAVERTON AERO,10/05/2010,3.8,0.0, ,21.9,10.4,77,43,4.95,17.76
LAVERTON AERO,11/05/2010,4.1,0.0, ,20.0,9.6,73,37,6.11,18.20
LAVERTON AERO,12/05/2010,5.1,0.0, ,26.1,11.1,66,11,4.12,17.92
LAVERTON AERO,13/05/2010,7.3,0.0, ,27.9,14.7,55,16,7.85,15.29
LAVERTON AERO,14/05/2010,3.9,0.0, ,17.7,10.1,78,39,8.00,15.59
LAVERTON AERO,15/05/2010,2.4,0.2, ,16.6,9.6,98,51,5.05,13.88
LAVERTON AERO,16/05/2010,2.4,0.0, ,18.3,2.4,87,32,1.84,17.76
LAVERTON AERO,17/05/2010,3.6,0.0, ,22.0,7.4,81,31,3.64,17.46
LAVERTON AERO,18/05/2010,4.3,0.0, ,24.9,10.0,69,21,3.75,16.80
LAVERTON AERO,19/05/2010,2.6,6.6, ,21.9,13.9,92,48,3.08,13.85
LAVERTON AERO,20/05/2010,3.8,0.0, ,22.2,10.7,99,30,5.17,16.59
LAVERTON AERO,21/05/2010,2.2,0.0, ,19.9,10.4,86,63,3.99,10.61
LAVERTON AERO,22/05/2010,3.4,4.8, ,24.6,15.6,99,48,5.64,14.18
LAVERTON AERO,23/05/2010,3.5,3.8, ,19.2,13.7,86,49,8.25,14.19
LAVERTON AERO,24/05/2010,2.3,0.0, ,15.6,9.5,79,61,5.45,12.15
LAVERTON AERO,25/05/2010,2.2,0.0, ,18.1,11.0,88,49,2.83,12.28
LAVERTON AERO,26/05/2010,3.3,0.0, ,21.1,8.7,89,35,4.45,15.93
LAVERTON AERO,27/05/2010,3.3,0.0, ,18.5,9.1,88,42,7.27,13.47
LAVERTON AERO,28/05/2010,2.4,2.6, ,17.5,8.5,98,44,3.88,15.03
LAVERTON AERO,29/05/2010,2.8,0.0, ,18.8,5.6,94,38,3.90,16.25
LAVERTON AERO,30/05/2010,3.2,0.0, ,20.1,5.3,85,32,3.95,16.27
LAVERTON AERO,31/05/2010,3.6,0.0, ,21.4,9.0,63,29,3.84,15.84
Totals:,,110,18, ,,,,,, 
