'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/07/2014,3.1,0.0, ,22.0,3.2,78,20,3.00,13.39
LAVERTON AERO,02/07/2014,4.5,0.0, ,22.6,7.8,50,19,4.84,13.52
LAVERTON AERO,03/07/2014,2.2,0.0, ,17.6,6.0,88,39,2.69,13.16
LAVERTON AERO,04/07/2014,3.4,0.0, ,21.4,6.6,67,32,4.01,13.63
LAVERTON AERO,05/07/2014,3.0,0.0, ,23.8,6.2,72,24,2.57,13.63
LAVERTON AERO,06/07/2014,4.6,0.0, ,23.5,6.0,58,17,4.82,13.82
LAVERTON AERO,07/07/2014,3.9,0.0, ,19.3,8.1,61,32,5.98,11.86
LAVERTON AERO,08/07/2014,3.0,0.0, ,15.7,7.9,94,38,7.71,12.58
LAVERTON AERO,09/07/2014,2.0,0.0, ,14.6,1.1,93,40,2.95,13.72
LAVERTON AERO,10/07/2014,2.1,0.0, ,16.0,1.9,83,36,2.62,13.86
LAVERTON AERO,11/07/2014,2.5,0.0, ,17.0,1.6,79,33,3.28,13.52
LAVERTON AERO,12/07/2014,3.2,0.0, ,16.8,3.3,76,35,5.89,13.91
LAVERTON AERO,13/07/2014,2.6,0.2, ,16.7,7.7,76,41,4.50,7.94
LAVERTON AERO,14/07/2014,3.3,0.0, ,19.4,6.9,87,37,5.59,13.04
LAVERTON AERO,15/07/2014,2.4,0.0, ,16.9,2.8,96,31,3.15,14.25
LAVERTON AERO,16/07/2014,2.2,0.0, ,16.9,3.8,74,44,2.83,11.88
LAVERTON AERO,17/07/2014,2.5,0.0, ,16.0,6.2,77,41,4.20,10.96
LAVERTON AERO,18/07/2014,1.8,0.0, ,15.1,6.9,97,49,3.83,6.04
LAVERTON AERO,19/07/2014,1.2,2.6, ,13.8,9.0,98,71,2.27,6.71
LAVERTON AERO,20/07/2014,3.1,0.2, ,19.3,6.3,98,32,4.59,14.12
LAVERTON AERO,21/07/2014,2.5,0.0, ,19.4,6.1,98,40,3.06,14.32
LAVERTON AERO,22/07/2014,3.4,0.0, ,19.1,6.4,80,35,5.42,12.66
LAVERTON AERO,23/07/2014,1.9,0.2, ,14.6,2.0,98,48,3.67,9.30
LAVERTON AERO,24/07/2014,2.4,0.0, ,17.9,0.5,97,41,3.24,14.53
LAVERTON AERO,25/07/2014,2.3,0.0, ,20.2,0.0,89,24,1.70,15.17
LAVERTON AERO,26/07/2014,4.4,0.0, ,22.8,5.2,70,20,4.76,15.39
LAVERTON AERO,27/07/2014,2.9,0.0, ,22.5,6.2,86,38,2.78,14.60
LAVERTON AERO,28/07/2014,2.3,0.0, ,21.1,5.7,83,32,1.68,14.26
LAVERTON AERO,29/07/2014,2.6,0.0, ,21.2,2.2,75,28,1.86,15.47
LAVERTON AERO,30/07/2014,3.4,0.0, ,23.7,3.6,72,24,2.70,15.47
LAVERTON AERO,31/07/2014,2.9,0.0, ,18.7,2.9,86,36,3.57,15.47
Totals:,,87.6,3.2, ,,,,,, 
