'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/03/2016,7.1,0.0, ,37.6,26.1,80,26,4.17,18.23
LAVERTON AERO,02/03/2016,8.8,7.0, ,36.8,20.6,74,25,5.42,25.33
LAVERTON AERO,03/03/2016,8.8,0.0, ,38.8,23.1,63,18,5.07,19.30
LAVERTON AERO,04/03/2016,6.5,0.2, ,33.0,25.7,63,23,4.67,12.23
LAVERTON AERO,05/03/2016,7.3,0.0, ,29.9,19.5,68,23,4.83,25.72
LAVERTON AERO,06/03/2016,6.8,0.0, ,29.2,17.2,75,33,5.26,25.49
LAVERTON AERO,07/03/2016,5.8,0.0, ,27.6,17.5,75,40,6.20,17.83
LAVERTON AERO,08/03/2016,6.8,0.0, ,31.5,17.7,84,29,4.44,24.94
LAVERTON AERO,09/03/2016,7.6,0.0, ,32.6,18.9,71,25,5.00,25.07
LAVERTON AERO,10/03/2016,9.0,0.0, ,37.0,20.9,63,16,5.06,24.59
LAVERTON AERO,11/03/2016,7.1,0.0, ,36.1,24.1,74,22,5.96,8.17
LAVERTON AERO,12/03/2016,8.0,1.2, ,33.6,20.2,80,34,7.14,23.01
LAVERTON AERO,13/03/2016,8.0,0.0, ,34.5,19.6,70,25,5.65,22.00
LAVERTON AERO,14/03/2016,6.2,0.0, ,30.1,20.9,79,41,7.05,16.28
LAVERTON AERO,15/03/2016,7.2,0.0, ,32.9,19.3,71,31,5.01,23.50
LAVERTON AERO,16/03/2016,8.0,0.0, ,36.7,22.2,67,17,4.53,21.63
LAVERTON AERO,17/03/2016,4.8,3.0, ,30.0,21.1,98,49,6.48,14.40
LAVERTON AERO,18/03/2016,1.7,8.0, ,18.2,13.9,99,71,6.46,3.61
LAVERTON AERO,19/03/2016,1.9,12.6, ,20.6,13.9,99,82,5.83,9.44
LAVERTON AERO,20/03/2016,4.5,19.8, ,28.6,14.0,98,56,4.47,20.66
LAVERTON AERO,21/03/2016,5.6,0.0, ,32.5,19.2,95,44,5.65,17.29
LAVERTON AERO,22/03/2016,3.7,23.6, ,26.8,19.4,100,63,4.97,16.56
LAVERTON AERO,23/03/2016,3.8,0.8, ,28.0,18.7,100,63,3.52,18.08
LAVERTON AERO,24/03/2016,4.8,0.0, ,29.2,18.7,99,58,5.14,21.87
LAVERTON AERO,25/03/2016,5.8,0.0, ,29.1,18.7,87,42,6.25,20.13
LAVERTON AERO,26/03/2016,5.3,0.0, ,27.3,17.9,82,43,6.11,17.91
LAVERTON AERO,27/03/2016,2.6,4.8, ,26.0,17.3,100,71,4.95,10.03
LAVERTON AERO,28/03/2016,1.8,19.6, ,19.5,15.1,100,73,5.35,6.29
LAVERTON AERO,29/03/2016,3.4,2.0, ,22.3,15.2,91,54,4.62,14.42
LAVERTON AERO,30/03/2016,5.1,0.0, ,26.5,13.2,93,35,4.33,22.63
LAVERTON AERO,31/03/2016,6.0,0.0, ,31.4,16.0,76,27,3.70,22.34
Totals:,,179.8,102.6, ,,,,,, 
