'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for August 2019,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/08/2019,4.5,0.0, ,21.0,7.3,75,30,6.77,15.58
LAVERTON AERO,02/08/2019,4.9,0.0, ,21.2,8.3,58,19,5.74,15.70
LAVERTON AERO,03/08/2019,6.0,0.0, ,23.4,9.4,33,8,5.65,15.79
LAVERTON AERO,04/08/2019,5.8,0.0, ,25.3,10.5,19,6,4.49,15.89
LAVERTON AERO,05/08/2019,4.6,0.0, ,25.5,9.4,54,14,3.54,15.75
LAVERTON AERO,06/08/2019,3.5,0.0, ,21.8,8.8,93,26,3.70,15.11
LAVERTON AERO,07/08/2019,3.0,0.0, ,17.2,7.1,92,28,4.07,14.03
LAVERTON AERO,08/08/2019,2.5,0.0, ,17.4,-0.1,61,29,1.95,16.36
LAVERTON AERO,09/08/2019,2.9,0.0, ,18.0,1.4,64,31,2.85,16.34
LAVERTON AERO,10/08/2019,3.4,0.0, ,19.2,6.9,72,35,3.97,15.65
LAVERTON AERO,11/08/2019,3.5,0.0, ,19.4,5.3,79,33,4.24,16.59
LAVERTON AERO,12/08/2019,4.2,0.0, ,21.0,7.1,73,26,4.81,16.83
LAVERTON AERO,13/08/2019,6.2,0.0, ,26.4,10.6,48,13,5.42,16.90
LAVERTON AERO,14/08/2019,3.5,0.0, ,21.6,15.3,100,17,4.55,6.30
LAVERTON AERO,15/08/2019,2.4,2.0, ,15.7,8.1,100,51,4.45,14.94
LAVERTON AERO,16/08/2019,2.8,0.0, ,18.4,8.4,100,39,3.23,15.43
LAVERTON AERO,17/08/2019,4.3,0.0, ,17.1,8.0,72,22,6.24,17.47
LAVERTON AERO,18/08/2019,3.8,0.0, ,17.1,4.0,71,23,4.51,17.57
LAVERTON AERO,19/08/2019,4.1,0.0, ,18.1,4.5,63,26,5.16,17.70
LAVERTON AERO,20/08/2019,4.3,0.0, ,20.1,3.9,70,19,4.49,17.85
LAVERTON AERO,21/08/2019,5.2,0.0, ,22.4,4.0,60,13,4.88,17.95
LAVERTON AERO,22/08/2019,6.3,0.0, ,25.1,5.8,37,7,5.13,18.08
LAVERTON AERO,23/08/2019,6.4,0.0, ,25.7,11.1,48,9,5.70,13.97
LAVERTON AERO,24/08/2019,4.1,0.0, ,18.5,8.0,67,28,4.80,18.36
LAVERTON AERO,25/08/2019,4.7,0.0, ,20.0,7.8,64,26,5.92,17.57
LAVERTON AERO,26/08/2019,4.9,0.0, ,20.0,9.2,52,25,5.72,16.88
LAVERTON AERO,27/08/2019,5.7,0.0, ,23.7,6.4,52,12,5.04,18.40
LAVERTON AERO,28/08/2019,7.6,0.0, ,28.9,10.2,30,10,5.80,18.92
LAVERTON AERO,29/08/2019,9.3,0.0, ,31.0,17.3,29,10,7.34,17.49
LAVERTON AERO,30/08/2019,6.6,0.0, ,28.7,17.2,74,24,6.96,16.05
LAVERTON AERO,31/08/2019,5.1,0.0, ,24.0,10.6,88,18,4.83,18.91
Totals:,,146.1,2, ,,,,,, 
