'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON AERO Western Australia for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON AERO,01/08/2021,3.5,0.2, ,18.2,4.8,98,38,7.59,15.39
LAVERTON AERO,02/08/2021,2.0,1.2, ,13.7,2.7,99,51,3.46,15.77
LAVERTON AERO,03/08/2021,2.5,0.2, ,16.6,2.2,99,35,2.90,15.90
LAVERTON AERO,04/08/2021,3.0,0.0, ,17.6,3.4,87,31,3.85,16.02
LAVERTON AERO,05/08/2021,3.4,0.0, ,18.7,3.8,81,30,4.25,16.12
LAVERTON AERO,06/08/2021,4.0,0.0, ,20.4,3.9,75,19,4.36,16.21
LAVERTON AERO,07/08/2021,5.4,0.0, ,22.7,8.8,39,12,5.09,16.30
LAVERTON AERO,08/08/2021,5.6,0.0, ,23.1,12.8,39,20,5.78,11.92
LAVERTON AERO,09/08/2021,4.5,0.0, ,21.9,14.9,84,20,6.38,8.66
LAVERTON AERO,10/08/2021,4.4,0.0, ,20.8,12.8,94,29,7.81,14.42
LAVERTON AERO,11/08/2021,2.8,0.0, ,14.8,2.7,93,27,3.71,16.79
LAVERTON AERO,12/08/2021,3.5,0.0, ,19.0,1.9,63,16,3.07,16.91
LAVERTON AERO,13/08/2021,4.9,0.0, ,22.0,4.3,49,12,4.44,17.02
LAVERTON AERO,14/08/2021,4.9,0.0, ,24.4,7.3,39,15,3.83,16.99
LAVERTON AERO,15/08/2021,7.0,0.0, ,24.6,11.3,28,12,6.69,17.26
LAVERTON AERO,16/08/2021,6.4,0.0, ,24.7,11.4,44,17,6.48,17.38
LAVERTON AERO,17/08/2021,5.4,0.0, ,26.7,12.6,33,14,3.86,14.26
LAVERTON AERO,18/08/2021,6.2,0.0, ,30.1,15.0,44,15,4.55,13.66
LAVERTON AERO,19/08/2021,5.2,0.0, ,27.5,11.0,63,25,4.51,15.03
LAVERTON AERO,20/08/2021,4.1,0.0, ,23.4,9.6,67,29,3.50,17.47
LAVERTON AERO,21/08/2021,4.0,0.0, ,25.1,7.8,68,23,2.67,18.06
LAVERTON AERO,22/08/2021,4.1,0.0, ,20.2,7.6,74,27,4.46,18.20
LAVERTON AERO,23/08/2021,5.2,0.0, ,18.5,7.5,61,14,6.87,18.11
LAVERTON AERO,24/08/2021,4.9,0.0, ,18.4,7.8,48,25,6.17,18.40
LAVERTON AERO,25/08/2021,5.1,0.0, ,21.8,6.4,60,15,4.85,18.59
LAVERTON AERO,26/08/2021,7.5,0.0, ,27.8,13.3,54,13,7.07,17.08
LAVERTON AERO,27/08/2021,4.5,0.0, ,18.2,10.6,73,22,5.53,18.87
LAVERTON AERO,28/08/2021,3.3,0.0, ,18.9,2.8,58,26,2.37,19.01
LAVERTON AERO,29/08/2021,3.7,0.0, ,21.5,5.8,49,17,2.63,13.97
LAVERTON AERO,30/08/2021,4.7,0.0, ,23.4,4.7,58,18,3.59,19.36
LAVERTON AERO,31/08/2021,4.0,0.0, ,26.3,6.9,67,26,2.25,19.52
Totals:,,139.7,1.6, ,,,,,, 
