'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for March 2012,,,,,,,,,,
Issued at 22:33 GMT on Sunday 01 April 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/03/2012,10.0, , ,31.8,27.6,17,13,6.42,13.08
LEGENDRE ISLAND,02/03/2012,10.9, , ,31.8,26.1,18,13,6.47,26.56
LEGENDRE ISLAND,03/03/2012,9.8, , ,32.2,25.1,19,13,5.15,27.06
LEGENDRE ISLAND,04/03/2012,9.6, , ,33.9,24.8,19,12,4.69,26.57
LEGENDRE ISLAND,05/03/2012,10.2, , ,34.4,24.8,20,11,5.24,26.65
LEGENDRE ISLAND,06/03/2012,10.9, , ,33.6,26.7,17,12,6.13,25.34
LEGENDRE ISLAND,07/03/2012,12.6, , ,33.0,27.0,17,12,8.48,24.27
LEGENDRE ISLAND,08/03/2012,11.5, , ,35.4,28.9,15,11,6.86,15.50
LEGENDRE ISLAND,09/03/2012,8.6, , ,33.1,26.9,16,12,5.06,9.51
LEGENDRE ISLAND,10/03/2012,10.3, , ,30.3,28.4,20,14,7.91,5.41
LEGENDRE ISLAND,11/03/2012,12.1, , ,27.8,23.8,19,17,13.63,3.53
LEGENDRE ISLAND,12/03/2012,12.9, , ,28.1,24.4,20,16,14.21,9.48
LEGENDRE ISLAND,13/03/2012,12.5, , ,28.7,25.1,19,16,12.36,11.01
LEGENDRE ISLAND,14/03/2012,9.7, , ,30.2,25.7,17,14,7.00,10.13
LEGENDRE ISLAND,15/03/2012,11.8, , ,31.5,24.9,19,14,8.79,21.05
LEGENDRE ISLAND,16/03/2012,14.5, , ,29.7,26.1,21,15,16.56,8.81
LEGENDRE ISLAND,17/03/2012,10.3, , ,26.6,20.3,25,20,12.16,7.17
LEGENDRE ISLAND,18/03/2012,11.2, , ,29.4,21.1,22,15,9.35,23.72
LEGENDRE ISLAND,19/03/2012,11.4, , ,31.7,24.8,19,13,7.79,24.44
LEGENDRE ISLAND,20/03/2012,9.3, , ,33.0,25.7,18,13,5.18,20.78
LEGENDRE ISLAND,21/03/2012,9.6, , ,30.4,26.1,18,14,5.73,22.89
LEGENDRE ISLAND,22/03/2012,6.4, , ,30.8,25.6,19,14,2.99,16.09
LEGENDRE ISLAND,23/03/2012,9.1, , ,30.3,25.6,19,14,5.35,22.16
LEGENDRE ISLAND,24/03/2012,7.9, , ,31.6,25.6,19,14,3.95,21.03
LEGENDRE ISLAND,25/03/2012,7.1, , ,31.8,26.1,18,13,3.07,22.42
LEGENDRE ISLAND,26/03/2012,9.4, , ,32.2,26.0,18,13,5.35,21.64
LEGENDRE ISLAND,27/03/2012,9.1, , ,32.2,26.2,18,13,4.94,23.36
LEGENDRE ISLAND,28/03/2012, , , , ,26.1,18,13,4.06,23.09
LEGENDRE ISLAND,29/03/2012, , , ,35.3, ,18,11,4.38,21.63
LEGENDRE ISLAND,30/03/2012,8.1, , ,32.3,26.9,17,13,3.99,22.72
LEGENDRE ISLAND,31/03/2012,7.1, , ,32.4,27.3,17,13,3.09,22.27
Totals:,,293.9, , ,,,,,, 
