'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for April 2013,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 May 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/04/2013,6.2, , ,32.3,25.7,77,37,5.10,16.53
LEGENDRE ISLAND,02/04/2013, , , , ,26.7,85,42,6.95,25.62
LEGENDRE ISLAND,03/04/2013, , , ,32.0, ,86,51,6.01,25.60
LEGENDRE ISLAND,04/04/2013,6.6, , ,31.8,26.5,84,60,7.55,25.25
LEGENDRE ISLAND,05/04/2013,8.0, , ,32.8,26.3,72,41,6.67,25.98
LEGENDRE ISLAND,06/04/2013,6.4, , ,33.4,25.7,83,52,3.97,25.78
LEGENDRE ISLAND,07/04/2013, , , , ,25.9,80,30,4.61,25.82
LEGENDRE ISLAND,08/04/2013, , , ,34.3, ,77,40,4.41,25.48
LEGENDRE ISLAND,09/04/2013,6.7, , ,32.7,26.8,82,51,5.51,24.91
LEGENDRE ISLAND,10/04/2013,6.9, , ,33.9,26.5,87,39,5.36,23.20
LEGENDRE ISLAND,11/04/2013,7.3, , ,32.5,26.5,89,40,7.04,24.67
LEGENDRE ISLAND,12/04/2013, , , , ,25.6,83,40,5.32,23.11
LEGENDRE ISLAND,13/04/2013, , , ,32.8, ,86,50,3.26,24.91
LEGENDRE ISLAND,14/04/2013,7.9, , ,36.3,24.6,87,24,4.81,24.93
LEGENDRE ISLAND,15/04/2013, , , , ,27.2,88,50,4.41,24.73
LEGENDRE ISLAND,16/04/2013, , , ,33.5, ,96,47,4.10,24.79
LEGENDRE ISLAND,17/04/2013,6.1, , ,32.9,25.1,97,36,3.71,24.17
LEGENDRE ISLAND,18/04/2013,6.1, , ,33.6,26.2,92,57,5.18,24.21
LEGENDRE ISLAND,19/04/2013,6.6, , ,33.9,26.3,85,50,5.21,24.18
LEGENDRE ISLAND,20/04/2013,9.6, , ,39.0,27.8,78,20,6.23,23.88
LEGENDRE ISLAND,21/04/2013,8.0, , ,35.7,26.8,72,28,5.13,23.87
LEGENDRE ISLAND,22/04/2013,6.6, , ,33.5,26.3,81,49,5.09,24.19
LEGENDRE ISLAND,23/04/2013,6.5, , ,33.1,26.6,69,48,4.16,23.94
LEGENDRE ISLAND,24/04/2013,5.8, , ,32.4,24.2,85,36,3.24,23.07
LEGENDRE ISLAND,25/04/2013,6.6, , ,33.6,24.4,92,25,4.89,20.60
LEGENDRE ISLAND,26/04/2013,6.1, , ,33.7,26.3,96,47,6.12,20.75
LEGENDRE ISLAND,27/04/2013,4.9, , ,29.5,19.8,86,60,4.60,22.27
LEGENDRE ISLAND,28/04/2013,5.8, , ,32.9,24.4,89,36,3.50,22.50
LEGENDRE ISLAND,29/04/2013,6.2, , ,33.2,25.9,85,38,4.23,22.49
LEGENDRE ISLAND,30/04/2013,5.5, , ,32.5,25.6,92,39,3.07,22.63
Totals:,,146.4, , ,,,,,, 
