'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/12/2013,8.3, , ,30.7,23.7,86,50,7.04,35.60
LEGENDRE ISLAND,02/12/2013,7.3, , ,30.3,22.7,92,61,6.32,34.75
LEGENDRE ISLAND,03/12/2013,7.2, , ,29.6,23.1,92,60,7.57,34.17
LEGENDRE ISLAND,04/12/2013,7.1, , ,30.0,23.4,93,64,8.35,34.38
LEGENDRE ISLAND,05/12/2013,6.6, , ,31.0,24.2,93,60,7.21,28.33
LEGENDRE ISLAND,06/12/2013,7.5, , ,31.4,24.4,90,58,6.44,33.37
LEGENDRE ISLAND,07/12/2013,7.8, , ,31.3,24.6,86,55,6.24,33.51
LEGENDRE ISLAND,08/12/2013,7.8, , ,30.9,24.4,84,52,7.13,31.90
LEGENDRE ISLAND,09/12/2013,7.7, , ,31.7,25.0,90,58,6.67,33.50
LEGENDRE ISLAND,10/12/2013,7.4, , ,31.9,24.8,97,58,6.25,33.53
LEGENDRE ISLAND,11/12/2013,7.1, , ,31.1,24.7,99,61,5.87,33.69
LEGENDRE ISLAND,12/12/2013,7.6, , ,33.6,25.7,98,59,5.87,33.28
LEGENDRE ISLAND,13/12/2013,8.0, , ,34.3,26.4,87,53,4.06,33.13
LEGENDRE ISLAND,14/12/2013,9.7, , ,36.9,27.3,85,25,4.65,33.47
LEGENDRE ISLAND,15/12/2013,8.3, , ,31.4,26.4,98,37,5.96,33.94
LEGENDRE ISLAND,16/12/2013,7.2, , ,33.1,25.8,99,65,3.37,33.60
LEGENDRE ISLAND,17/12/2013,7.8, , ,33.5,26.3,100,53,4.32,34.28
LEGENDRE ISLAND,18/12/2013,7.6, , ,32.7,26.4,100,61,6.20,34.46
LEGENDRE ISLAND,19/12/2013,6.5, , ,33.2,26.3,94,65,7.41,26.49
LEGENDRE ISLAND,20/12/2013,9.2, , ,35.4,27.7,87,52,8.29,33.50
LEGENDRE ISLAND,21/12/2013,10.2, , ,35.1,27.9,87,44,9.88,34.59
LEGENDRE ISLAND,22/12/2013,7.7, , ,32.0,26.3,90,61,5.37,34.34
LEGENDRE ISLAND,23/12/2013,7.1, , ,31.6,24.8,89,66,3.95,33.54
LEGENDRE ISLAND,24/12/2013,8.0, , ,33.5,25.1,89,59,5.84,34.17
LEGENDRE ISLAND,25/12/2013,7.4, , ,33.4,26.4,92,67,7.22,32.80
LEGENDRE ISLAND,26/12/2013,9.5, , ,35.5,27.4,90,39,6.63,33.82
LEGENDRE ISLAND,27/12/2013,8.5, , ,35.3,27.3,93,43,5.18,32.48
LEGENDRE ISLAND,28/12/2013,8.9, , ,38.6,28.1,94,47,4.19,33.41
LEGENDRE ISLAND,29/12/2013,7.3, , ,34.0,28.3,96,61,4.82,31.05
LEGENDRE ISLAND,30/12/2013,6.1, , ,34.1,28.8,100,51,17.14,5.22
LEGENDRE ISLAND,31/12/2013,5.8, , ,37.8,23.9,100,76,13.69,22.05
Totals:,,240.2, , ,,,,,, 
