'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/09/2015,7.4, , ,29.1,18.8,73,21,6.47,22.68
LEGENDRE ISLAND,02/09/2015,5.6, , ,25.6,18.2,89,40,6.89,22.72
LEGENDRE ISLAND,03/09/2015,4.6, , ,26.0,18.0,97,50,4.05,22.97
LEGENDRE ISLAND,04/09/2015,5.6, , ,25.7,18.6,82,45,6.94,22.78
LEGENDRE ISLAND,05/09/2015,6.2, , ,27.3,18.6,87,37,6.99,23.24
LEGENDRE ISLAND,06/09/2015,7.1, , ,31.0,20.1,85,19,5.26,23.01
LEGENDRE ISLAND,07/09/2015,5.8, , ,28.4,20.4,93,44,6.25,23.03
LEGENDRE ISLAND,08/09/2015,6.3, , ,28.8,20.8,89,23,4.75,23.62
LEGENDRE ISLAND,09/09/2015,5.9, , ,29.8,20.7,95,36,4.50,23.63
LEGENDRE ISLAND,10/09/2015,4.3, , ,27.7,20.2,100,69,3.62,23.32
LEGENDRE ISLAND,11/09/2015,5.4, , ,30.4,21.5,100,50,4.29,23.84
LEGENDRE ISLAND,12/09/2015,5.8, , ,30.1,21.6,100,44,5.50,23.94
LEGENDRE ISLAND,13/09/2015,7.7, , ,30.8,21.1,79,22,6.17,23.89
LEGENDRE ISLAND,14/09/2015,6.8, , ,27.9,19.8,85,24,5.97,24.54
LEGENDRE ISLAND,15/09/2015,5.4, , ,27.0,19.7,93,41,4.37,23.89
LEGENDRE ISLAND,16/09/2015,5.3, , ,28.1,19.3,100,45,4.86,23.42
LEGENDRE ISLAND,17/09/2015, , , , ,19.8,97,24,4.41,23.34
LEGENDRE ISLAND,18/09/2015, , , ,31.2, ,100,28,5.26,24.57
LEGENDRE ISLAND,19/09/2015,7.8, , ,33.2,21.3,90,15,5.00,24.91
LEGENDRE ISLAND,20/09/2015,6.6, , ,33.0,20.8,85,19,3.30,24.35
LEGENDRE ISLAND,21/09/2015,6.3, , ,29.1,20.8,100,26,4.66,25.01
LEGENDRE ISLAND,22/09/2015,7.3, , ,29.4,22.7,76,37,6.88,24.50
LEGENDRE ISLAND,23/09/2015,7.3, , ,29.4,23.7,84,32,6.56,25.41
LEGENDRE ISLAND,24/09/2015, , , , ,20.8,93,33,5.48,26.26
LEGENDRE ISLAND,25/09/2015, , , , , ,100,50,4.62,26.32
LEGENDRE ISLAND,26/09/2015, , , ,31.5, ,100,19,5.21,26.49
LEGENDRE ISLAND,27/09/2015,5.8, , ,30.1,20.5,100,46,3.95,26.43
LEGENDRE ISLAND,28/09/2015,7.1, , ,31.2,20.3,100,22,4.86,26.33
LEGENDRE ISLAND,29/09/2015,5.2, , ,29.6,21.9,100,66,4.43,26.28
LEGENDRE ISLAND,30/09/2015,5.8, , ,30.1,20.9,100,43,3.30,26.82
Totals:,,154.4, , ,,,,,, 
