'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for September 2019,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/09/2019,5.1, , ,29.0,20.6,100,40,3.76,22.30
LEGENDRE ISLAND,02/09/2019,5.5, , ,28.0,21.4,100,29,4.30,22.39
LEGENDRE ISLAND,03/09/2019, , , , ,20.3, , , ,22.50
LEGENDRE ISLAND,04/09/2019,4.5, , ,26.9,20.6,97,58,4.34,22.64
LEGENDRE ISLAND,05/09/2019,5.8, , ,26.2,20.4,79,36,5.16,22.78
LEGENDRE ISLAND,06/09/2019,4.8, , ,25.6,20.9,78,62,4.72,22.89
LEGENDRE ISLAND,07/09/2019,4.4, , ,25.3,20.4,89,64,4.28,22.93
LEGENDRE ISLAND,08/09/2019,4.0, , ,25.5,19.4,97,71,3.10,23.15
LEGENDRE ISLAND,09/09/2019,4.2, , ,26.6,20.3,100,64,2.82,23.32
LEGENDRE ISLAND,10/09/2019, , , , ,21.4,97,55,4.38,23.45
LEGENDRE ISLAND,11/09/2019,5.2, , ,28.5,20.7,86,57,4.65,23.54
LEGENDRE ISLAND,12/09/2019,5.4, , ,30.4,20.3,85,20,2.28,23.60
LEGENDRE ISLAND,13/09/2019,5.1, , ,27.9,19.6,86,34,2.65,23.73
LEGENDRE ISLAND,14/09/2019,4.9, , ,29.8,19.4,90,34,1.78,23.82
LEGENDRE ISLAND,15/09/2019,5.0, , ,27.6,20.5,99,40,2.98,23.92
LEGENDRE ISLAND,16/09/2019,5.2, , ,30.0,20.6,100,51,3.48,24.08
LEGENDRE ISLAND,17/09/2019,4.2, , ,27.9,22.1,100,80,4.21,24.21
LEGENDRE ISLAND,18/09/2019,4.8, , ,29.0,22.2,100,67,4.14,24.38
LEGENDRE ISLAND,19/09/2019,5.8, , ,27.2,21.1,90,52,8.30,24.47
LEGENDRE ISLAND,20/09/2019,6.2, , ,26.3,21.8,74,43,5.87,24.56
LEGENDRE ISLAND,21/09/2019,6.3, , ,25.9,20.1,81,34,6.01,24.65
LEGENDRE ISLAND,22/09/2019,6.5, , ,26.9,20.0,77,30,5.33,24.76
LEGENDRE ISLAND,23/09/2019,6.4, , ,27.7,20.0,88,31,5.39,24.90
LEGENDRE ISLAND,24/09/2019,4.9, , ,25.9,19.9,90,61,4.97,24.90
LEGENDRE ISLAND,25/09/2019,5.3, , ,27.6,20.1,92,44,3.40,25.07
LEGENDRE ISLAND,26/09/2019,5.9, , ,27.3,21.7,90,40,4.74,25.31
LEGENDRE ISLAND,27/09/2019,6.5, , ,27.4,22.3,83,43,6.88,25.42
LEGENDRE ISLAND,28/09/2019,5.4, , ,27.0,20.5,82,56,6.28,22.75
LEGENDRE ISLAND,29/09/2019,5.3, , ,28.1,20.9,93,59,4.75,25.66
LEGENDRE ISLAND,30/09/2019,5.9, , ,27.9,21.4,92,51,6.36,25.71
Totals:,,148.5, , ,,,,,, 
