'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEGENDRE ISLAND Western Australia for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEGENDRE ISLAND,01/02/2021,4.7, , ,32.5,28.4,96,67,9.37,14.25
LEGENDRE ISLAND,02/02/2021,2.8, , ,29.2,25.6,97,82,9.16,10.22
LEGENDRE ISLAND,03/02/2021,3.4, , ,29.3,24.4,95,82,7.73,14.43
LEGENDRE ISLAND,04/02/2021,4.4, , ,30.3,25.8,96,79,7.66,20.63
LEGENDRE ISLAND,05/02/2021,6.0, , ,31.8,25.0,92,63,5.89,24.53
LEGENDRE ISLAND,06/02/2021,6.8, , ,31.4,23.8,88,56,7.37,26.90
LEGENDRE ISLAND,07/02/2021,7.7, , ,31.8,26.3,71,53,5.76,28.89
LEGENDRE ISLAND,08/02/2021,7.5, , ,31.3,26.1,71,57,6.15,28.73
LEGENDRE ISLAND,09/02/2021,7.2, , ,31.1,26.3,79,63,7.97,28.31
LEGENDRE ISLAND,10/02/2021,8.1, , ,33.0,26.9,83,52,8.14,28.83
LEGENDRE ISLAND,11/02/2021,8.0, , ,32.6,27.0,82,51,7.69,28.77
LEGENDRE ISLAND,12/02/2021,6.8, , ,31.7,26.3,83,62,6.30,27.31
LEGENDRE ISLAND,13/02/2021,4.8, , ,30.5,23.1,92,61,3.29,20.51
LEGENDRE ISLAND,14/02/2021,6.1, , ,31.1,24.8,82,65,3.95,27.13
LEGENDRE ISLAND,15/02/2021,6.6, , ,31.3,26.5,83,67,5.88,28.32
LEGENDRE ISLAND,16/02/2021,6.8, , ,32.2,27.3,84,63,6.12,27.32
LEGENDRE ISLAND,17/02/2021,6.3, , ,31.9,27.1,87,67,5.82,26.61
LEGENDRE ISLAND,18/02/2021,6.5, , ,31.8,26.8,84,69,5.42,28.16
LEGENDRE ISLAND,19/02/2021,6.4, , ,31.4,26.5,85,64,4.16,28.12
LEGENDRE ISLAND,20/02/2021,5.3, , ,32.9,27.4,83,64,4.56,18.82
LEGENDRE ISLAND,21/02/2021,7.0, , ,33.3,28.8,86,61,7.65,25.16
LEGENDRE ISLAND,22/02/2021,6.6, , ,35.0,28.2,82,53,2.87,26.30
LEGENDRE ISLAND,23/02/2021,7.8, , ,35.2,29.3,88,39,4.79,26.91
LEGENDRE ISLAND,24/02/2021,7.4, , ,34.3,29.1,90,40,4.12,27.51
LEGENDRE ISLAND,25/02/2021,6.5, , ,34.2,28.0,91,64,3.84,27.33
LEGENDRE ISLAND,26/02/2021,6.8, , ,33.3,28.7,87,70,8.37,27.52
LEGENDRE ISLAND,27/02/2021,7.6, , ,31.8,28.2,87,53,8.81,27.43
LEGENDRE ISLAND,28/02/2021,7.2, , ,31.4,26.5,81,60,8.42,27.22
Totals:,,179.1, , ,,,,,, 
