'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for June 2012,,,,,,,,,,
Issued at 22:38 GMT on Sunday 01 July 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/06/2012,3.0,0.0, ,23.0,4.9,52,12,2.19,12.58
LEINSTER AERO,02/06/2012,4.0,0.0, ,23.0,6.0,40,13,3.45,12.94
LEINSTER AERO,03/06/2012,3.4,0.0, ,21.0,5.5,57,27,3.64,12.14
LEINSTER AERO,04/06/2012,2.8,0.0, ,20.3,6.3,87,34,3.31,12.87
LEINSTER AERO,05/06/2012,2.8,0.0, ,20.0,6.2,92,36,3.88,12.40
LEINSTER AERO,06/06/2012, ,0.0, , ,11.0,55,32,5.67,10.04
LEINSTER AERO,07/06/2012, , , ,22.1, ,63,42,4.03,10.06
LEINSTER AERO,08/06/2012,2.5,0.0, ,22.5,11.4,78,37,2.42,10.22
LEINSTER AERO,09/06/2012,2.7,0.0, ,24.5,10.7,79,31,2.39,8.90
LEINSTER AERO,10/06/2012,1.7,6.4, ,18.4,13.3,99,60,4.31,3.89
LEINSTER AERO,11/06/2012, ,4.0, , ,13.3,99,44,4.65,11.77
LEINSTER AERO,12/06/2012, , , ,20.3, ,98,51,4.00,9.88
LEINSTER AERO,13/06/2012,3.1,0.0, ,19.6,13.3,94,42,6.56,10.97
LEINSTER AERO,14/06/2012,2.0,0.4, ,17.3,9.5,84,43,2.82,8.30
LEINSTER AERO,15/06/2012,1.9,0.0, ,15.8,7.5,98,49,3.96,8.62
LEINSTER AERO,16/06/2012,2.1,0.0, ,18.5,3.4,98,40,2.49,12.52
LEINSTER AERO,17/06/2012,2.3,0.0, ,21.0,3.2,98,27,2.14,12.48
LEINSTER AERO,18/06/2012,3.0,0.0, ,22.0,3.7,87,19,2.77,12.51
LEINSTER AERO,19/06/2012,5.5,0.0, ,26.2,10.7,50,23,5.99,12.42
LEINSTER AERO,20/06/2012,1.6,0.0, ,17.7,12.3,99,63,4.60,4.65
LEINSTER AERO,21/06/2012,1.6,8.6, ,11.2,6.5,98,58,4.39,12.50
LEINSTER AERO,22/06/2012,1.9,0.0, ,14.0,2.3,95,46,3.65,12.54
LEINSTER AERO,23/06/2012,2.2,0.0, ,15.9,0.5,98,38,3.33,12.09
LEINSTER AERO,24/06/2012,2.5,0.0, ,17.5,4.4,97,31,3.42,12.09
LEINSTER AERO,25/06/2012,2.9,0.0, ,17.2,1.9,89,23,3.96,10.89
LEINSTER AERO,26/06/2012,4.2,0.0, ,19.1,10.1,37,14,4.38,10.76
LEINSTER AERO,27/06/2012,2.9,0.0, ,19.2,12.2,97,21,4.08,7.45
LEINSTER AERO,28/06/2012,2.3,0.0, ,17.4,6.7,98,40,3.55,12.55
LEINSTER AERO,29/06/2012,1.8,0.0, ,16.5,3.4,98,41,2.03,12.71
LEINSTER AERO,30/06/2012,2.2,0.0, ,16.6,3.2,92,35,2.96,12.76
Totals:,,68.9,19.4, ,,,,,, 
