'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for September 2018,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 October 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/09/2018,3.6,0.0, ,21.6,4.9,74,28,2.36,19.34
LEINSTER AERO,02/09/2018,5.1,0.0, ,26.0,6.6,60,17,3.37,20.00
LEINSTER AERO,03/09/2018,7.1,0.0, ,30.2,10.6,47,9,4.64,20.16
LEINSTER AERO,04/09/2018,5.7,0.0, ,25.2,12.8,54,15,4.26,20.30
LEINSTER AERO,05/09/2018,4.6,0.0, ,19.7,9.6,79,31,6.19,20.14
LEINSTER AERO,06/09/2018,4.3,0.0, ,18.0,9.2,43,20,3.33,20.63
LEINSTER AERO,07/09/2018,3.9,0.0, ,21.5,3.1,45,16,2.13,20.77
LEINSTER AERO,08/09/2018,4.2,0.0, ,24.4,4.9,60,13,2.18,20.94
LEINSTER AERO,09/09/2018,7.7,0.0, ,31.5,8.6,39,7,4.75,21.10
LEINSTER AERO,10/09/2018,8.9,0.0, ,29.6,19.0,38,7,6.69,21.18
LEINSTER AERO,11/09/2018,5.0,0.0, ,21.6,11.6,81,19,4.74,20.21
LEINSTER AERO,12/09/2018,3.9,0.0, ,24.0,4.2,46,9,1.65,21.45
LEINSTER AERO,13/09/2018,6.4,0.0, ,29.0,5.8,34,5,3.51,21.56
LEINSTER AERO,14/09/2018,5.3,0.0, ,23.6,7.2,68,22,4.50,21.71
LEINSTER AERO,15/09/2018,5.5,0.0, ,20.1,6.8,58,13,5.25,21.85
LEINSTER AERO,16/09/2018,6.2,0.0, ,26.8,3.7,51,8,3.84,22.05
LEINSTER AERO,17/09/2018,6.1,0.0, ,22.2,11.4,45,15,5.24,22.27
LEINSTER AERO,18/09/2018,5.3,0.0, ,20.7,7.4,48,24,4.80,22.37
LEINSTER AERO,19/09/2018,5.0,0.0, ,23.4,4.4,58,17,3.29,22.55
LEINSTER AERO,20/09/2018,5.5,0.0, ,26.0,9.6,60,13,3.19,22.70
LEINSTER AERO,21/09/2018,6.1,0.0, ,28.9,7.9,46,8,3.13,22.83
LEINSTER AERO,22/09/2018,7.2,0.0, ,31.7,8.8,29,11,3.89,21.71
LEINSTER AERO,23/09/2018,6.7,0.0, ,33.8,16.7,37,8,3.03,21.39
LEINSTER AERO,24/09/2018,7.4,0.0, ,34.7,14.7,24,8,3.37,23.41
LEINSTER AERO,25/09/2018,7.1,0.0, ,33.2,16.4,31,11,3.57,20.75
LEINSTER AERO,26/09/2018,8.1,0.0, ,31.5,18.5,35,16,5.23,20.84
LEINSTER AERO,27/09/2018,6.4,0.0, ,29.1,16.2,59,24,4.61,19.19
LEINSTER AERO,28/09/2018,7.0,0.0, ,26.3,15.6,53,26,6.26,22.57
LEINSTER AERO,29/09/2018,8.1,0.0, ,30.5,16.1,45,16,5.96,18.92
LEINSTER AERO,30/09/2018,5.4,2.4, ,27.0,14.9,98,24,5.61,14.71
Totals:,,178.8,2.4, ,,,,,, 
