'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/01/2019,13.6,0.0, ,45.1,30.5,33,5,5.86,28.76
LEINSTER AERO,02/01/2019,12.6,0.0, ,44.7,25.1,28,6,4.97,30.58
LEINSTER AERO,03/01/2019,10.7,0.0, ,39.2,24.0,31,7,4.34,30.56
LEINSTER AERO,04/01/2019,8.3,0.0, ,30.2,24.5,52,18,6.28,16.87
LEINSTER AERO,05/01/2019,10.2,0.0, ,35.0,21.6,49,9,5.28,28.95
LEINSTER AERO,06/01/2019,9.6,0.0, ,35.2,24.6,24,10,4.85,21.50
LEINSTER AERO,07/01/2019,9.8,0.0, ,39.1,19.3,31,8,3.67,30.46
LEINSTER AERO,08/01/2019,10.6,0.0, ,41.9,21.8,23,7,3.98,28.62
LEINSTER AERO,09/01/2019,13.9,0.0, ,42.5,29.5,28,6,6.84,27.32
LEINSTER AERO,10/01/2019,10.5,0.0, ,40.8,23.3,36,10,4.09,30.27
LEINSTER AERO,11/01/2019,13.2,0.0, ,40.1,25.5,24,9,6.56,30.18
LEINSTER AERO,12/01/2019,14.3,0.0, ,44.6,27.1,38,9,6.82,29.46
LEINSTER AERO,13/01/2019,12.6,0.4, ,46.9,28.3,29,7,5.02,26.57
LEINSTER AERO,14/01/2019,12.3,0.0, ,45.4,28.9,31,7,4.79,29.28
LEINSTER AERO,15/01/2019,11.9,0.0, ,45.3,31.3,31,8,4.79,25.82
LEINSTER AERO,16/01/2019,8.9,0.0, ,41.6,30.3,31,13,4.24,13.44
LEINSTER AERO,17/01/2019,11.4,0.0, ,40.8,25.9,41,5,4.80,30.13
LEINSTER AERO,18/01/2019,11.9,0.0, ,36.5,23.2,42,12,6.93,29.80
LEINSTER AERO,19/01/2019,10.5,0.0, ,38.3,24.0,45,15,4.82,29.98
LEINSTER AERO,20/01/2019,10.0,0.0, ,39.3,23.6,52,15,4.18,30.02
LEINSTER AERO,21/01/2019,9.9,0.0, ,42.0,26.7,41,10,3.50,29.67
LEINSTER AERO,22/01/2019,13.3,0.0, ,45.9,28.9,29,8,6.17,21.94
LEINSTER AERO,23/01/2019,10.6,0.0, ,39.3,27.8,29,16,5.31,22.84
LEINSTER AERO,24/01/2019,9.9,0.0, ,35.0,18.5,43,13,4.99,29.59
LEINSTER AERO,25/01/2019,10.5,0.0, ,39.6,21.9,43,17,4.72,29.38
LEINSTER AERO,26/01/2019,8.3,0.0, ,39.9,27.4,77,25,4.64,19.97
LEINSTER AERO,27/01/2019,10.5,0.4, ,36.9,23.9,48,9,5.10,29.46
LEINSTER AERO,28/01/2019,8.7,0.0, ,38.1,20.8,43,7,3.04,29.31
LEINSTER AERO,29/01/2019,10.2,0.0, ,41.5,24.7,18,6,3.73,29.26
LEINSTER AERO,30/01/2019,11.1,0.0, ,39.8,25.0,33,9,4.92,29.23
LEINSTER AERO,31/01/2019,10.1,0.0, ,36.3,22.8,39,13,4.86,28.96
Totals:,,339.9,0.8, ,,,,,, 
