'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for February 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 March 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/02/2019,10.3,0.0, ,39.7,21.1,30,9,4.20,29.61
LEINSTER AERO,02/02/2019,11.1,0.0, ,43.1,22.8,26,8,4.26,29.48
LEINSTER AERO,03/02/2019,11.9,0.0, ,34.9,21.4,44,16,8.55,27.97
LEINSTER AERO,04/02/2019,8.3,0.0, ,30.5,19.1,55,31,6.38,25.16
LEINSTER AERO,05/02/2019,8.1,0.0, ,37.0,20.9,85,23,4.49,23.88
LEINSTER AERO,06/02/2019,7.5,7.2, ,36.7,21.5,84,24,4.10,21.32
LEINSTER AERO,07/02/2019,10.6,0.8, ,40.9,22.7,100,18,6.69,25.65
LEINSTER AERO,08/02/2019, ,16.2, , ,19.7,98,22,5.11,27.16
LEINSTER AERO,09/02/2019, , , ,33.5, ,49,14,4.25,28.89
LEINSTER AERO,10/02/2019,8.6,0.0, ,37.7,18.9,47,13,3.27,28.71
LEINSTER AERO,11/02/2019,10.6,0.0, ,41.2,23.9,43,7,4.44,28.20
LEINSTER AERO,12/02/2019,9.6,0.0, ,36.0,22.4,29,8,4.29,28.40
LEINSTER AERO,13/02/2019,9.1,0.0, ,37.0,20.7,41,12,3.90,28.29
LEINSTER AERO,14/02/2019,9.9,0.0, ,38.8,24.4,30,10,5.06,19.04
LEINSTER AERO,15/02/2019,10.1,0.0, ,41.5,25.3,40,8,4.10,27.27
LEINSTER AERO,16/02/2019,9.2,0.0, ,41.0,24.4,27,7,3.30,27.91
LEINSTER AERO,17/02/2019,10.7,0.0, ,37.7,24.2,43,14,5.65,27.84
LEINSTER AERO,18/02/2019,9.8,0.0, ,37.2,21.5,50,15,5.00,27.62
LEINSTER AERO,19/02/2019,10.7,0.0, ,40.5,22.7,35,10,4.89,27.14
LEINSTER AERO,20/02/2019,12.6,0.0, ,42.2,24.7,38,6,6.21,26.73
LEINSTER AERO,21/02/2019,9.5,0.0, ,40.8,23.9,44,7,3.76,27.28
LEINSTER AERO,22/02/2019,9.0,0.0, ,41.9,22.6,36,7,3.20,27.05
LEINSTER AERO,23/02/2019,8.8,0.0, ,42.7,24.3,24,8,3.19,23.62
LEINSTER AERO,24/02/2019,9.9,0.0, ,42.3,27.8,24,8,3.97,24.37
LEINSTER AERO,25/02/2019,9.8,0.0, ,41.2,24.4,48,7,4.10,26.83
LEINSTER AERO,26/02/2019,11.4,0.0, ,42.9,26.7,31,6,5.01,26.70
LEINSTER AERO,27/02/2019,11.2,0.0, ,44.0,28.0,13,4,4.58,26.39
LEINSTER AERO,28/02/2019, ,0.0, , ,27.9,14,7,5.75,24.17
Totals:,,248.3,24.2, ,,,,,, 
