'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEINSTER AERO Western Australia for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEINSTER AERO,01/05/2021,4.5,0.0, ,23.7,12.2,57,30,4.22,16.44
LEINSTER AERO,02/05/2021,3.5,0.0, ,24.2,14.4,89,37,4.01,10.63
LEINSTER AERO,03/05/2021,1.9,0.0, ,22.3,15.0,100,68,4.02,7.17
LEINSTER AERO,04/05/2021,1.6,3.4, ,20.6,16.0,100,73,4.12,6.45
LEINSTER AERO,05/05/2021,4.2,1.8, ,26.5,15.1,98,39,5.80,13.45
LEINSTER AERO,06/05/2021,3.5,0.2, ,26.6,12.4,98,32,2.84,15.95
LEINSTER AERO,07/05/2021,3.5,0.0, ,25.1,13.9,91,35,3.18,15.81
LEINSTER AERO,08/05/2021,3.7,0.0, ,24.2,12.6,86,39,4.08,15.36
LEINSTER AERO,09/05/2021,3.5,0.0, ,24.5,9.7,80,34,2.96,15.80
LEINSTER AERO,10/05/2021,3.8,0.0, ,25.8,9.5,71,22,2.72,15.89
LEINSTER AERO,11/05/2021,4.3,0.0, ,26.7,9.2,75,22,3.45,15.67
LEINSTER AERO,12/05/2021,4.5,0.0, ,29.4,13.7,47,25,3.06,15.70
LEINSTER AERO,13/05/2021,4.6,0.0, ,25.9,14.9,73,33,4.88,15.57
LEINSTER AERO,14/05/2021,4.0,0.0, ,23.7,11.9,78,33,4.55,15.22
LEINSTER AERO,15/05/2021,3.6,0.0, ,22.2,9.3,74,32,3.76,15.39
LEINSTER AERO,16/05/2021,3.3,0.0, ,23.3,8.5,80,32,3.21,13.03
LEINSTER AERO,17/05/2021,4.3,0.0, ,26.1,12.5,58,22,3.55,13.80
LEINSTER AERO,18/05/2021,4.7,0.0, ,27.7,13.9,40,17,3.46,12.90
LEINSTER AERO,19/05/2021,4.7,0.0, ,27.7,13.1,39,14,3.30,13.91
LEINSTER AERO,20/05/2021,4.0,0.0, ,27.3,8.9,40,10,2.55,14.95
LEINSTER AERO,21/05/2021,3.4,0.0, ,27.0,6.7,38,9,1.95,14.86
LEINSTER AERO,22/05/2021,5.2,0.0, ,27.2,7.6,33,9,3.86,12.81
LEINSTER AERO,23/05/2021,4.3,0.0, ,22.5,16.2,87,16,5.27,10.98
LEINSTER AERO,24/05/2021,2.9,0.4, ,16.9,12.1,97,36,5.47,13.08
LEINSTER AERO,25/05/2021,2.2,0.2, ,17.3,3.5,92,35,2.41,14.61
LEINSTER AERO,26/05/2021,3.6,0.0, ,21.2,3.6,79,24,4.04,14.28
LEINSTER AERO,27/05/2021,4.2,0.0, ,24.2,6.9,56,21,3.93,14.13
LEINSTER AERO,28/05/2021,3.8,0.0, ,27.6,8.7,86,29,3.41,14.35
LEINSTER AERO,29/05/2021,1.4,3.4, ,15.1,14.2,100,60,3.53,3.51
LEINSTER AERO,30/05/2021,1.8,22.2, ,18.0,12.7,100,61,3.61,8.59
LEINSTER AERO,31/05/2021,1.8,1.2, ,15.5,9.4,99,61,4.70,11.47
Totals:,,110.3,32.8, ,,,,,, 
