'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEONORA AERO Western Australia for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEONORA AERO,01/04/2014,4.9,0.0, ,27.0,19.6,64,31,3.91,13.75
LEONORA AERO,02/04/2014,3.5,0.0, ,20.8,15.4,77,46,5.22,9.15
LEONORA AERO,03/04/2014,5.4,1.6, ,26.2,11.2,78,26,4.54,20.86
LEONORA AERO,04/04/2014,5.8,0.0, ,27.1,12.4,62,19,4.53,17.71
LEONORA AERO,05/04/2014,2.9,9.2, ,19.0,14.2,92,27,4.66,2.46
LEONORA AERO,06/04/2014,1.5,14.6, ,21.4,14.4,97,75,2.29,5.82
LEONORA AERO,07/04/2014,3.1,1.2, ,23.4,14.2,96,56,3.00,16.21
LEONORA AERO,08/04/2014,3.3,0.2, ,21.2,13.7,89,53,4.43,15.22
LEONORA AERO,09/04/2014,3.4,0.0, ,24.4,14.2,95,52,3.38,16.12
LEONORA AERO,10/04/2014,3.9,0.0, ,26.5,13.8,97,38,3.47,15.08
LEONORA AERO,11/04/2014,4.4,0.0, ,27.0,14.7,91,37,3.45,19.35
LEONORA AERO,12/04/2014,4.5,0.0, ,27.4,14.4,85,28,2.93,19.37
LEONORA AERO,13/04/2014,4.7,0.0, ,28.6,12.9,83,25,2.98,19.02
LEONORA AERO,14/04/2014,5.2,0.0, ,28.1,13.6,78,22,3.88,18.87
LEONORA AERO,15/04/2014,4.3,0.0, ,29.3,14.3,68,22,2.17,19.08
LEONORA AERO,16/04/2014,3.6,0.0, ,31.3,14.3,74,19,1.13,18.89
LEONORA AERO,17/04/2014,3.6,0.0, ,31.3,13.9,79,16,1.20,18.66
LEONORA AERO,18/04/2014,5.1,0.0, ,31.4,15.3,69,16,2.89,18.36
LEONORA AERO,19/04/2014,5.5,0.0, ,33.4,18.3,47,10,2.78,18.19
LEONORA AERO,20/04/2014,7.3,0.0, ,33.6,17.6,35,11,4.46,18.56
LEONORA AERO,21/04/2014,4.4,0.0, ,26.3,13.6,63,35,3.59,16.51
LEONORA AERO,22/04/2014,4.6,0.0, ,25.9,13.3,68,29,3.88,17.55
LEONORA AERO,23/04/2014,4.7,0.0, ,29.5,14.0,62,27,3.37,13.39
LEONORA AERO,24/04/2014,5.0,0.0, ,28.6,21.2,42,27,3.92,8.07
LEONORA AERO,25/04/2014,2.0,0.4, ,22.9,18.1,87,57,2.29,5.63
LEONORA AERO,26/04/2014,3.8,0.2, ,28.1,16.2,90,38,3.52,12.27
LEONORA AERO,27/04/2014,4.2,3.2, ,26.9,19.0,90,45,5.50,14.45
LEONORA AERO,28/04/2014,3.0,0.2, ,22.8,14.2,88,47,3.65,11.89
LEONORA AERO,29/04/2014,3.4,0.0, ,19.6,6.5,78,29,3.27,17.66
LEONORA AERO,30/04/2014,3.5,0.0, ,22.4,6.3,78,23,2.83,17.12
Totals:,,124.5,30.8, ,,,,,, 
