'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LEONORA AERO Western Australia for May 2015,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LEONORA AERO,01/05/2015,3.4,0.0, ,28.7,16.8,71,17,1.98,10.75
LEONORA AERO,02/05/2015,2.9,1.6, ,22.0,14.4,89,37,3.35,8.65
LEONORA AERO,03/05/2015,4.4,0.0, ,26.3,13.8,70,31,4.04,15.32
LEONORA AERO,04/05/2015,4.3,0.0, ,19.2,13.1,71,23,5.25,16.56
LEONORA AERO,05/05/2015,3.1,0.0, ,19.6,3.0,70,32,3.00,16.66
LEONORA AERO,06/05/2015,3.5,0.0, ,21.2,6.2,75,29,3.53,16.39
LEONORA AERO,07/05/2015,4.0,0.0, ,21.9,7.9,67,27,4.23,16.24
LEONORA AERO,08/05/2015,3.6,0.0, ,22.0,8.1,73,29,3.56,15.60
LEONORA AERO,09/05/2015,2.9,0.0, ,22.2,5.8,73,21,2.01,16.17
LEONORA AERO,10/05/2015,3.1,0.0, ,22.9,5.9,65,33,2.47,15.82
LEONORA AERO,11/05/2015,3.4,0.0, ,23.6,9.2,82,32,3.17,15.35
LEONORA AERO,12/05/2015,3.3,0.0, ,21.3,11.4,82,42,4.99,11.13
LEONORA AERO,13/05/2015,2.8,0.0, ,18.5,11.3,91,46,5.23,10.06
LEONORA AERO,14/05/2015,4.4,0.0, ,22.4,5.6,74,12,4.36,15.30
LEONORA AERO,15/05/2015,4.4,0.0, ,22.0,2.8,52,11,3.95,15.97
LEONORA AERO,16/05/2015,4.4,0.0, ,19.0,10.4,35,18,4.87,7.31
LEONORA AERO,17/05/2015,5.8,0.0, ,20.0,13.6,36,19,7.30,9.50
LEONORA AERO,18/05/2015,4.5,0.0, ,22.7,12.9,66,28,5.55,13.62
LEONORA AERO,19/05/2015,2.4,0.0, ,20.2,9.0,85,45,2.75,11.94
LEONORA AERO,20/05/2015,3.1,0.0, ,18.2,8.6,92,37,5.32,14.57
LEONORA AERO,21/05/2015,3.3,0.0, ,18.9,5.5,70,32,4.31,14.57
LEONORA AERO,22/05/2015,3.4,0.0, ,19.0,11.5,56,34,4.14,9.58
LEONORA AERO,23/05/2015,2.6,0.2, ,23.6,12.8,90,43,2.82,9.88
LEONORA AERO,24/05/2015,2.3,0.0, ,22.7,12.0,97,45,2.29,12.31
LEONORA AERO,25/05/2015,2.0,0.0, ,22.0,10.7,95,48,1.86,11.68
LEONORA AERO,26/05/2015,1.6,0.0, ,21.8,8.0,97,48,0.90,11.76
LEONORA AERO,27/05/2015,1.9,0.0, ,23.2,8.5,97,35,1.11,13.01
LEONORA AERO,28/05/2015,2.7,0.0, ,21.5,9.8,90,42,3.45,13.31
LEONORA AERO,29/05/2015,3.1,0.0, ,21.1,8.7,82,35,3.99,13.31
LEONORA AERO,30/05/2015,2.6,0.0, ,19.6,7.8,79,33,2.93,12.05
LEONORA AERO,31/05/2015,2.5,0.0, ,18.8,2.8,81,27,2.62,13.91
Totals:,,101.7,1.8, ,,,,,, 
