'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDORA Western Australia for October 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDORA,01/10/2015,10.8,0.0, ,41.0,14.0,34,3,4.38,28.16
MANDORA,02/10/2015,9.7,0.0, ,39.5,12.9,35,4,3.83,28.02
MANDORA,03/10/2015,9.4,0.0, ,38.9,16.9,63,5,3.92,28.24
MANDORA,04/10/2015,8.9,0.0, ,39.1,11.0,83,6,3.49,28.16
MANDORA,05/10/2015,6.1,0.0, ,32.5,11.2,95,39,3.03,27.96
MANDORA,06/10/2015, ,0.4, , ,18.1,98,24,2.90,27.28
MANDORA,07/10/2015, , , ,40.5, ,94,10,3.76,26.71
MANDORA,08/10/2015,6.6,0.0, ,34.9,18.5,94,46,4.04,26.18
MANDORA,09/10/2015,7.5,0.2, ,36.6,22.6,84,32,3.86,26.01
MANDORA,10/10/2015,8.8,0.0, ,40.9,19.0,92,10,3.54,26.22
MANDORA,11/10/2015,6.3,0.0, ,33.8,20.0,92,44,3.14,26.55
MANDORA,12/10/2015,6.6,0.0, ,34.9,21.1,97,49,3.94,26.85
MANDORA,13/10/2015,7.0,0.0, ,35.5,21.0,96,34,3.80,25.44
MANDORA,14/10/2015,5.4,0.0, ,32.2,21.2,95,61,3.33,24.55
MANDORA,15/10/2015,5.7,0.0, ,38.1,21.2,97,42,2.61,19.92
MANDORA,16/10/2015,8.9,0.0, ,41.5,18.4,92,11,3.61,25.72
MANDORA,17/10/2015,7.5,0.0, ,37.0,22.0,89,28,3.85,24.38
MANDORA,18/10/2015,8.6,0.0, ,40.3,21.3,97,11,3.53,26.86
MANDORA,19/10/2015,10.0,0.0, ,42.2,20.5,95,11,4.37,27.36
MANDORA,20/10/2015,6.5,0.0, ,33.7,21.4,92,49,3.88,27.00
MANDORA,21/10/2015,6.1,0.0, ,33.6,22.8,95,59,3.39,27.18
MANDORA,22/10/2015,7.5,0.0, ,36.4,22.7,94,35,3.89,27.40
MANDORA,23/10/2015,5.3,0.0, ,34.5,24.9,93,63,3.42,21.11
MANDORA,24/10/2015,7.1,0.0, ,36.1,22.2,95,43,3.56,27.53
MANDORA,25/10/2015,6.8,0.0, ,34.5,24.4,88,46,3.50,26.79
MANDORA,26/10/2015,7.0,0.0, ,36.8,21.4,92,34,2.74,27.61
MANDORA,27/10/2015,7.8,0.0, ,37.4,23.4,96,28,3.71,27.24
MANDORA,28/10/2015,8.4,0.0, ,39.4,25.9,90,22,3.64,27.51
MANDORA,29/10/2015,7.3,0.0, ,37.0,23.4,91,46,3.73,27.63
MANDORA,30/10/2015,8.4,0.0, ,39.1,21.3,85,28,4.12,26.40
MANDORA,31/10/2015,9.3,0.0, ,39.4,20.0,93,13,4.32,27.49
Totals:,,221.3,0.6, ,,,,,, 
