'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDORA Western Australia for November 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDORA,01/11/2017,10.1,0.0, ,39.4,23.4,73,8,4.56,28.77
MANDORA,02/11/2017,7.4,0.0, ,35.4,21.7,88,33,3.24,28.95
MANDORA,03/11/2017,7.0,0.0, ,34.9,23.2,94,52,3.79,29.02
MANDORA,04/11/2017,6.5,0.2, ,33.2,21.4,96,55,3.73,29.08
MANDORA,05/11/2017,6.7,0.0, ,34.7,24.7,90,48,3.71,25.89
MANDORA,06/11/2017,7.0,0.0, ,34.6,22.3,90,47,3.48,29.19
MANDORA,07/11/2017,8.5,0.0, ,38.3,20.9,79,21,3.60,28.26
MANDORA,08/11/2017,8.5,0.0, ,37.5,19.5,81,20,3.70,29.31
MANDORA,09/11/2017,6.9,0.0, ,33.0,23.0,92,39,3.28,28.73
MANDORA,10/11/2017,6.8,0.0, ,36.0,19.1,91,55,3.13,29.41
MANDORA,11/11/2017,9.6,0.0, ,38.8,19.4,91,8,4.28,29.46
MANDORA,12/11/2017,9.0,0.0, ,35.4,22.7,78,27,5.59,28.10
MANDORA,13/11/2017,7.0,0.0, ,31.6,21.6,86,49,4.69,29.50
MANDORA,14/11/2017,7.8,0.0, ,32.6,24.0,74,42,4.78,29.52
MANDORA,15/11/2017,7.2,0.0, ,34.2,18.3,87,42,3.71,29.50
MANDORA,16/11/2017,8.6,0.0, ,35.4,21.8,81,30,4.85,29.55
MANDORA,17/11/2017,8.0,0.0, ,33.5,23.3,76,40,4.84,29.61
MANDORA,18/11/2017,7.7,0.0, ,34.0,22.8,82,44,4.67,29.65
MANDORA,19/11/2017,7.6,0.0, ,34.5,22.9,86,41,4.27,28.97
MANDORA,20/11/2017,7.7,0.0, ,34.6,23.9,86,34,4.35,26.95
MANDORA,21/11/2017,7.6,0.0, ,35.2,26.0,82,53,4.52,29.35
MANDORA,22/11/2017,8.1,0.0, ,36.3,24.8,91,39,4.42,29.66
MANDORA,23/11/2017,8.3,0.0, ,38.7,25.1,90,30,3.51,29.03
MANDORA,24/11/2017,9.1,0.0, ,39.3,23.0,94,17,3.95,29.83
MANDORA,25/11/2017,7.5,0.0, ,35.0,20.8,92,46,4.41,29.84
MANDORA,26/11/2017,8.2,0.0, ,35.3,26.5,84,36,4.42,29.76
MANDORA,27/11/2017,7.1,0.0, ,34.0,21.9,91,45,3.38,29.85
MANDORA,28/11/2017,7.7,0.0, ,35.4,19.0,93,42,4.42,29.94
MANDORA,29/11/2017,9.1,0.0, ,38.0,24.3,84,30,4.72,29.95
MANDORA,30/11/2017,8.9,0.0, ,37.3,24.4,78,31,4.54,29.82
Totals:,,237.2,0.2, ,,,,,, 
