'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDORA Western Australia for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDORA,01/09/2021,4.6,0.4, ,29.0,18.3,100,47,2.98,21.93
MANDORA,02/09/2021,4.7,0.2, ,30.6,11.7,100,43,2.76,22.22
MANDORA,03/09/2021,7.3,0.0, ,33.3,14.8,100,12,4.60,22.67
MANDORA,04/09/2021,9.0,0.0, ,31.7,19.2,23,11,5.63,22.68
MANDORA,05/09/2021,9.0,0.0, ,33.3,16.9,28,19,5.80,22.81
MANDORA,06/09/2021,9.1,0.0, ,33.5,21.1,27,11,5.32,22.94
MANDORA,07/09/2021,8.6,0.0, ,33.3,15.7,18,6,4.62,23.00
MANDORA,08/09/2021,8.0,0.0, ,33.8,15.3,42,7,4.16,23.07
MANDORA,09/09/2021,7.5,0.0, ,35.4,12.9,60,12,3.63,23.22
MANDORA,10/09/2021,7.9,0.0, ,36.0,13.9,55,9,3.80,23.20
MANDORA,11/09/2021,7.0,0.0, ,36.0,12.6,100,11,3.18,23.44
MANDORA,12/09/2021,5.3,0.0, ,30.5,12.5,100,39,3.24,23.56
MANDORA,13/09/2021,5.2,0.2, ,31.5,14.6,100,35,2.55,23.67
MANDORA,14/09/2021,5.5,0.0, ,30.4,14.2,100,34,3.23,23.88
MANDORA,15/09/2021,6.2,0.4, ,32.5,14.9,100,31,4.01,23.64
MANDORA,16/09/2021,5.7,0.0, ,31.3,19.8,100,41,3.99,23.98
MANDORA,17/09/2021,7.0,0.0, ,36.4,16.0,100,11,3.08,24.14
MANDORA,18/09/2021,8.1,0.0, ,37.0,14.1,96,9,4.03,24.14
MANDORA,19/09/2021,9.5,0.0, ,39.2,21.2,22,6,4.24,23.94
MANDORA,20/09/2021,11.7,0.0, ,40.0,23.6,16,5,5.80,24.46
MANDORA,21/09/2021,11.9,0.0, ,38.7,25.4,22,12,6.77,22.10
MANDORA,22/09/2021,10.2,0.0, ,37.6,24.0,16,6,4.89,24.61
MANDORA,23/09/2021,8.3,0.0, ,35.8,17.6,54,4,3.82,24.67
MANDORA,24/09/2021,7.4,0.0, ,33.3,15.2,99,7,3.87,24.89
MANDORA,25/09/2021,5.9,0.0, ,31.0,10.8,100,20,2.85,25.02
MANDORA,26/09/2021,5.7,0.2, ,31.3,14.2,100,42,3.48,25.25
MANDORA,27/09/2021,8.4,0.0, ,36.2,13.7,100,10,4.42,25.34
MANDORA,28/09/2021,8.0,0.2, ,37.8,13.2,100,8,3.41,25.36
MANDORA,29/09/2021,7.4,0.0, ,36.3,10.3,100,10,3.12,25.57
MANDORA,30/09/2021,6.3,0.2, ,33.1,16.4,100,24,2.85,25.73
Totals:,,226.4,1.8, ,,,,,, 
