'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDURAH Western Australia for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDURAH,01/08/2014,2.4,0.0, ,18.1,5.3,84,46,3.33,13.76
MANDURAH,02/08/2014,1.8,0.0, ,18.2,9.4,96,52,2.31,11.26
MANDURAH,03/08/2014,2.3,0.2, ,20.3,7.3,94,43,2.43,14.06
MANDURAH,04/08/2014,2.4,0.0, ,21.3,9.3,79,39,1.95,14.19
MANDURAH,05/08/2014,2.3,0.0, ,20.8,10.2,77,47,1.99,14.37
MANDURAH,06/08/2014,2.6,0.0, ,20.9,11.7,81,47,2.89,14.09
MANDURAH,07/08/2014,1.2,4.0, ,17.2,16.1,100,79,3.07,5.94
MANDURAH,08/08/2014,2.0,10.0, ,19.6,13.0,100,54,1.85,13.72
MANDURAH,09/08/2014,2.7,0.0, ,21.6,11.3,87,45,2.78,14.49
MANDURAH,10/08/2014,2.8,0.0, ,24.0,11.7,81,45,2.83,12.33
MANDURAH,11/08/2014,3.5,0.0, ,24.7,13.4,74,43,3.55,14.15
MANDURAH,12/08/2014,3.7,0.0, ,20.4,13.6,61,42,5.53,7.11
MANDURAH,13/08/2014,3.7,0.0, ,19.8,14.8,63,43,5.56,9.19
MANDURAH,14/08/2014,2.5,0.0, ,17.8,15.7,83,43,4.14,5.40
MANDURAH,15/08/2014,2.3,0.4, ,20.4,12.3,91,59,2.38,15.04
MANDURAH,16/08/2014,1.9,0.0, ,19.8,10.2,100,63,1.17,14.53
MANDURAH,17/08/2014,2.8,0.0, ,21.3,13.5,100,51,5.88,8.90
MANDURAH,18/08/2014,2.2,9.2, ,17.8,15.1,100,62,7.69,7.88
MANDURAH,19/08/2014,2.1,6.2, ,19.9,13.7,100,65,1.86,14.18
MANDURAH,20/08/2014,1.9,2.0, ,18.6,14.1,100,69,4.63,10.19
MANDURAH,21/08/2014,2.8,11.4, ,19.3,15.4,100,56,7.34,12.78
MANDURAH,22/08/2014,2.8,5.2, ,19.3,13.2,91,47,3.65,14.62
MANDURAH,23/08/2014,2.2,0.0, ,19.0,11.1,84,57,1.99,13.89
MANDURAH,24/08/2014,2.4,0.0, ,20.3,11.1,91,69,3.26,16.40
MANDURAH,25/08/2014,2.0,0.0, ,20.0,14.9,100,83,5.51,15.82
MANDURAH,26/08/2014,2.7,0.2, ,19.2,14.8,100,51,4.14,13.96
MANDURAH,27/08/2014,2.6,0.0, ,19.4,12.5,89,58,2.77,15.97
MANDURAH,28/08/2014,2.3,0.0, ,20.5,14.3,100,66,5.74,10.87
MANDURAH,29/08/2014,1.2,6.2, ,18.4,16.7,100,85,6.88,4.42
MANDURAH,30/08/2014,1.9,26.0, ,17.5,14.8,100,63,2.98,9.43
MANDURAH,31/08/2014,2.6,0.4, ,17.9,11.6,100,42,2.57,15.75
Totals:,,74.6,81.4, ,,,,,, 
