'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDURAH Western Australia for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDURAH,01/04/2022,3.5,7.6, ,29.0,21.4,82,51,3.06,11.38
MANDURAH,02/04/2022,4.4,0.2, ,30.6,23.2,66,47,2.53,17.00
MANDURAH,03/04/2022,3.7,1.2, ,27.3,21.6,83,60,3.00,16.37
MANDURAH,04/04/2022,3.7,0.0, ,23.2,18.7,75,50,4.52,11.85
MANDURAH,05/04/2022,4.4,0.0, ,25.4,13.9,66,35,3.24,18.71
MANDURAH,06/04/2022,4.1,0.0, ,26.3,14.8,70,42,2.92,17.92
MANDURAH,07/04/2022,4.1,0.0, ,27.9,17.3,62,34,2.24,18.36
MANDURAH,08/04/2022,3.6,0.4, ,24.8,19.4,89,43,3.51,13.93
MANDURAH,09/04/2022,3.2,5.0, ,20.9,13.9,91,43,2.98,16.61
MANDURAH,10/04/2022,3.0,0.0, ,21.6,13.9,90,51,3.34,14.38
MANDURAH,11/04/2022,2.8,10.2, ,21.7,12.0,91,41,1.94,15.68
MANDURAH,12/04/2022,3.6,2.6, ,24.8,14.5,86,42,3.26,16.13
MANDURAH,13/04/2022,3.4,0.0, ,22.9,14.7,80,53,3.35,17.46
MANDURAH,14/04/2022,3.3,0.0, ,23.9,13.8,78,48,2.61,17.36
MANDURAH,15/04/2022,3.3,0.0, ,25.5,15.2,84,51,2.50,17.16
MANDURAH,16/04/2022,3.4,0.0, ,23.7,17.1,85,54,3.72,16.77
MANDURAH,17/04/2022,3.3,0.0, ,21.2,14.2,84,41,3.66,14.70
MANDURAH,18/04/2022,3.2,0.0, ,22.5,11.6,77,39,2.50,16.34
MANDURAH,19/04/2022,2.9,0.0, ,23.5,13.8,84,49,2.61,14.37
MANDURAH,20/04/2022,3.4,0.0, ,24.7,15.1,83,46,3.15,16.19
MANDURAH,21/04/2022,4.3,0.0, ,26.2,14.5,79,35,4.06,16.01
MANDURAH,22/04/2022,4.5,0.0, ,26.3,14.7,69,31,4.07,15.89
MANDURAH,23/04/2022,4.5,0.0, ,25.9,14.9,69,27,3.83,15.91
MANDURAH,24/04/2022,3.7,0.0, ,26.9,15.1,72,36,2.70,15.73
MANDURAH,25/04/2022,3.5,0.0, ,24.0,20.1,91,37,4.25,11.70
MANDURAH,26/04/2022,2.7,9.4, ,20.7,16.7,86,55,4.53,9.88
MANDURAH,27/04/2022,2.3,1.8, ,20.2,14.1,86,55,2.68,11.43
MANDURAH,28/04/2022,3.1,4.2, ,20.5,14.8,83,45,4.43,12.72
MANDURAH,29/04/2022,2.4,0.0, ,20.6,10.4,84,48,2.12,15.01
MANDURAH,30/04/2022,2.7,0.0, ,22.0,12.3,79,45,2.44,14.96
Totals:,,104,42.6, ,,,,,, 
