'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANDURAH Western Australia for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANDURAH,01/05/2022,2.9,0.0, ,24.0,13.5,80,36,2.16,14.88
MANDURAH,02/05/2022,2.2,0.0, ,22.5,12.5,85,62,2.02,13.48
MANDURAH,03/05/2022,2.8,0.0, ,20.1,13.2,86,45,3.61,12.83
MANDURAH,04/05/2022,2.9,0.0, ,19.6,12.4,75,40,3.63,10.24
MANDURAH,05/05/2022,3.5,0.0, ,20.9,11.6,65,30,3.61,14.18
MANDURAH,06/05/2022,3.5,0.0, ,22.1,11.7,60,29,3.38,14.18
MANDURAH,07/05/2022,2.5,0.0, ,23.0,11.1,71,41,1.93,14.08
MANDURAH,08/05/2022,2.2,0.0, ,23.1,13.8,88,38,1.39,13.30
MANDURAH,09/05/2022,2.1,0.0, ,22.4,12.6,92,54,1.67,13.76
MANDURAH,10/05/2022,2.5,0.0, ,22.6,13.3,87,43,2.29,13.73
MANDURAH,11/05/2022,1.7,0.0, ,20.2,13.7,89,65,2.16,8.15
MANDURAH,12/05/2022,1.2,21.6, ,14.9,11.6,93,73,3.78,3.62
MANDURAH,13/05/2022,2.4,8.8, ,18.6,11.2,88,49,3.94,9.70
MANDURAH,14/05/2022,2.3,0.2, ,19.6,14.7,89,62,5.20,9.71
MANDURAH,15/05/2022,1.4,4.4, ,17.5,13.9,86,61,1.11,8.32
MANDURAH,16/05/2022,2.2,0.0, ,20.4,11.9,88,52,2.78,12.03
MANDURAH,17/05/2022,2.4,0.0, ,21.6,13.5,88,47,2.71,13.08
MANDURAH,18/05/2022,1.8,8.0, ,20.2,15.5,90,73,3.85,8.43
MANDURAH,19/05/2022,1.9,5.8, ,21.7,14.6,87,65,2.23,11.39
MANDURAH,20/05/2022,1.2,9.8, ,18.4,15.5,95,77,1.92,7.13
MANDURAH,21/05/2022,2.0,6.2, ,24.9,13.7,90,44,1.41,12.72
MANDURAH,22/05/2022,2.7,0.2, ,21.3,14.9,91,61,7.98,8.32
MANDURAH,23/05/2022, ,15.6, , ,14.2,94,62,11.43,6.68
MANDURAH,24/05/2022,2.4, , ,21.0,13.2,89,62,5.40,10.36
MANDURAH,25/05/2022,1.6,1.0, ,20.6,11.8,92,53,1.43,11.66
MANDURAH,26/05/2022,2.1,0.2, ,21.9,11.1,86,42,2.04,12.24
MANDURAH,27/05/2022,2.2,0.0, ,22.9,13.2,77,44,2.03,12.18
MANDURAH,28/05/2022,2.3,0.0, ,20.8,12.7,86,48,3.19,11.93
MANDURAH,29/05/2022,2.1,0.0, ,17.0,9.8,82,48,3.50,11.43
MANDURAH,30/05/2022,1.5,0.0, ,18.5,8.6,84,54,1.52,11.44
MANDURAH,31/05/2022,1.7,0.0, ,17.9,10.7,86,55,2.47,10.66
Totals:,,66.2,81.8, ,,,,,, 
