'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANJIMUP Western Australia for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANJIMUP,01/11/2011,5.7,0.0, ,26.4,10.5,95,36,3.66,28.21
MANJIMUP,02/11/2011, ,0.0, , ,11.9,99,46,3.16,26.44
MANJIMUP,03/11/2011, , , , , ,100,29,3.27,5.93
MANJIMUP,04/11/2011, , , ,19.1, ,100,70,3.85,20.81
MANJIMUP,05/11/2011,4.2,3.8, ,21.1,11.7,100,53,3.04,25.02
MANJIMUP,06/11/2011,5.4,0.0, ,22.4,10.1,99,30,4.40,27.61
MANJIMUP,07/11/2011,4.6,5.0, ,21.2,10.0,99,49,7.11,24.95
MANJIMUP,08/11/2011,3.9,13.4, ,16.9,9.3,96,51,5.71,24.80
MANJIMUP,09/11/2011,4.2,4.2, ,19.3,7.7,98,44,3.69,25.44
MANJIMUP,10/11/2011,3.8,0.0, ,20.6,9.3,97,55,3.42,21.83
MANJIMUP,11/11/2011,4.8,1.4, ,21.7,10.8,99,38,3.06,27.43
MANJIMUP,12/11/2011,4.7,0.0, ,22.2,8.9,99,45,3.73,26.60
MANJIMUP,13/11/2011,3.6,0.0, ,19.4,13.6,97,61,4.58,20.00
MANJIMUP,14/11/2011,4.2,3.0, ,19.8,13.3,98,59,4.41,26.23
MANJIMUP,15/11/2011,5.2,1.6, ,21.3,6.7,92,36,2.93,31.65
MANJIMUP,16/11/2011,6.5,0.0, ,24.6,9.1,92,27,4.91,31.51
MANJIMUP,17/11/2011,2.9,3.2, ,17.1,15.5,98,75,5.48,19.30
MANJIMUP,18/11/2011,4.7,5.0, ,19.8,8.8,99,41,3.55,28.97
MANJIMUP,19/11/2011,5.0,0.2, ,20.9,8.4,93,41,3.46,29.66
MANJIMUP,20/11/2011,5.3,0.0, ,23.1,7.0,95,37,3.27,30.18
MANJIMUP,21/11/2011,4.7,0.0, ,22.4,9.0,96,51,3.56,27.12
MANJIMUP,22/11/2011,6.5,0.0, ,27.5,11.3,97,28,3.31,32.23
MANJIMUP,23/11/2011,8.9,0.0, ,33.5,13.5,85,16,4.43,32.99
MANJIMUP,24/11/2011,10.1,0.0, ,34.4,17.3,53,17,5.75,30.96
MANJIMUP,25/11/2011,4.9,0.0, ,23.6,16.7,93,55,3.56,26.04
MANJIMUP,26/11/2011,4.3,0.0, ,19.1,11.8,89,47,4.22,23.33
MANJIMUP,27/11/2011,4.8,0.0, ,20.3,8.9,89,39,3.46,27.35
MANJIMUP,28/11/2011,4.1,0.0, ,19.0,8.5,95,47,3.85,23.14
MANJIMUP,29/11/2011,4.7,3.6, ,18.1,6.8,88,43,4.64,29.32
MANJIMUP,30/11/2011,6.4,0.2, ,23.4,5.9,82,28,4.40,33.58
Totals:,,138.1,44.6, ,,,,,, 
