'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANJIMUP Western Australia for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANJIMUP,01/11/2013,2.0,0.4, ,17.2,13.9,100,80,4.05,12.00
MANJIMUP,02/11/2013,5.9,0.2, ,22.4,10.7,92,40,5.70,32.55
MANJIMUP,03/11/2013,5.3,0.0, ,26.1,9.4,83,41,3.77,24.64
MANJIMUP,04/11/2013,6.9,0.0, ,32.5,15.2,100,33,4.75,25.50
MANJIMUP,05/11/2013,3.8,0.4, ,20.6,12.6,100,46,3.94,19.14
MANJIMUP,06/11/2013,1.7,0.6, ,16.4,11.3,100,88,2.80,10.45
MANJIMUP,07/11/2013,4.7,4.0, ,20.8,9.1,100,46,4.04,28.63
MANJIMUP,08/11/2013,6.3,0.2, ,24.7,7.4,100,32,3.04,35.75
MANJIMUP,09/11/2013,7.3,0.0, ,28.6,8.7,92,25,3.23,35.74
MANJIMUP,10/11/2013,8.7,0.0, ,32.7,10.9,91,19,3.90,35.95
MANJIMUP,11/11/2013,6.2,0.0, ,27.6,13.8,100,45,4.38,31.68
MANJIMUP,12/11/2013,3.7,0.0, ,19.9,14.4,99,60,5.65,20.48
MANJIMUP,13/11/2013,3.5,0.4, ,19.9,12.6,98,58,5.75,17.55
MANJIMUP,14/11/2013,5.7,0.2, ,23.5,13.5,100,46,5.99,31.21
MANJIMUP,15/11/2013,8.0,0.0, ,28.7,11.5,93,27,4.62,36.93
MANJIMUP,16/11/2013,8.0,0.0, ,33.7,10.6,98,21,2.71,35.35
MANJIMUP,17/11/2013,6.2,0.0, ,28.0,16.0,97,45,5.70,27.70
MANJIMUP,18/11/2013,3.9,0.6, ,17.8,11.5,100,49,6.06,22.31
MANJIMUP,19/11/2013,5.4,0.0, ,19.4,7.9,76,35,6.09,27.26
MANJIMUP,20/11/2013,7.2,0.0, ,24.4,7.7,94,26,5.01,37.19
MANJIMUP,21/11/2013,7.1,0.0, ,26.9,9.6,86,28,3.92,34.66
MANJIMUP,22/11/2013,2.1,1.4, ,21.7,12.8,100,69,3.30,8.07
MANJIMUP,23/11/2013,6.5,15.8, ,29.0,12.6,100,43,3.22,33.43
MANJIMUP,24/11/2013,4.1,0.0, ,19.7,13.7,100,49,4.11,22.83
MANJIMUP,25/11/2013,5.5,2.0, ,22.0,10.6,100,37,3.72,31.48
MANJIMUP,26/11/2013,6.7,0.2, ,26.1,8.9,92,37,3.80,35.88
MANJIMUP,27/11/2013,6.8,0.0, ,26.2,11.0,98,40,5.53,35.11
MANJIMUP,28/11/2013,7.7,0.0, ,31.9,15.1,93,32,4.17,32.62
MANJIMUP,29/11/2013,4.1,0.0, ,22.7,13.8,100,52,6.27,17.44
MANJIMUP,30/11/2013,4.6,14.6, ,20.7,11.6,100,51,5.43,26.96
Totals:,,165.6,41, ,,,,,, 
