'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANJIMUP Western Australia for June 2015,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 July 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANJIMUP,01/06/2015,2.1,0.2, ,18.6,7.0,100,43,3.90,8.69
MANJIMUP,02/06/2015,2.0,14.4, ,17.6,9.3,100,59,7.02,9.74
MANJIMUP,03/06/2015,1.1,2.6, ,18.9,11.7,100,84,6.81,5.10
MANJIMUP,04/06/2015,1.7,6.8, ,20.1,13.5,100,67,4.88,7.93
MANJIMUP,05/06/2015,1.8,0.2, ,21.3,13.9,100,64,4.20,8.45
MANJIMUP,06/06/2015,1.7,2.2, ,18.9,10.5,100,55,3.52,9.76
MANJIMUP,07/06/2015,1.2,1.0, ,18.1,10.1,100,71,2.59,7.25
MANJIMUP,08/06/2015,1.1,0.0, ,15.9,12.3,97,71,2.69,5.47
MANJIMUP,09/06/2015,1.4,0.2, ,18.0,7.2,100,63,2.76,10.47
MANJIMUP,10/06/2015,1.8,0.0, ,19.9,8.8,97,54,3.09,10.24
MANJIMUP,11/06/2015,1.7,0.0, ,19.1,9.7,100,58,3.97,7.35
MANJIMUP,12/06/2015,1.3,11.0, ,16.4,12.2,100,70,4.31,7.71
MANJIMUP,13/06/2015,1.4,0.6, ,15.2,7.9,100,60,3.55,8.88
MANJIMUP,14/06/2015,1.4,0.0, ,15.2,6.8,100,61,3.54,9.67
MANJIMUP,15/06/2015,1.2,0.2, ,16.8,6.3,100,69,3.31,9.12
MANJIMUP,16/06/2015,1.6,0.4, ,18.0,8.8,100,52,2.95,9.20
MANJIMUP,17/06/2015,1.0,1.2, ,13.2,10.1,100,72,3.45,3.61
MANJIMUP,18/06/2015,0.8,2.8, ,14.4,9.8,100,82,3.10,4.06
MANJIMUP,19/06/2015,0.9,12.2, ,19.1,10.9,100,88,2.85,6.99
MANJIMUP,20/06/2015,1.2,4.2, ,19.4,13.6,100,77,4.06,5.62
MANJIMUP,21/06/2015,0.9,3.6, ,14.9,11.2,100,85,6.28,6.20
MANJIMUP,22/06/2015,1.6,35.4, ,12.7,7.2,100,54,5.66,9.01
MANJIMUP,23/06/2015,1.0,0.2, ,13.6,5.2,100,61,1.65,7.95
MANJIMUP,24/06/2015,1.2,0.2, ,15.2,2.3,100,67,3.52,8.11
MANJIMUP,25/06/2015,1.6,0.0, ,17.4,5.1,100,59,4.25,8.71
MANJIMUP,26/06/2015,1.3,1.8, ,15.0,8.5,100,57,2.98,10.31
MANJIMUP,27/06/2015,1.4,0.0, ,16.3,6.0,100,54,2.85,10.25
MANJIMUP,28/06/2015,1.4,0.0, ,16.9,4.7,100,53,2.35,10.52
MANJIMUP,29/06/2015,1.6,0.0, ,18.2,4.3,100,41,2.29,10.28
MANJIMUP,30/06/2015,1.2,0.0, ,17.2,6.5,100,69,3.01,6.95
Totals:,,41.6,101.4, ,,,,,, 
