'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANJIMUP Western Australia for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANJIMUP,01/06/2021,1.4,0.6, ,17.4,8.3,99,63,2.60,10.68
MANJIMUP,02/06/2021,1.2,0.8, ,17.2,10.6,99,67,2.25,8.41
MANJIMUP,03/06/2021,1.4,1.0, ,18.8,9.8,99,64,2.74,9.02
MANJIMUP,04/06/2021,1.9,0.2, ,18.7,8.8,99,58,4.59,10.53
MANJIMUP,05/06/2021,1.5,1.2, ,18.5,9.7,99,62,3.44,9.01
MANJIMUP,06/06/2021,1.6,3.6, ,16.6,11.5,99,59,4.07,8.80
MANJIMUP,07/06/2021,1.9,0.2, ,14.9,9.0,76,55,4.19,9.98
MANJIMUP,08/06/2021,1.5,0.0, ,13.5,8.4,79,63,3.36,6.09
MANJIMUP,09/06/2021,1.5,0.0, ,16.5,9.1,96,64,5.14,3.89
MANJIMUP,10/06/2021,0.8,10.2, ,17.0,8.7,99,91,5.50,6.19
MANJIMUP,11/06/2021,0.8,11.4, ,15.1,7.2,99,80,1.88,7.26
MANJIMUP,12/06/2021,1.3,0.0, ,18.3,6.9,99,53,1.71,10.76
MANJIMUP,13/06/2021,1.5,0.6, ,17.2,8.1,99,56,3.06,10.07
MANJIMUP,14/06/2021,1.4,7.4, ,11.6,8.4,97,65,6.05,8.80
MANJIMUP,15/06/2021,1.3,6.6, ,15.5,6.5,99,63,3.45,9.79
MANJIMUP,16/06/2021,1.0,5.6, ,15.3,7.4,99,79,3.13,8.75
MANJIMUP,17/06/2021,1.0,1.0, ,15.4,4.1,99,58,1.47,10.40
MANJIMUP,18/06/2021,1.7,0.0, ,16.5,4.8,93,58,4.24,10.78
MANJIMUP,19/06/2021,1.5,0.0, ,15.6,6.3,99,64,5.05,7.91
MANJIMUP,20/06/2021,0.7,11.0, ,11.9,9.9,99,90,5.26,5.54
MANJIMUP,21/06/2021,0.9,16.8, ,9.9,6.3,98,80,6.49,8.50
MANJIMUP,22/06/2021,1.0,2.0, ,12.1,5.7,98,76,4.54,8.58
MANJIMUP,23/06/2021,1.5,3.6, ,14.6,7.8,94,57,3.83,9.22
MANJIMUP,24/06/2021,1.1,0.0, ,14.0,6.5,98,61,2.02,7.86
MANJIMUP,25/06/2021,1.7,0.0, ,17.5,5.8,91,63,4.18,10.82
MANJIMUP,26/06/2021,2.1,0.0, ,17.4,6.4,93,43,3.91,10.85
MANJIMUP,27/06/2021,2.0,0.0, ,14.8,8.1,94,56,7.08,6.48
MANJIMUP,28/06/2021,1.9,2.8, ,16.6,9.2,98,57,6.19,9.04
MANJIMUP,29/06/2021,0.9,11.4, ,11.6,7.0,99,76,3.25,9.66
MANJIMUP,30/06/2021,1.4,2.4, ,14.9,4.9,99,64,4.14,9.20
Totals:,,41.4,100.4, ,,,,,, 
