'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARBLE BAR Western Australia for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARBLE BAR,01/11/2012,9.0,0.0, ,40.6,26.2,50,12,3.19,28.30
MARBLE BAR,02/11/2012,8.2,0.0, ,41.1,24.7,39,11,2.27,29.91
MARBLE BAR,03/11/2012,9.1,0.0, ,41.5,25.0,35,10,2.91,30.47
MARBLE BAR,04/11/2012,8.8,0.0, ,38.9,26.8,47,15,3.31,27.34
MARBLE BAR,05/11/2012,8.4,0.0, ,38.5,22.9,58,10,2.74,30.27
MARBLE BAR,06/11/2012,8.6,0.0, ,38.7,20.3,25,7,2.83,30.33
MARBLE BAR,07/11/2012,8.3,0.0, ,39.7,20.0,29,7,2.47,30.74
MARBLE BAR,08/11/2012,10.5,0.0, ,39.3,23.4,27,7,4.20,30.87
MARBLE BAR,09/11/2012,10.9,0.0, ,39.0,25.6,13,6,4.45,30.92
MARBLE BAR,10/11/2012,9.7,0.0, ,41.2,25.2,15,6,3.24,30.98
MARBLE BAR,11/11/2012,9.2,0.0, ,41.1,23.0,66,12,3.07,31.15
MARBLE BAR,12/11/2012,8.3,0.0, ,40.3,23.8,85,12,2.42,30.92
MARBLE BAR,13/11/2012,9.1,0.0, ,41.7,25.5,49,13,2.90,29.77
MARBLE BAR,14/11/2012,9.7,0.0, ,44.6,28.0,38,7,2.90,31.11
MARBLE BAR,15/11/2012,9.5,0.0, ,43.4,25.5,87,17,3.17,31.34
MARBLE BAR,16/11/2012,11.5,0.0, ,43.6,25.1,86,2,4.69,30.82
MARBLE BAR,17/11/2012,8.6,13.4, ,41.8,19.7,20,1,2.47,31.35
MARBLE BAR,18/11/2012,8.4,0.0, ,43.0,24.5,20,1,2.23,31.52
MARBLE BAR,19/11/2012,9.3,0.0, ,43.1,23.9,20,1,2.78,31.52
MARBLE BAR,20/11/2012,8.0,0.0, ,43.4,23.9,20,1,2.03,30.57
MARBLE BAR,21/11/2012,8.9,0.0, ,42.3,25.1,19,1,2.76,28.13
MARBLE BAR,22/11/2012,8.7,0.0, ,41.2,24.3,20,1,2.63,30.24
MARBLE BAR,23/11/2012,9.3,0.0, ,42.4,25.1,19,1,2.86,31.00
MARBLE BAR,24/11/2012,9.6,0.0, ,41.3,24.6,20,1,3.10,31.42
MARBLE BAR,25/11/2012,9.9,0.0, ,42.9,25.1,19,1,3.15,31.84
MARBLE BAR,26/11/2012,11.0,0.2, ,40.8,27.4,17,1,4.21,30.72
MARBLE BAR,27/11/2012,9.9,0.6, ,40.4,23.7,21,1,3.36,31.81
MARBLE BAR,28/11/2012,11.1,0.0, ,38.6,25.2,19,1,4.53,31.60
MARBLE BAR,29/11/2012,9.8,0.0, ,39.8,24.5,20,1,3.38,31.36
MARBLE BAR,30/11/2012,8.9,0.0, ,41.3,22.7,22,1,2.59,31.95
Totals:,,280.2,14.2, ,,,,,, 
