'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARBLE BAR Western Australia for February 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARBLE BAR,01/02/2015,8.6,0.0, ,39.2,25.6,72,22,3.37,28.63
MARBLE BAR,02/02/2015,8.3,0.0, ,41.1,26.1,66,21,2.79,27.48
MARBLE BAR,03/02/2015,7.9,0.0, ,41.5,28.9,59,21,2.71,23.82
MARBLE BAR,04/02/2015,9.3,0.0, ,42.0,28.7,52,20,4.13,22.33
MARBLE BAR,05/02/2015,9.0,0.2, ,43.0,28.5,57,11,2.99,26.82
MARBLE BAR,06/02/2015,8.5,0.4, ,43.7,25.8,60,8,2.46,27.52
MARBLE BAR,07/02/2015,8.7,0.0, ,44.0,24.6,67,9,2.57,28.09
MARBLE BAR,08/02/2015,9.8,0.0, ,44.9,27.8,34,9,3.68,22.38
MARBLE BAR,09/02/2015,9.2,0.0, ,46.4,29.7,32,9,2.82,25.88
MARBLE BAR,10/02/2015,11.7,0.0, ,46.6,32.5,27,7,4.35,27.55
MARBLE BAR,11/02/2015,9.5,0.0, ,45.7,29.0,61,8,3.22,25.38
MARBLE BAR,12/02/2015,8.6,0.0, ,45.4,27.9,54,9,2.89,22.57
MARBLE BAR,13/02/2015,10.6,0.0, ,45.5,28.6,59,10,3.91,27.83
MARBLE BAR,14/02/2015,10.6,0.0, ,44.6,30.0,60,12,4.27,26.99
MARBLE BAR,15/02/2015,8.3,0.6, ,45.0,28.4,61,10,2.30,26.85
MARBLE BAR,16/02/2015,8.6,0.0, ,46.3,28.4,55,9,2.65,24.20
MARBLE BAR,17/02/2015,8.0,0.0, ,45.6,27.1,61,9,2.04,27.34
MARBLE BAR,18/02/2015,8.6,0.0, ,46.5,29.0,50,9,2.53,25.43
MARBLE BAR,19/02/2015,10.3,0.0, ,47.9,30.4,53,9,3.77,23.33
MARBLE BAR,20/02/2015,9.4,0.8, ,47.6,28.2,51,7,3.07,24.05
MARBLE BAR,21/02/2015,10.6,0.0, ,47.3,30.4,64,6,4.18,22.75
MARBLE BAR,22/02/2015,9.2,0.0, ,43.3,29.6,85,20,4.26,23.79
MARBLE BAR,23/02/2015,6.7,6.2, ,39.8,23.3,86,28,2.80,20.78
MARBLE BAR,24/02/2015,4.3,1.0, ,34.1,26.7,83,43,2.16,13.62
MARBLE BAR,25/02/2015,6.2,0.2, ,39.5,26.0,85,31,2.24,20.63
MARBLE BAR,26/02/2015,6.7,0.0, ,41.1,26.9,74,28,2.50,20.72
MARBLE BAR,27/02/2015,7.2,0.0, ,38.7,24.6,78,29,3.17,22.62
MARBLE BAR,28/02/2015,7.0,0.0, ,41.1,27.0,77,27,2.56,22.36
Totals:,,241.4,9.4, ,,,,,, 
