'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARBLE BAR Western Australia for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARBLE BAR,01/01/2016,10.3,0.0, ,43.0,25.2,69,12,3.92,29.33
MARBLE BAR,02/01/2016,9.9,0.0, ,43.8,24.4,75,11,3.45,29.39
MARBLE BAR,03/01/2016,10.2,0.0, ,44.8,26.6,51,10,3.39,29.20
MARBLE BAR,04/01/2016,12.3,0.0, ,46.8,29.0,49,7,4.60,29.63
MARBLE BAR,05/01/2016,10.6,0.0, ,47.4,32.0,33,9,3.41,27.74
MARBLE BAR,06/01/2016,8.6,0.0, ,46.5,29.4,50,9,2.41,25.37
MARBLE BAR,07/01/2016, ,0.0, , ,31.1,82,11,5.37,23.96
MARBLE BAR,08/01/2016, , , , , ,63,11,3.36,27.99
MARBLE BAR,09/01/2016, , , ,42.0, ,84,19,4.16,27.06
MARBLE BAR,10/01/2016,8.5,0.2, ,42.0,24.4,80,20,3.14,26.28
MARBLE BAR,11/01/2016,9.4,0.0, ,43.6,28.1,46,14,3.01,28.62
MARBLE BAR,12/01/2016,7.9,0.0, ,43.0,27.1,54,15,2.41,24.32
MARBLE BAR,13/01/2016,7.7,0.0, ,41.5,27.6,79,19,3.35,19.74
MARBLE BAR,14/01/2016,8.5,0.8, ,39.5,24.4,77,24,4.72,20.56
MARBLE BAR,15/01/2016,9.3,0.6, ,41.5,24.7,80,20,3.95,27.41
MARBLE BAR,16/01/2016,6.4,0.6, ,37.6,25.0,78,29,3.27,17.07
MARBLE BAR,17/01/2016,8.0,0.0, ,40.1,26.7,80,26,3.35,24.87
MARBLE BAR,18/01/2016,8.4,0.0, ,39.0,24.8,72,30,3.79,26.54
MARBLE BAR,19/01/2016,8.6,0.0, ,37.7,26.8,75,31,4.94,24.51
MARBLE BAR,20/01/2016,8.8,0.0, ,37.0,25.1,66,28,4.64,26.60
MARBLE BAR,21/01/2016,7.6,0.0, ,39.0,22.8,69,12,2.18,28.45
MARBLE BAR,22/01/2016,8.2,0.0, ,41.9,23.8,62,15,2.50,27.03
MARBLE BAR,23/01/2016,7.8,0.0, ,43.8,28.0,44,13,2.14,24.53
MARBLE BAR,24/01/2016,8.9,0.0, ,41.2,29.0,55,25,3.63,24.87
MARBLE BAR,25/01/2016,8.7,0.0, ,41.3,26.2,83,27,4.17,24.53
MARBLE BAR,26/01/2016,8.1,0.0, ,42.2,26.8,71,24,2.69,25.80
MARBLE BAR,27/01/2016,8.3,0.0, ,41.4,28.2,77,24,3.12,25.89
MARBLE BAR,28/01/2016,7.9,0.0, ,39.3,24.7,92,32,4.09,24.00
MARBLE BAR,29/01/2016,3.0,0.0, ,32.8,23.6,98,54,3.43,5.79
MARBLE BAR,30/01/2016,4.4,0.4, ,33.6,24.7,94,52,4.73,10.89
MARBLE BAR,31/01/2016,2.0,0.0, ,28.1,24.3,100,73,6.66,2.40
Totals:,,228.3,2.6, ,,,,,, 
