'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARBLE BAR Western Australia for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARBLE BAR,01/05/2017,5.6,0.0, ,31.5,14.9,62,14,3.10,19.59
MARBLE BAR,02/05/2017,6.9,0.0, ,31.2,18.5,47,17,4.59,19.52
MARBLE BAR,03/05/2017,5.6,0.0, ,30.7,16.9,51,18,3.18,19.39
MARBLE BAR,04/05/2017,4.8,0.0, ,32.4,16.2,57,18,2.21,19.29
MARBLE BAR,05/05/2017,4.1,0.0, ,32.1,14.7,68,17,1.56,19.17
MARBLE BAR,06/05/2017,5.2,0.0, ,32.0,14.1,71,13,2.73,19.02
MARBLE BAR,07/05/2017,5.2,0.0, ,32.6,14.8,50,15,2.60,18.92
MARBLE BAR,08/05/2017,4.4,0.0, ,33.8,16.6,56,18,1.80,18.83
MARBLE BAR,09/05/2017,4.0,0.0, ,33.6,16.3,66,17,1.48,18.72
MARBLE BAR,10/05/2017,3.6,0.0, ,33.6,14.7,74,16,1.10,18.61
MARBLE BAR,11/05/2017,3.2,0.0, ,33.1,14.7,77,17,0.79,18.50
MARBLE BAR,12/05/2017,3.3,0.0, ,33.2,15.3,74,18,0.94,18.43
MARBLE BAR,13/05/2017,3.6,0.0, ,32.9,16.2,67,17,1.25,18.29
MARBLE BAR,14/05/2017,3.6,0.0, ,33.0,14.4,72,14,1.26,18.23
MARBLE BAR,15/05/2017,3.4,0.0, ,33.3,13.8,70,14,1.08,18.17
MARBLE BAR,16/05/2017,3.4,0.0, ,32.5,14.9,65,19,1.16,18.04
MARBLE BAR,17/05/2017,4.5,0.0, ,29.1,14.0,71,26,2.83,17.91
MARBLE BAR,18/05/2017,4.9,0.0, ,27.8,15.0,58,18,3.25,17.80
MARBLE BAR,19/05/2017,4.2,0.0, ,28.3,15.1,61,19,2.43,17.70
MARBLE BAR,20/05/2017,2.6,0.0, ,30.1,11.6,72,20,0.60,17.62
MARBLE BAR,21/05/2017,3.3,0.0, ,31.2,12.5,78,23,1.20,17.54
MARBLE BAR,22/05/2017,4.0,0.0, ,30.3,15.0,74,24,2.13,17.41
MARBLE BAR,23/05/2017,4.3,0.0, ,31.0,12.9,75,24,2.48,17.40
MARBLE BAR,24/05/2017,4.4,0.0, ,32.8,15.7,62,22,2.21,17.38
MARBLE BAR,25/05/2017,4.4,0.0, ,33.7,16.4,67,24,2.17,16.97
MARBLE BAR,26/05/2017,3.9,0.0, ,34.0,17.1,78,15,1.66,16.88
MARBLE BAR,27/05/2017,3.7,0.0, ,34.4,15.5,65,17,1.54,15.46
MARBLE BAR,28/05/2017,4.8,0.0, ,29.0,19.3,64,33,3.93,14.29
MARBLE BAR,29/05/2017,4.6,0.0, ,30.6,15.4,78,19,2.93,16.99
MARBLE BAR,30/05/2017,3.7,0.0, ,31.9,13.9,69,19,1.68,16.67
MARBLE BAR,31/05/2017,5.1,0.0, ,32.1,15.8,56,14,2.91,16.91
Totals:,,132.3,0, ,,,,,, 
