'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARBLE BAR Western Australia for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARBLE BAR,01/01/2020,10.3,0.0, ,43.5,29.1,64,22,4.03,29.36
MARBLE BAR,02/01/2020, ,0.0, ,43.7, ,100,20,2.66,25.25
MARBLE BAR,03/01/2020,6.8,0.0, ,40.5,28.2,99,26,3.11,19.62
MARBLE BAR,04/01/2020,7.4,7.0, ,37.1,23.7,97,34,3.80,25.67
MARBLE BAR,05/01/2020,9.0,0.0, ,35.5,23.9,66,33,5.60,27.76
MARBLE BAR,06/01/2020,8.6,0.0, ,36.1,28.1,59,32,5.94,19.18
MARBLE BAR,07/01/2020,4.9,0.0, ,31.2,25.2,100,50,7.57,11.49
MARBLE BAR,08/01/2020,0.4,76.0, ,26.5,23.7,100,98,9.17,0.46
MARBLE BAR,09/01/2020,5.4,144.2, ,35.5,24.3,100,47,4.44,15.63
MARBLE BAR,10/01/2020,6.1,8.8, ,35.9,26.0,100,47,2.66,23.82
MARBLE BAR,11/01/2020,6.4,0.4, ,37.0,23.1,99,44,2.66,24.69
MARBLE BAR,12/01/2020,8.5,14.2, ,40.5,24.8,100,26,3.04,30.39
MARBLE BAR,13/01/2020,8.9,0.0, ,38.8,27.5,80,33,3.84,30.39
MARBLE BAR,14/01/2020,7.3,0.0, ,38.1,27.2,88,39,2.43,27.57
MARBLE BAR,15/01/2020,7.7,0.0, ,40.1,27.5,99,32,2.52,28.44
MARBLE BAR,16/01/2020,5.9,14.6, ,36.2,24.7,99,38,1.82,23.41
MARBLE BAR,17/01/2020,5.2,0.0, ,36.9,26.8,99,46,2.40,17.92
MARBLE BAR,18/01/2020,6.3,8.4, ,36.6,25.6,100,45,3.64,22.15
MARBLE BAR,19/01/2020,7.9,31.8, ,38.6,21.2,99,33,3.51,28.57
MARBLE BAR,20/01/2020,7.5,6.2, ,38.3,24.4,97,26,2.14,29.74
MARBLE BAR,21/01/2020,7.8, , ,39.8,25.9,81,26,2.41,28.16
MARBLE BAR,22/01/2020,7.8,0.0, ,40.4,26.4,88,24,2.02,30.11
MARBLE BAR,23/01/2020,7.9,0.0, ,41.1,25.9,91,18,2.01,30.07
MARBLE BAR,24/01/2020,7.5,0.0, ,40.3,25.3,93,16,1.71,30.02
MARBLE BAR,25/01/2020,8.4,0.0, ,41.2,26.1,82,14,2.48,29.98
MARBLE BAR,26/01/2020,9.1,0.0, ,42.5,26.3,55,12,2.77,29.94
MARBLE BAR,27/01/2020,8.1,0.0, ,42.4,26.9,75,11,2.08,29.54
MARBLE BAR,28/01/2020,7.7,0.0, ,43.0,27.9,77,17,1.71,28.66
MARBLE BAR,29/01/2020,8.7,0.0, ,44.2,26.9,66,11,2.33,29.50
MARBLE BAR,30/01/2020,9.3,0.0, ,44.2,27.4,78,9,2.82,29.74
MARBLE BAR,31/01/2020,8.2,0.0, ,42.0,25.4,54,11,2.14,29.69
Totals:,,221,311.6, ,,,,,, 
