'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARDIE Western Australia for October 2010,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 November 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARDIE,01/10/2010,7.8,0.0, ,34.8,17.8,80,19,3.98,27.30
MARDIE,02/10/2010,7.8,0.0, ,35.7,18.0,80,21,3.75,27.26
MARDIE,03/10/2010,9.6,0.0, ,39.3,19.1,83,10,4.51,27.77
MARDIE,04/10/2010,11.9,0.0, ,40.8,22.2,51,9,6.24,26.74
MARDIE,05/10/2010,10.4,0.0, ,38.0,23.9,56,15,5.55,28.07
MARDIE,06/10/2010,10.0,0.0, ,37.8,21.8,58,16,5.36,27.36
MARDIE,07/10/2010,10.6,0.0, ,38.6,21.8,57,9,5.43,27.00
MARDIE,08/10/2010,9.3,0.0, ,36.3,19.7,66,14,4.75,28.54
MARDIE,09/10/2010,8.4,0.0, ,36.1,20.9,74,16,3.99,27.97
MARDIE,10/10/2010,9.7,0.0, ,35.7,19.2,72,7,5.24,28.49
MARDIE,11/10/2010,9.6,0.0, ,34.6,18.4,67,18,6.11,28.39
MARDIE,12/10/2010,8.3,0.0, ,34.5,18.4,78,26,4.83,28.27
MARDIE,13/10/2010,6.5,0.0, ,31.1,19.8,95,36,3.83,27.95
MARDIE,14/10/2010,7.4,0.0, ,33.4,18.4,86,29,3.92,28.52
MARDIE,15/10/2010,9.9,0.0, ,37.0,19.8,87,11,5.57,29.07
MARDIE,16/10/2010,10.1,0.0, ,35.3,18.6,58,7,5.25,29.61
MARDIE,17/10/2010,9.2,0.0, ,33.8,17.9,68,8,4.84,29.77
MARDIE,18/10/2010,8.4,0.0, ,34.8,18.6,68,20,4.03,29.85
MARDIE,19/10/2010,8.4,0.0, ,36.8,18.5,79,9,3.33,29.88
MARDIE,20/10/2010,8.7,0.0, ,38.1,18.7,84,10,3.44,29.71
MARDIE,21/10/2010,10.1,0.0, ,39.2,20.5,78,8,4.62,29.82
MARDIE,22/10/2010,11.3,0.0, ,41.3,22.0,71,9,5.24,29.81
MARDIE,23/10/2010,9.3,0.0, ,38.7,21.3,78,15,4.02,29.94
MARDIE,24/10/2010,8.3,0.0, ,35.8,20.1,95,19,4.02,29.62
MARDIE,25/10/2010,9.3,0.0, ,37.4,21.1,75,19,4.57,29.80
MARDIE,26/10/2010,9.1,0.0, ,36.1,20.5,77,22,4.93,29.76
MARDIE,27/10/2010, ,0.0, , ,21.8,73,32,6.29,29.58
MARDIE,28/10/2010, , , ,38.2, ,72,10,7.59,30.18
MARDIE,29/10/2010,10.6,0.0, ,36.4,20.2,74,11,6.06,30.46
MARDIE,30/10/2010,11.7,0.0, ,37.5,21.9,76,8,7.51,27.75
MARDIE,31/10/2010,10.8,0.0, ,36.3,20.3,54,6,5.35,31.00
Totals:,,272.5,0, ,,,,,, 
