'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARDIE Western Australia for July 2012,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 August 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARDIE,01/07/2012,5.5,0.0, ,27.7,12.5,70,12,4.47,15.88
MARDIE,02/07/2012,6.2,0.0, ,28.1,12.1,59,14,5.35,15.93
MARDIE,03/07/2012,5.3,0.0, ,26.1,10.2,61,11,4.29,15.93
MARDIE,04/07/2012,5.4,0.0, ,25.6,8.5,66,8,4.57,15.95
MARDIE,05/07/2012,5.3,0.0, ,26.2,6.5,57,8,4.03,16.00
MARDIE,06/07/2012,4.9,0.0, ,26.7,7.0,64,8,3.51,16.05
MARDIE,07/07/2012,4.3,0.0, ,26.8,6.8,71,9,2.83,16.13
MARDIE,08/07/2012,3.8,0.0, ,27.5,7.2,80,10,2.19,16.18
MARDIE,09/07/2012,4.0,0.0, ,27.5,5.9,80,9,2.38,16.25
MARDIE,10/07/2012,3.9,0.0, ,25.9,6.6,80,24,2.87,16.18
MARDIE,11/07/2012,3.8,0.2, ,27.1,15.1,100,35,3.44,16.19
MARDIE,12/07/2012,4.3,0.0, ,27.5,10.2,82,22,3.19,16.47
MARDIE,13/07/2012,4.6,0.0, ,26.9,12.9,80,20,3.69,16.57
MARDIE,14/07/2012,4.3,0.0, ,25.6,6.5,86,12,3.17,16.60
MARDIE,15/07/2012,5.0,0.0, ,25.4,6.8,71,9,3.90,16.65
MARDIE,16/07/2012,4.6,0.0, ,28.4,7.9,66,16,2.98,16.72
MARDIE,17/07/2012,4.0,0.0, ,29.0,9.1,78,16,2.24,16.90
MARDIE,18/07/2012,4.2,0.0, ,28.9,15.7,91,29,3.24,16.28
MARDIE,19/07/2012,5.5,0.0, ,30.7,15.7,93,12,4.01,16.98
MARDIE,20/07/2012, ,0.0, , ,13.7,60,8,4.21,16.12
MARDIE,21/07/2012, , , , , ,65,9,3.81,16.57
MARDIE,22/07/2012, , , ,28.4, ,65,8,3.50,16.06
MARDIE,23/07/2012,4.4,0.0, ,28.9,14.3,67,9,2.51,16.44
MARDIE,24/07/2012,4.6,0.0, ,31.3,10.8,77,13,2.50,17.44
MARDIE,25/07/2012,4.9,0.0, ,31.5,12.9,77,10,2.71,17.54
MARDIE,26/07/2012,5.3,0.0, ,29.7,13.6,71,15,3.49,17.65
MARDIE,27/07/2012,5.5,0.0, ,27.3,13.6,73,9,4.24,16.23
MARDIE,28/07/2012,5.5,0.0, ,27.7,10.3,68,10,3.91,17.84
MARDIE,29/07/2012,6.3,0.0, ,28.7,10.6,63,9,4.71,17.71
MARDIE,30/07/2012,6.1,0.0, ,27.9,10.7,60,11,4.67,18.00
MARDIE,31/07/2012, ,0.0, , ,8.8,77,10,4.09,18.07
Totals:,,131.5,0.2, ,,,,,, 
