'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARDIE Western Australia for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARDIE,01/07/2020,3.5,0.0, ,31.8,17.0,70,23,1.72,15.11
MARDIE,02/07/2020,4.1,0.0, ,30.4,18.6,79,17,2.83,10.64
MARDIE,03/07/2020,5.2,0.0, ,32.8,17.1,48,12,3.08,12.97
MARDIE,04/07/2020,7.6,0.0, ,33.3,19.4,55,11,5.49,16.90
MARDIE,05/07/2020,7.1,0.0, ,31.9,17.0,65,15,5.67,16.90
MARDIE,06/07/2020,5.3,0.0, ,30.2,13.3,72,8,3.52,16.94
MARDIE,07/07/2020,5.2,0.0, ,30.8,11.8,67,8,3.20,16.98
MARDIE,08/07/2020, ,0.0, , ,13.8,70,7,2.55,16.98
MARDIE,09/07/2020, ,0.0, ,32.0, ,97,7,3.17,17.06
MARDIE,10/07/2020,6.6,0.0, ,32.2,12.6,75,7,4.54,17.09
MARDIE,11/07/2020,7.6,0.0, ,32.2,14.9,46,8,5.30,17.14
MARDIE,12/07/2020,6.3,0.0, ,29.6,14.7,63,8,4.67,17.19
MARDIE,13/07/2020, ,0.0, , ,12.9,48,8,3.98,17.24
MARDIE,14/07/2020, , , , , ,72,11,2.96,17.29
MARDIE,15/07/2020, , , ,30.6, ,97,15,2.49,17.35
MARDIE,16/07/2020,6.4,0.0, ,30.6,14.7,82,8,4.85,17.41
MARDIE,17/07/2020,3.8,0.0, ,28.6,14.5,80,38,2.65,17.27
MARDIE,18/07/2020,2.2,0.0, ,24.7,20.3,100,47,2.51,6.82
MARDIE,19/07/2020,3.2,1.2, ,26.5,15.8,100,37,1.82,17.34
MARDIE,20/07/2020,4.3,0.0, ,27.7,14.6,99,25,3.35,17.81
MARDIE,21/07/2020,4.5,0.0, ,28.7,13.0,83,23,3.16,17.89
MARDIE,22/07/2020,3.9,0.0, ,29.8,12.5,87,28,2.20,17.96
MARDIE,23/07/2020,5.3,0.0, ,31.0,14.1,86,14,3.40,18.04
MARDIE,24/07/2020, ,0.0, , ,13.9,84,19,3.04,18.11
MARDIE,25/07/2020,5.2,0.0, ,29.6,13.8,81,13,3.54,18.16
MARDIE,26/07/2020,6.4,0.0, ,29.2,12.8,54,9,4.51,18.20
MARDIE,27/07/2020, ,0.0, , ,11.0,72,7,2.86,18.28
MARDIE,28/07/2020,5.6, , ,30.9,10.9,76,7,3.38,18.38
MARDIE,29/07/2020,6.4,0.0, ,32.7,10.8,62,7,3.70,18.46
MARDIE,30/07/2020,5.8,0.0, ,31.9,11.2,91,7,3.49,18.55
MARDIE,31/07/2020,4.7,0.0, ,33.0,11.3,68,5,2.06,18.64
Totals:,,126.2,1.2, ,,,,,, 
