'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILLENDON (SWAN VALLEY) Western Australia for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILLENDON (SWAN VALLEY),01/07/2022,1.3,0.0, ,19.1,4.2,95,49,1.08,12.08
MILLENDON (SWAN VALLEY),02/07/2022,1.2,0.0, ,18.8,2.9,96,45,0.79,12.09
MILLENDON (SWAN VALLEY),03/07/2022,1.3,0.0, ,19.2,1.5,97,38,1.03,12.13
MILLENDON (SWAN VALLEY),04/07/2022,2.1,0.0, ,18.6,3.6,88,32,2.40,12.16
MILLENDON (SWAN VALLEY),05/07/2022,1.4,0.0, ,15.0,4.7,96,34,1.55,6.05
MILLENDON (SWAN VALLEY),06/07/2022,1.3,3.4, ,18.3,7.4,96,56,1.09,12.22
MILLENDON (SWAN VALLEY),07/07/2022,1.2,0.2, ,17.8,6.2,95,60,1.20,10.43
MILLENDON (SWAN VALLEY),08/07/2022,1.7,0.0, ,22.2,9.5,96,29,1.34,10.23
MILLENDON (SWAN VALLEY),09/07/2022,2.9,0.0, ,22.2,11.0,96,25,3.73,5.51
MILLENDON (SWAN VALLEY),10/07/2022,1.6,19.2, ,18.5,10.2,97,53,2.06,10.21
MILLENDON (SWAN VALLEY),11/07/2022,1.1,0.6, ,18.5,3.6,99,46,0.50,12.23
MILLENDON (SWAN VALLEY),12/07/2022,1.2,0.2, ,20.7,2.7,98,35,0.64,12.39
MILLENDON (SWAN VALLEY),13/07/2022,1.6,0.0, ,22.0,1.9,97,49,1.26,12.30
MILLENDON (SWAN VALLEY),14/07/2022,1.2,0.0, ,19.2,8.3,98,70,2.13,6.70
MILLENDON (SWAN VALLEY),15/07/2022,1.5,9.2, ,20.3,9.2,98,60,1.61,11.73
MILLENDON (SWAN VALLEY),16/07/2022,1.3,0.0, ,20.4,5.4,99,48,0.65,11.74
MILLENDON (SWAN VALLEY),17/07/2022,1.0,0.2, ,14.7,11.2,95,65,1.30,5.15
MILLENDON (SWAN VALLEY),18/07/2022,1.4,11.2, ,19.6,8.8,98,66,1.58,11.69
MILLENDON (SWAN VALLEY),19/07/2022,1.5,0.0, ,17.1,9.7,85,67,1.68,12.57
MILLENDON (SWAN VALLEY),20/07/2022,1.9,0.0, ,20.9,11.3,86,48,2.14,9.07
MILLENDON (SWAN VALLEY),21/07/2022,1.9,5.8, ,18.3,12.4,98,50,2.76,9.99
MILLENDON (SWAN VALLEY),22/07/2022,1.2,6.0, ,18.3,8.6,98,72,1.27,9.52
MILLENDON (SWAN VALLEY),23/07/2022,1.2,10.0, ,16.4,10.9,97,77,3.12,5.94
MILLENDON (SWAN VALLEY),24/07/2022,1.2,19.4, ,16.0,6.5,98,58,0.61,11.89
MILLENDON (SWAN VALLEY),25/07/2022,1.7,0.2, ,17.6,8.1,97,57,2.09,12.45
MILLENDON (SWAN VALLEY),26/07/2022,1.7,0.0, ,18.7,7.5,98,52,2.13,9.99
MILLENDON (SWAN VALLEY),27/07/2022,1.8,4.6, ,20.4,11.3,98,42,1.14,13.58
MILLENDON (SWAN VALLEY),28/07/2022,2.1,0.2, ,22.0,9.2,96,49,2.02,13.04
MILLENDON (SWAN VALLEY),29/07/2022,1.7,23.4, ,18.8,13.4,98,59,3.09,7.57
MILLENDON (SWAN VALLEY),30/07/2022,1.9,4.6, ,16.4,9.9,96,54,2.90,12.47
MILLENDON (SWAN VALLEY),31/07/2022,1.3,5.0, ,17.2,6.6,98,57,0.89,9.44
Totals:,,47.4,123.4, ,,,,,, 
