'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORAWA AIRPORT Western Australia for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORAWA AIRPORT,01/07/2011,1.6,1.0, ,16.9,6.2,100,54,1.94,13.60
MORAWA AIRPORT,02/07/2011,1.8,0.2, ,17.0,7.9,98,60,3.46,13.30
MORAWA AIRPORT,03/07/2011,1.7,0.6, ,16.4,8.7,100,54,2.55,13.87
MORAWA AIRPORT,04/07/2011,1.7,0.0, ,14.5,3.6,100,50,2.93,14.44
MORAWA AIRPORT,05/07/2011,2.1,0.0, ,15.0,4.6,90,45,3.56,14.74
MORAWA AIRPORT,06/07/2011,1.7,0.0, ,15.0,1.3,99,50,2.73,14.23
MORAWA AIRPORT,07/07/2011,1.7,0.0, ,16.1,2.9,98,49,2.37,13.06
MORAWA AIRPORT,08/07/2011,2.1,0.0, ,16.6,2.4,97,42,3.02,14.64
MORAWA AIRPORT,09/07/2011,2.3,0.0, ,16.1,1.8,91,46,3.96,14.91
MORAWA AIRPORT,10/07/2011,1.2,1.4, ,11.0,5.4,100,68,4.71,6.39
MORAWA AIRPORT,11/07/2011,0.8,24.4, ,13.3,8.1,100,89,5.20,6.83
MORAWA AIRPORT,12/07/2011,1.6,7.8, ,17.5,6.4,100,64,1.88,14.38
MORAWA AIRPORT,13/07/2011,1.5,0.0, ,19.7,4.9,100,57,0.67,14.50
MORAWA AIRPORT,14/07/2011,2.0,0.0, ,22.0,5.9,100,48,1.72,14.80
MORAWA AIRPORT,15/07/2011,2.3,0.0, ,22.0,11.4,100,58,4.01,12.63
MORAWA AIRPORT,16/07/2011,1.9,7.8, ,18.1,12.0,100,56,2.20,14.05
MORAWA AIRPORT,17/07/2011,1.0,0.4, ,14.7,9.2,100,82,2.36,7.08
MORAWA AIRPORT,18/07/2011,1.3,3.6, ,16.0,10.4,100,74,2.38,9.59
MORAWA AIRPORT,19/07/2011,1.8,0.4, ,18.8,6.7,100,54,1.68,13.90
MORAWA AIRPORT,20/07/2011,1.7,0.2, ,19.3,6.2,100,48,2.69,2.12
MORAWA AIRPORT,21/07/2011,1.8,0.0, ,19.7,11.1,100,53,2.12,10.19
MORAWA AIRPORT,22/07/2011,2.1,0.2, ,19.6,6.7,100,50,2.16,14.99
MORAWA AIRPORT,23/07/2011,2.0,0.0, ,20.5,6.5,100,42,1.46,15.60
MORAWA AIRPORT,24/07/2011,1.2,0.0, ,18.3,8.4,97,64,0.93,7.67
MORAWA AIRPORT,25/07/2011,1.7,0.2, ,20.1,10.6,96,57,2.48,5.38
MORAWA AIRPORT,26/07/2011,1.5,1.4, ,20.0,8.9,100,66,1.19,10.38
MORAWA AIRPORT,27/07/2011,2.4,0.2, ,22.6,8.1,100,54,3.24,13.24
MORAWA AIRPORT,28/07/2011,2.6,9.8, ,20.1,11.8,100,60,6.06,14.73
MORAWA AIRPORT,29/07/2011,2.6,1.6, ,19.2,10.7,97,53,4.37,15.07
MORAWA AIRPORT,30/07/2011,2.4,0.2, ,20.7,10.4,100,54,4.03,12.68
MORAWA AIRPORT,31/07/2011,2.8,2.0, ,20.5,13.1,100,52,5.34,14.07
Totals:,,56.9,63.4, ,,,,,, 
