'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORAWA AIRPORT Western Australia for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORAWA AIRPORT,01/04/2014,4.5,0.0, ,26.5,14.1,76,36,3.59,17.26
MORAWA AIRPORT,02/04/2014,6.8,0.0, ,29.4,13.9,46,21,4.87,21.40
MORAWA AIRPORT,03/04/2014,6.2,0.0, ,30.8,15.4,56,16,3.53,21.24
MORAWA AIRPORT,04/04/2014,5.5,0.0, ,32.1,14.0,45,15,2.84,16.00
MORAWA AIRPORT,05/04/2014,5.2,0.0, ,33.6,17.9,63,23,2.70,15.95
MORAWA AIRPORT,06/04/2014,4.8,0.0, ,28.3,16.0,95,31,4.34,15.86
MORAWA AIRPORT,07/04/2014,5.0,0.0, ,28.4,16.4,88,32,4.37,16.90
MORAWA AIRPORT,08/04/2014, ,0.0, , ,14.2,78,22,2.40,19.99
MORAWA AIRPORT,09/04/2014, , , ,30.7, ,62,16,3.20,19.84
MORAWA AIRPORT,10/04/2014, ,0.0, , ,19.4,100,18,4.05,17.92
MORAWA AIRPORT,14/04/2014, ,0.0, , , ,100,100,2.66,18.53
MORAWA AIRPORT,15/04/2014, ,0.0, ,33.5, ,100,16,2.99,18.68
MORAWA AIRPORT,16/04/2014,5.0,0.0, ,32.6,13.8,88,19,2.71,18.81
MORAWA AIRPORT,17/04/2014,5.1,0.0, ,31.4,13.8,85,22,3.16,18.48
MORAWA AIRPORT,18/04/2014, ,0.0, , ,14.9,100,11,2.59,18.55
MORAWA AIRPORT,19/04/2014, ,0.0, , , ,100,18,3.05,18.34
MORAWA AIRPORT,20/04/2014,4.2,0.0, ,26.6,14.9,92,37,3.96,17.03
MORAWA AIRPORT,21/04/2014, ,0.0, , ,13.5,91,28,4.30,17.72
MORAWA AIRPORT,22/04/2014, ,0.0, ,29.8, ,100,25,2.37,17.10
MORAWA AIRPORT,23/04/2014,4.7,0.0, ,30.1,13.6,57,25,3.10,14.09
MORAWA AIRPORT,24/04/2014,3.6,0.0, ,29.2,19.0,100,26,3.02,9.25
MORAWA AIRPORT,25/04/2014,1.2,30.2, ,20.9,15.5,100,90,2.41,6.04
MORAWA AIRPORT,26/04/2014,2.5,1.8, ,26.2,16.3,100,52,2.96,8.03
MORAWA AIRPORT,27/04/2014,3.1,36.6, ,23.4,17.3,100,52,3.99,15.43
MORAWA AIRPORT,28/04/2014, ,0.6, , ,14.2,100,40,3.90,15.63
MORAWA AIRPORT,29/04/2014, ,0.2, ,19.5, ,99,39,3.59,17.42
MORAWA AIRPORT,30/04/2014,3.2,0.0, ,22.5,8.6,95,27,2.44,17.46
Totals:,,70.6,69.4, ,,,,,, 
