'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MAGNET AERO Western Australia for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MAGNET AERO,01/03/2011,7.8,0.4, ,30.8,23.7,73,39,6.40,28.04
MOUNT MAGNET AERO,02/03/2011, ,0.0, , ,18.9,75,33,6.19,28.11
MOUNT MAGNET AERO,03/03/2011, , , ,30.9, ,64,35,6.17,27.69
MOUNT MAGNET AERO,04/03/2011,6.8,0.0, ,28.6,20.3,65,44,5.67,26.00
MOUNT MAGNET AERO,05/03/2011,6.2,0.0, ,31.2,19.2,78,35,3.32,25.09
MOUNT MAGNET AERO,06/03/2011,7.8,0.0, ,33.0,20.9,67,26,4.43,27.35
MOUNT MAGNET AERO,07/03/2011,7.5,0.0, ,34.2,20.7,52,22,3.62,25.98
MOUNT MAGNET AERO,08/03/2011,6.5,0.0, ,34.5,22.3,76,33,3.25,23.23
MOUNT MAGNET AERO,09/03/2011,7.3,0.0, ,35.3,23.8,69,26,3.68,24.71
MOUNT MAGNET AERO,10/03/2011,8.5,0.0, ,35.4,23.4,52,24,4.55,26.79
MOUNT MAGNET AERO,11/03/2011,7.9,0.0, ,34.6,25.3,58,34,4.35,26.62
MOUNT MAGNET AERO,12/03/2011,8.3,0.0, ,33.2,19.7,60,25,5.34,26.43
MOUNT MAGNET AERO,13/03/2011,8.5,0.0, ,31.2,21.3,58,30,6.73,26.74
MOUNT MAGNET AERO,14/03/2011,8.3,0.0, ,33.0,19.5,62,23,5.38,26.49
MOUNT MAGNET AERO,15/03/2011,7.6,0.0, ,32.6,21.1,63,38,6.17,23.26
MOUNT MAGNET AERO,16/03/2011,6.8,0.0, ,29.8,21.6,71,46,6.39,24.65
MOUNT MAGNET AERO,17/03/2011,6.4,0.0, ,33.0,20.9,79,37,3.51,25.01
MOUNT MAGNET AERO,18/03/2011,7.3,0.0, ,34.9,23.3,80,28,5.06,21.10
MOUNT MAGNET AERO,19/03/2011,6.4,5.8, ,33.8,22.3,81,22,3.26,22.21
MOUNT MAGNET AERO,20/03/2011,7.5,0.0, ,33.8,20.9,61,26,4.41,24.62
MOUNT MAGNET AERO,21/03/2011,5.9,0.0, ,28.5,21.7,72,49,5.48,21.69
MOUNT MAGNET AERO,22/03/2011,6.9,0.0, ,31.9,18.5,68,28,4.24,24.78
MOUNT MAGNET AERO,23/03/2011,7.2,0.0, ,32.8,19.3,55,18,3.80,25.09
MOUNT MAGNET AERO,24/03/2011,8.6,0.0, ,33.1,19.4,43,13,5.07,25.57
MOUNT MAGNET AERO,25/03/2011,8.5,0.0, ,31.9,20.2,44,19,5.56,25.09
MOUNT MAGNET AERO,26/03/2011,8.0,0.0, ,30.7,19.1,47,14,4.98,25.21
MOUNT MAGNET AERO,27/03/2011,6.8,0.0, ,31.4,17.1,52,16,3.50,24.95
MOUNT MAGNET AERO,28/03/2011,6.4,0.0, ,31.9,18.8,48,14,2.95,24.70
MOUNT MAGNET AERO,29/03/2011,6.8,0.0, ,32.4,16.6,46,12,3.30,24.38
MOUNT MAGNET AERO,30/03/2011,8.2,0.0, ,31.0,19.5,32,17,5.27,24.12
MOUNT MAGNET AERO,31/03/2011,7.5,0.0, ,29.9,18.7,52,21,5.41,23.63
Totals:,,214.2,6.2, ,,,,,, 
