'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MAGNET AERO Western Australia for June 2012,,,,,,,,,,
Issued at 22:38 GMT on Sunday 01 July 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MAGNET AERO,01/06/2012,3.7,0.0, ,24.8,9.1,37,12,2.70,12.78
MOUNT MAGNET AERO,02/06/2012,4.2,0.0, ,25.0,6.9,40,11,3.31,12.79
MOUNT MAGNET AERO,03/06/2012,4.4,0.0, ,23.7,11.0,39,19,4.08,12.20
MOUNT MAGNET AERO,04/06/2012,3.9,0.0, ,23.4,9.1,56,27,3.93,12.72
MOUNT MAGNET AERO,05/06/2012,3.9,0.0, ,21.4,11.1,57,34,5.10,9.64
MOUNT MAGNET AERO,06/06/2012,4.4,0.0, ,20.6,14.0,63,36,7.44,7.89
MOUNT MAGNET AERO,07/06/2012,3.5,1.4, ,23.1,12.2,88,42,5.78,11.29
MOUNT MAGNET AERO,08/06/2012,2.2,0.0, ,22.9,12.3,92,43,2.12,10.93
MOUNT MAGNET AERO,09/06/2012,2.4,0.0, ,22.7,11.1,93,40,2.96,6.65
MOUNT MAGNET AERO,10/06/2012,1.2,28.0, ,18.3,14.2,94,84,5.62,3.82
MOUNT MAGNET AERO,11/06/2012,2.9,10.8, ,21.4,13.4,93,53,6.46,11.35
MOUNT MAGNET AERO,12/06/2012,2.3,0.0, ,19.2,13.4,93,56,4.80,9.89
MOUNT MAGNET AERO,13/06/2012,2.9,1.4, ,18.2,14.3,91,45,6.54,11.02
MOUNT MAGNET AERO,14/06/2012,1.8,0.0, ,16.8,10.6,92,54,2.81,10.00
MOUNT MAGNET AERO,15/06/2012,2.0,0.0, ,16.9,9.3,95,51,3.56,10.71
MOUNT MAGNET AERO,16/06/2012,1.9,0.0, ,19.0,5.0,93,43,2.10,12.46
MOUNT MAGNET AERO,17/06/2012,2.5,0.0, ,21.4,5.3,88,31,2.55,12.44
MOUNT MAGNET AERO,18/06/2012,3.3,0.0, ,22.8,6.0,86,24,3.56,12.44
MOUNT MAGNET AERO,19/06/2012,4.2,0.0, ,24.3,10.7,85,31,5.82,12.38
MOUNT MAGNET AERO,20/06/2012,1.2,3.4, ,14.7,12.8,94,70,3.50,3.82
MOUNT MAGNET AERO,21/06/2012,1.8,3.8, ,13.6,6.4,95,54,3.80,12.45
MOUNT MAGNET AERO,22/06/2012,2.0,0.0, ,14.5,1.9,91,47,3.60,12.46
MOUNT MAGNET AERO,23/06/2012,2.2,0.0, ,15.2,3.0,90,41,4.04,11.54
MOUNT MAGNET AERO,24/06/2012,3.0,0.0, ,17.7,9.0,70,35,4.59,9.88
MOUNT MAGNET AERO,25/06/2012,2.4,0.0, ,15.1,6.8,68,41,3.91,5.75
MOUNT MAGNET AERO,26/06/2012,4.4,0.0, ,20.9,10.0,58,23,5.79,10.16
MOUNT MAGNET AERO,27/06/2012,2.3,0.0, ,19.8,12.3,82,44,3.09,7.68
MOUNT MAGNET AERO,28/06/2012,2.0,0.0, ,17.7,7.4,94,49,2.96,11.77
MOUNT MAGNET AERO,29/06/2012,1.9,0.0, ,18.2,5.8,92,40,2.06,12.52
MOUNT MAGNET AERO,30/06/2012,2.3,0.0, ,17.8,4.3,90,36,2.83,12.66
Totals:,,83.1,48.8, ,,,,,, 
