'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MAGNET AERO Western Australia for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MAGNET AERO,01/01/2016,12.2,0.0, ,40.9,26.4,36,14,5.90,29.30
MOUNT MAGNET AERO,02/01/2016,13.3,0.0, ,43.7,25.6,43,11,6.06,30.89
MOUNT MAGNET AERO,03/01/2016,10.6,0.0, ,41.9,23.8,59,12,4.04,31.45
MOUNT MAGNET AERO,04/01/2016,10.5,0.0, ,41.5,26.8,49,14,4.38,27.67
MOUNT MAGNET AERO,05/01/2016,8.5,0.0, ,37.8,25.5,58,21,4.55,19.48
MOUNT MAGNET AERO,06/01/2016,8.1,0.0, ,38.9,25.2,55,17,3.49,21.46
MOUNT MAGNET AERO,07/01/2016, ,0.0, , ,28.0,32,13,6.49,22.93
MOUNT MAGNET AERO,08/01/2016, , , ,39.7, ,76,19,6.77,20.70
MOUNT MAGNET AERO,09/01/2016,9.3,10.8, ,39.8,21.4,73,16,5.25,18.79
MOUNT MAGNET AERO,10/01/2016,10.7,0.0, ,38.1,22.7,70,21,6.22,29.70
MOUNT MAGNET AERO,11/01/2016,9.7,0.0, ,35.8,20.2,61,15,4.53,31.76
MOUNT MAGNET AERO,12/01/2016,9.2,0.0, ,35.2,20.0,70,19,4.56,30.92
MOUNT MAGNET AERO,13/01/2016,7.7,0.0, ,31.0,23.8,51,29,6.42,14.16
MOUNT MAGNET AERO,14/01/2016,8.8,0.0, ,34.2,22.5,88,27,6.98,25.56
MOUNT MAGNET AERO,15/01/2016,8.6,1.4, ,35.5,20.5,81,22,4.29,29.33
MOUNT MAGNET AERO,16/01/2016,9.8,0.0, ,39.2,25.2,37,15,4.49,23.97
MOUNT MAGNET AERO,17/01/2016,9.4,0.0, ,36.8,27.2,43,20,5.30,20.36
MOUNT MAGNET AERO,18/01/2016,3.2,0.0, ,23.2,21.8,91,31,4.40,3.62
MOUNT MAGNET AERO,19/01/2016,7.5,11.6, ,27.8,15.0,81,34,6.14,31.33
MOUNT MAGNET AERO,20/01/2016,6.4,0.0, ,28.1,18.0,80,31,5.73,19.89
MOUNT MAGNET AERO,21/01/2016,6.7,0.0, ,30.1,16.8,79,27,3.22,27.99
MOUNT MAGNET AERO,22/01/2016,8.6,0.0, ,35.8,21.4,56,20,4.16,26.26
MOUNT MAGNET AERO,23/01/2016,9.5,0.0, ,36.6,24.1,45,24,5.87,20.84
MOUNT MAGNET AERO,24/01/2016,8.9,0.0, ,38.0,25.4,53,25,4.46,24.33
MOUNT MAGNET AERO,25/01/2016,5.4,0.0, ,31.0,26.5,68,39,5.18,8.78
MOUNT MAGNET AERO,26/01/2016,6.9,0.4, ,34.2,22.8,84,35,4.07,22.76
MOUNT MAGNET AERO,27/01/2016,9.0,0.6, ,36.0,22.4,82,24,5.44,27.35
MOUNT MAGNET AERO,28/01/2016,10.7,0.0, ,38.5,25.2,59,23,6.29,27.84
MOUNT MAGNET AERO,29/01/2016,11.8,0.0, ,38.9,26.1,46,20,6.93,27.36
MOUNT MAGNET AERO,30/01/2016,8.5,0.0, ,37.8,27.1,58,24,5.60,15.12
MOUNT MAGNET AERO,31/01/2016,6.2,7.2, ,34.0,21.7,94,46,5.37,19.38
Totals:,,255.7,32, ,,,,,, 
