'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MAGNET AERO Western Australia for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MAGNET AERO,01/06/2022,2.2,0.0, ,18.3,4.2,86,40,2.36,13.83
MOUNT MAGNET AERO,02/06/2022, ,0.0, , ,4.7,82,27,2.20,14.04
MOUNT MAGNET AERO,03/06/2022, , , ,19.8, ,86,32,1.97,13.72
MOUNT MAGNET AERO,04/06/2022,2.7,0.0, ,20.4,8.9,68,29,2.46,13.94
MOUNT MAGNET AERO,05/06/2022,2.6,0.0, ,18.4,6.3,70,30,2.79,13.16
MOUNT MAGNET AERO,06/06/2022,3.2,0.0, ,20.1,5.7,79,26,3.72,13.84
MOUNT MAGNET AERO,07/06/2022,3.8,0.0, ,20.0,7.1,68,28,5.10,13.65
MOUNT MAGNET AERO,08/06/2022,4.7,0.0, ,20.5,12.2,45,27,6.04,11.68
MOUNT MAGNET AERO,09/06/2022,4.1,0.0, ,23.6,14.2,76,35,5.95,9.47
MOUNT MAGNET AERO,10/06/2022,2.5,0.0, ,22.0,14.2,97,52,4.87,8.71
MOUNT MAGNET AERO,11/06/2022,2.8,8.4, ,22.9,13.9,99,46,4.38,12.20
MOUNT MAGNET AERO,12/06/2022,3.0,0.0, ,22.3,13.2,95,46,5.02,12.10
MOUNT MAGNET AERO,13/06/2022,2.1,2.0, ,18.3,9.8,96,46,2.80,13.29
MOUNT MAGNET AERO,14/06/2022,1.6,0.0, ,19.2,6.0,97,44,1.13,13.66
MOUNT MAGNET AERO,15/06/2022,1.4,0.2, ,17.9,7.6,98,66,2.61,7.59
MOUNT MAGNET AERO,16/06/2022,2.3,10.0, ,23.5,10.7,98,57,4.08,9.26
MOUNT MAGNET AERO,17/06/2022,4.0,0.0, ,25.3,15.3,93,34,5.81,12.68
MOUNT MAGNET AERO,18/06/2022,2.0,2.4, ,18.9,14.4,96,69,5.51,10.89
MOUNT MAGNET AERO,19/06/2022,2.1,1.0, ,19.4,10.8,96,61,4.45,12.80
MOUNT MAGNET AERO,20/06/2022,1.8,1.2, ,18.9,8.1,99,51,1.91,13.64
MOUNT MAGNET AERO,21/06/2022,2.5,0.0, ,22.1,8.2,94,38,2.76,13.64
MOUNT MAGNET AERO,22/06/2022,2.9,0.2, ,25.0,8.5,93,33,2.78,13.65
MOUNT MAGNET AERO,23/06/2022,2.8,0.0, ,23.8,9.0,95,25,2.45,13.66
MOUNT MAGNET AERO,24/06/2022,2.3,0.0, ,21.3,8.9,94,39,2.27,13.67
MOUNT MAGNET AERO,25/06/2022,2.4,0.0, ,22.0,8.1,94,35,2.26,13.68
MOUNT MAGNET AERO,26/06/2022,2.9,0.0, ,22.6,9.8,84,32,3.05,13.70
MOUNT MAGNET AERO,27/06/2022,2.5,0.0, ,21.9,8.0,89,34,2.36,13.71
MOUNT MAGNET AERO,28/06/2022,2.8,0.0, ,20.1,8.3,83,41,3.90,13.74
MOUNT MAGNET AERO,29/06/2022,3.1,0.0, ,17.6,6.5,81,33,4.86,13.76
MOUNT MAGNET AERO,30/06/2022,2.9,0.0, ,17.7,5.0,85,34,4.45,13.79
Totals:,,76,25.4, ,,,,,, 
