'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUNGLINUP WEST Western Australia for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUNGLINUP WEST,01/10/2012,8.4,0.0, ,29.9,11.7,75,8,6.50,23.52
MUNGLINUP WEST,02/10/2012,11.8,0.0, ,36.3,15.5,42,4,7.74,20.73
MUNGLINUP WEST,03/10/2012,6.2,0.0, ,24.6,17.3,99,17,6.60,23.17
MUNGLINUP WEST,04/10/2012,3.1,1.0, ,20.3,8.8,100,44,2.50,16.78
MUNGLINUP WEST,05/10/2012,3.7,0.0, ,19.0,7.1,100,41,3.13,22.75
MUNGLINUP WEST,06/10/2012,6.2,0.0, ,25.7,5.0,92,23,5.71,24.42
MUNGLINUP WEST,07/10/2012,5.0,0.0, ,24.6,10.7,99,46,6.40,24.30
MUNGLINUP WEST,08/10/2012,3.0,0.0, ,20.1,6.7,100,55,3.06,17.20
MUNGLINUP WEST,09/10/2012,3.7,0.2, ,19.8,9.5,100,43,3.30,21.67
MUNGLINUP WEST,10/10/2012,5.6,0.0, ,23.0,6.5,93,20,5.00,25.07
MUNGLINUP WEST,11/10/2012,8.2,0.0, ,27.4,5.2,86,5,6.77,25.24
MUNGLINUP WEST,12/10/2012,10.4,0.0, ,33.9,16.4,50,2,6.84,21.04
MUNGLINUP WEST,13/10/2012,6.2,0.0, ,28.0,13.4,90,31,4.94,24.54
MUNGLINUP WEST,14/10/2012,6.0,0.0, ,24.9,11.8,98,29,6.96,23.01
MUNGLINUP WEST,15/10/2012,4.5,0.0, ,22.6,10.0,98,30,3.39,22.15
MUNGLINUP WEST,16/10/2012,4.4,0.0, ,23.3,11.4,94,35,3.17,21.44
MUNGLINUP WEST,17/10/2012,2.7,0.0, ,20.8,9.8,100,56,4.49,9.15
MUNGLINUP WEST,18/10/2012,5.2,0.4, ,25.8,11.3,100,31,3.33,25.02
MUNGLINUP WEST,19/10/2012,6.9,0.0, ,27.4,9.2,84,18,4.81,27.48
MUNGLINUP WEST,20/10/2012,5.1,0.0, ,23.3,12.9,82,43,4.31,24.88
MUNGLINUP WEST,21/10/2012,12.4,0.0, ,37.0,10.9,83,6,8.27,27.91
MUNGLINUP WEST,22/10/2012,3.9,0.0, ,24.5,13.2,100,29,2.80,14.61
MUNGLINUP WEST,23/10/2012,3.9,0.2, ,18.8,8.0,100,48,5.76,22.72
MUNGLINUP WEST,24/10/2012,4.3,0.0, ,20.7,6.3,97,37,3.88,23.35
MUNGLINUP WEST,25/10/2012,4.2,0.0, ,19.9,7.5,85,37,2.82,23.95
MUNGLINUP WEST,26/10/2012,5.7,0.0, ,23.3,4.9,89,28,4.43,28.86
MUNGLINUP WEST,27/10/2012,7.9,0.0, ,28.6,8.1,87,13,5.53,29.08
MUNGLINUP WEST,28/10/2012,10.4,0.0, ,35.9,12.9,67,5,5.51,29.02
MUNGLINUP WEST,29/10/2012,6.5,0.0, ,29.8,14.8,90,36,4.03,28.80
MUNGLINUP WEST,30/10/2012,3.5,0.2, ,18.3,12.1,100,56,3.59,20.91
MUNGLINUP WEST,31/10/2012,3.3,0.2, ,17.5,7.3,88,53,4.47,16.88
Totals:,,182.3,2.2, ,,,,,, 
