'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUNGLINUP WEST Western Australia for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUNGLINUP WEST,01/11/2013,3.1,0.0, ,22.7,13.0,100,63,3.78,14.68
MUNGLINUP WEST,02/11/2013,3.6,0.4, ,19.9,12.9,99,56,5.51,19.21
MUNGLINUP WEST,03/11/2013,7.5,0.0, ,27.8,12.7,83,30,6.09,31.26
MUNGLINUP WEST,04/11/2013,9.4,0.0, ,36.7,16.3,80,13,5.11,26.36
MUNGLINUP WEST,05/11/2013,3.2,0.6, ,18.0,15.0,100,35,5.28,9.58
MUNGLINUP WEST,06/11/2013,3.1,0.0, ,20.6,11.0,100,50,3.16,14.40
MUNGLINUP WEST,07/11/2013,3.3,7.8, ,18.8,11.7,100,57,4.38,17.63
MUNGLINUP WEST,08/11/2013,5.6,0.2, ,21.9,7.2,97,39,4.56,33.33
MUNGLINUP WEST,09/11/2013,7.5,0.0, ,25.9,7.7,95,27,6.16,35.56
MUNGLINUP WEST,10/11/2013,8.6,0.0, ,27.6,10.9,81,22,6.82,35.51
MUNGLINUP WEST,11/11/2013,10.0,0.0, ,31.6,12.1,69,14,6.47,34.05
MUNGLINUP WEST,12/11/2013,9.3,0.0, ,33.7,14.9,95,10,5.33,31.48
MUNGLINUP WEST,13/11/2013,6.7,0.0, ,28.9,13.2,99,24,4.04,28.67
MUNGLINUP WEST,14/11/2013,5.9,0.0, ,24.7,11.7,100,53,6.49,33.66
MUNGLINUP WEST,15/11/2013,7.0,0.0, ,24.8,10.9,94,38,7.21,35.67
MUNGLINUP WEST,16/11/2013,9.8,0.0, ,31.2,9.2,90,10,5.96,35.85
MUNGLINUP WEST,17/11/2013,9.6,0.0, ,34.9,16.0,95,13,7.08,22.89
MUNGLINUP WEST,18/11/2013,2.8,0.0, ,16.5,13.4,98,63,6.57,14.79
MUNGLINUP WEST,19/11/2013,4.4,2.0, ,17.8,10.8,81,40,6.60,18.47
MUNGLINUP WEST,20/11/2013,6.4,0.0, ,22.5,9.0,87,29,6.75,30.88
MUNGLINUP WEST,21/11/2013,7.7,0.0, ,25.9,8.3,90,26,7.10,34.15
MUNGLINUP WEST,22/11/2013,7.6,0.0, ,27.4,11.0,83,31,7.00,31.05
MUNGLINUP WEST,23/11/2013,9.4,0.0, ,32.4,12.2,91,27,7.14,34.34
MUNGLINUP WEST,24/11/2013,6.7,0.2, ,28.8,17.9,100,45,5.58,30.75
MUNGLINUP WEST,25/11/2013,5.3,0.0, ,23.6,12.4,92,40,3.94,26.91
MUNGLINUP WEST,26/11/2013,7.5,0.0, ,28.3,9.0,98,28,4.69,35.04
MUNGLINUP WEST,27/11/2013,2.0,0.0, ,19.5,11.8,96,76,4.41,8.17
MUNGLINUP WEST,28/11/2013,6.7,2.6, ,27.9,13.5,100,39,6.20,29.35
MUNGLINUP WEST,29/11/2013,7.9,0.2, ,32.1,14.3,100,27,7.67,20.76
MUNGLINUP WEST,30/11/2013,6.9,4.4, ,26.5,12.4,100,27,6.41,28.58
Totals:,,194.5,18.4, ,,,,,, 
