'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUNGLINUP WEST Western Australia for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUNGLINUP WEST,01/02/2017,4.0,1.0, ,21.9,14.6,100,30,3.72,15.59
MUNGLINUP WEST,02/02/2017,6.5,0.2, ,29.6,13.8,100,38,4.26,29.37
MUNGLINUP WEST,03/02/2017,7.9,0.0, ,35.1,15.3,100,34,4.99,28.27
MUNGLINUP WEST,04/02/2017,4.0,0.0, ,24.6,16.9,100,61,5.19,18.95
MUNGLINUP WEST,05/02/2017,3.7,0.8, ,21.8,13.6,100,55,5.23,17.84
MUNGLINUP WEST,06/02/2017,6.9,0.0, ,28.6,12.0,94,33,5.88,28.50
MUNGLINUP WEST,07/02/2017,7.3,0.0, ,35.3,15.8,100,38,7.11,18.09
MUNGLINUP WEST,08/02/2017,2.9,31.0, ,16.8,13.3,100,37,6.81,5.21
MUNGLINUP WEST,09/02/2017,2.3,33.2, ,16.7,11.6,100,38,4.84,1.79
MUNGLINUP WEST,10/02/2017,3.4,64.6, ,19.0,12.3,100,29,5.60,7.03
MUNGLINUP WEST,11/02/2017,2.8,21.4, ,17.3,15.4,100,31,6.63,0.87
MUNGLINUP WEST,12/02/2017,4.2,25.0, ,22.2,14.8,100,34,6.00,12.94
MUNGLINUP WEST,13/02/2017,5.7,0.0, ,27.6,12.3,95,50,5.29,27.69
MUNGLINUP WEST,14/02/2017,5.5,0.0, ,30.8,18.0,100,30,5.06,13.31
MUNGLINUP WEST,15/02/2017,3.3,2.8, ,20.2,15.1,100,31,3.72,10.90
MUNGLINUP WEST,16/02/2017,4.6,0.0, ,23.9,14.1,91,54,2.38,26.28
MUNGLINUP WEST,17/02/2017,3.3,0.0, ,22.9,13.4,94,62,2.98,16.81
MUNGLINUP WEST,18/02/2017,5.2,0.0, ,25.6,10.6,98,48,4.48,26.98
MUNGLINUP WEST,19/02/2017,7.3,0.0, ,31.8,12.6,92,29,5.00,26.81
MUNGLINUP WEST,20/02/2017,5.1,0.0, ,25.1,19.5,100,48,4.84,24.74
MUNGLINUP WEST,21/02/2017,3.4,1.6, ,19.0,14.4,100,52,7.11,15.66
MUNGLINUP WEST,22/02/2017,2.6,0.6, ,21.8,10.2,100,58,3.56,9.88
MUNGLINUP WEST,23/02/2017,4.7,0.0, ,26.1,11.1,100,49,3.26,25.14
MUNGLINUP WEST,24/02/2017,6.6,0.0, ,30.6,12.9,100,34,5.14,25.95
MUNGLINUP WEST,25/02/2017,7.6,0.0, ,32.9,14.7,95,21,4.89,25.77
MUNGLINUP WEST,26/02/2017,7.2,0.0, ,33.9,18.3,98,28,4.83,24.28
MUNGLINUP WEST,27/02/2017,4.2,0.2, ,25.4,16.2,100,64,3.68,22.83
MUNGLINUP WEST,28/02/2017,4.2,0.0, ,26.4,16.4,98,67,4.75,21.76
Totals:,,136.4,182.4, ,,,,,, 
