'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUNGLINUP WEST Western Australia for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUNGLINUP WEST,01/03/2017,5.6,0.0, ,33.1,15.7,100,39,3.50,21.18
MUNGLINUP WEST,02/03/2017,6.0,0.0, ,37.6,17.2,100,21,3.23,14.75
MUNGLINUP WEST,03/03/2017,5.2,0.0, ,34.9,19.8,100,22,3.57,10.46
MUNGLINUP WEST,04/03/2017,4.6,0.0, ,26.3,17.5,100,29,3.93,15.69
MUNGLINUP WEST,05/03/2017,5.4,0.0, ,32.3,17.5,100,40,2.83,23.09
MUNGLINUP WEST,06/03/2017,6.4,0.0, ,37.0,14.2,100,22,3.02,20.64
MUNGLINUP WEST,07/03/2017,5.1,1.2, ,29.3,17.6,100,50,3.88,23.23
MUNGLINUP WEST,08/03/2017,3.7,0.0, ,25.8,17.2,98,64,3.72,18.39
MUNGLINUP WEST,09/03/2017,2.7,0.0, ,25.0,17.6,100,70,4.24,11.20
MUNGLINUP WEST,10/03/2017,3.1,1.8, ,19.5,16.1,100,31,4.23,8.74
MUNGLINUP WEST,11/03/2017,3.9,0.0, ,22.1,10.5,100,50,3.38,22.98
MUNGLINUP WEST,12/03/2017,5.8,0.0, ,27.7,10.2,99,15,3.97,21.77
MUNGLINUP WEST,13/03/2017,6.0,1.6, ,29.3,16.2,100,34,6.46,20.08
MUNGLINUP WEST,14/03/2017,6.0,0.0, ,28.6,13.6,100,33,6.40,20.69
MUNGLINUP WEST,15/03/2017,3.7,0.0, ,21.4,14.2,97,51,6.68,16.17
MUNGLINUP WEST,16/03/2017,4.5,0.0, ,25.7,7.0,100,30,2.77,22.20
MUNGLINUP WEST,17/03/2017,8.0,0.0, ,36.5,12.6,98,20,5.03,21.93
MUNGLINUP WEST,18/03/2017,4.4,0.0, ,24.8,14.7,100,32,4.31,17.05
MUNGLINUP WEST,19/03/2017,2.5,11.4, ,19.4,11.4,100,52,3.55,10.41
MUNGLINUP WEST,20/03/2017,3.2,0.0, ,21.7,7.2,98,49,3.54,16.15
MUNGLINUP WEST,21/03/2017,5.0,0.0, ,23.2,11.0,100,25,6.51,15.76
MUNGLINUP WEST,22/03/2017,3.2,0.6, ,27.6,14.6,97,73,7.07,13.95
MUNGLINUP WEST,23/03/2017,4.6,1.6, ,28.1,16.2,100,33,3.38,19.21
MUNGLINUP WEST,24/03/2017,3.4,0.0, ,22.9,13.2,100,31,3.46,11.46
MUNGLINUP WEST,25/03/2017,3.8,0.0, ,26.5,14.6,100,36,3.17,14.09
MUNGLINUP WEST,26/03/2017,5.0,0.0, ,24.4,16.0,100,25,7.03,13.27
MUNGLINUP WEST,27/03/2017,3.9,0.2, ,24.1,6.7,91,28,2.84,17.89
MUNGLINUP WEST,28/03/2017,4.8,0.0, ,25.0,8.8,100,29,4.75,19.76
MUNGLINUP WEST,29/03/2017,4.4,0.0, ,20.0,10.7,82,22,4.46,19.35
MUNGLINUP WEST,30/03/2017,4.9,0.0, ,24.1,6.2,70,19,3.83,19.49
MUNGLINUP WEST,31/03/2017,4.1,0.0, ,23.8,7.0,94,18,2.88,18.93
Totals:,,142.9,18.4, ,,,,,, 
