'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MUNGLINUP WEST Western Australia for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MUNGLINUP WEST,01/03/2018,8.1,0.0, ,32.5,12.7,41,13,4.57,23.41
MUNGLINUP WEST,02/03/2018,5.6,0.0, ,21.4,17.1,35,25,5.15,10.84
MUNGLINUP WEST,03/03/2018,4.6,0.0, ,20.7,13.0,42,26,3.97,11.53
MUNGLINUP WEST,04/03/2018,6.4,0.0, ,25.2,11.1,46,20,4.54,24.07
MUNGLINUP WEST,05/03/2018,7.7,0.0, ,27.8,11.8,44,17,5.66,24.33
MUNGLINUP WEST,06/03/2018,8.5,0.0, ,30.2,14.7,36,14,5.78,24.11
MUNGLINUP WEST,07/03/2018,8.9,0.0, ,33.6,15.2,35,12,5.20,23.92
MUNGLINUP WEST,08/03/2018,8.8,0.0, ,34.9,15.6,34,11,4.67,23.71
MUNGLINUP WEST,09/03/2018,7.4,0.0, ,31.4,12.8,41,14,4.18,22.84
MUNGLINUP WEST,10/03/2018,5.7,0.0, ,20.5,15.8,39,26,6.50,8.45
MUNGLINUP WEST,11/03/2018,7.2,0.0, ,24.8,13.7,36,20,6.17,22.34
MUNGLINUP WEST,12/03/2018,7.3,0.0, ,26.3,15.8,36,18,5.91,18.46
MUNGLINUP WEST,13/03/2018,7.8,0.0, ,29.9,13.1,41,15,5.33,22.52
MUNGLINUP WEST,14/03/2018,5.3,0.0, ,25.8,18.3,28,19,4.00,4.64
MUNGLINUP WEST,15/03/2018, ,8.0, , ,18.3,97,20,2.35,10.67
MUNGLINUP WEST,16/03/2018, , , ,22.5, ,97,55,3.48,15.29
MUNGLINUP WEST,17/03/2018,3.5,0.0, ,21.0,10.3,96,51,6.48,14.30
MUNGLINUP WEST,18/03/2018,2.9,0.0, ,21.9,7.4,95,50,2.50,14.32
MUNGLINUP WEST,19/03/2018,3.1,0.0, ,24.0,11.6,93,53,2.46,14.68
MUNGLINUP WEST,20/03/2018,5.1,0.0, ,27.6,14.4,97,36,4.98,19.37
MUNGLINUP WEST,21/03/2018,6.7,0.0, ,31.1,16.5,87,30,5.90,21.29
MUNGLINUP WEST,22/03/2018,8.2,0.0, ,36.9,19.1,91,18,6.41,14.93
MUNGLINUP WEST,23/03/2018,2.4,0.0, ,21.2,17.5,92,71,5.54,8.57
MUNGLINUP WEST,24/03/2018,1.7,0.0, ,18.6,14.0,94,62,2.41,5.61
MUNGLINUP WEST,25/03/2018,3.0,1.6, ,22.7,12.7,97,47,2.85,13.53
MUNGLINUP WEST,26/03/2018,5.9,3.0, ,32.1,13.7,96,32,6.73,8.45
MUNGLINUP WEST,27/03/2018,3.1,1.6, ,22.2,14.4,98,53,4.07,13.47
MUNGLINUP WEST,28/03/2018,3.9,0.4, ,26.0,9.9,96,34,2.55,19.23
MUNGLINUP WEST,29/03/2018,3.5,0.0, ,25.3,11.1,96,47,2.27,19.30
MUNGLINUP WEST,30/03/2018,4.9,0.0, ,30.3,13.9,94,30,3.62,17.39
MUNGLINUP WEST,31/03/2018,2.1,0.0, ,18.7,15.0,98,53,4.21,4.69
Totals:,,159.3,14.6, ,,,,,, 
