'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/01/2012,3.7,0.0, ,22.7,16.3,89,60,6.00,13.40
NEWDEGATE RESEARCH STATION,02/01/2012,6.4,0.0, ,27.2,14.8,82,44,5.00,28.63
NEWDEGATE RESEARCH STATION,03/01/2012,7.3,0.0, ,25.7,12.7,89,34,8.23,31.45
NEWDEGATE RESEARCH STATION,04/01/2012,5.0,0.0, ,24.3,13.4,86,43,6.94,16.08
NEWDEGATE RESEARCH STATION,05/01/2012,8.6,5.2, ,35.4,16.0,87,25,5.97,22.93
NEWDEGATE RESEARCH STATION,06/01/2012,8.3,0.0, ,28.0,18.0,78,26,7.62,29.14
NEWDEGATE RESEARCH STATION,07/01/2012,6.9,0.0, ,25.0,12.3,79,29,6.00,29.16
NEWDEGATE RESEARCH STATION,08/01/2012,5.0,0.0, ,23.7,8.8,85,37,4.15,21.30
NEWDEGATE RESEARCH STATION,09/01/2012,6.9,0.0, ,26.8,7.6,90,31,5.14,32.30
NEWDEGATE RESEARCH STATION,10/01/2012,8.0,0.0, ,28.3,11.7,85,27,6.64,32.31
NEWDEGATE RESEARCH STATION,11/01/2012,8.8,0.0, ,31.6,12.8,87,20,6.26,29.65
NEWDEGATE RESEARCH STATION,12/01/2012,8.5,0.0, ,32.3,10.2,89,22,4.94,31.78
NEWDEGATE RESEARCH STATION,13/01/2012,9.5,0.0, ,32.1,14.4,79,21,6.89,31.55
NEWDEGATE RESEARCH STATION,14/01/2012,6.8,0.0, ,30.9,17.1,74,37,5.62,20.18
NEWDEGATE RESEARCH STATION,15/01/2012,6.6,0.0, ,31.7,17.7,81,37,4.80,21.62
NEWDEGATE RESEARCH STATION,16/01/2012,6.6,0.0, ,27.5,16.4,88,31,5.36,25.24
NEWDEGATE RESEARCH STATION,17/01/2012,7.2,0.0, ,27.8,8.3,88,24,4.57,32.09
NEWDEGATE RESEARCH STATION,18/01/2012,8.8,0.0, ,33.1,10.5,84,17,5.04,30.21
NEWDEGATE RESEARCH STATION,19/01/2012,7.8,0.0, ,34.8,15.8,69,25,4.46,22.21
NEWDEGATE RESEARCH STATION,20/01/2012,8.5,0.8, ,35.6,17.9,82,17,4.47,25.57
NEWDEGATE RESEARCH STATION,21/01/2012,8.0,0.0, ,37.6,17.7,85,25,4.96,18.90
NEWDEGATE RESEARCH STATION,22/01/2012,9.1,0.6, ,38.0,17.4,89,24,4.50,29.53
NEWDEGATE RESEARCH STATION,23/01/2012,7.7,0.0, ,30.5,18.2,84,35,7.52,25.00
NEWDEGATE RESEARCH STATION,24/01/2012,8.6,0.0, ,32.3,17.0,79,34,8.02,26.05
NEWDEGATE RESEARCH STATION,25/01/2012,9.5,0.0, ,34.8,16.0,86,23,6.28,30.62
NEWDEGATE RESEARCH STATION,26/01/2012,9.8,0.0, ,37.5,15.5,85,20,5.26,29.97
NEWDEGATE RESEARCH STATION,27/01/2012,9.6,0.0, ,39.0,17.5,79,12,4.23,29.04
NEWDEGATE RESEARCH STATION,28/01/2012,10.3,0.0, ,41.3,15.0,77,11,4.43,27.39
NEWDEGATE RESEARCH STATION,29/01/2012,8.0,0.0, ,25.8,18.0,76,32,10.58,27.74
NEWDEGATE RESEARCH STATION,30/01/2012,8.2,0.0, ,25.8,14.5,67,28,9.46,29.47
NEWDEGATE RESEARCH STATION,31/01/2012,8.9,0.0, ,29.2,12.0,68,20,7.22,30.30
Totals:,,242.9,6.6, ,,,,,, 
