'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for March 2012,,,,,,,,,,
Issued at 22:33 GMT on Sunday 01 April 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/03/2012,6.3,0.0, ,24.8,11.7,85,31,7.03,25.55
NEWDEGATE RESEARCH STATION,02/03/2012,5.8,0.0, ,24.9,8.1,85,26,4.71,25.26
NEWDEGATE RESEARCH STATION,03/03/2012,5.9,0.0, ,27.8,8.8,87,21,3.52,25.21
NEWDEGATE RESEARCH STATION,04/03/2012,6.5,0.0, ,32.4,10.1,77,14,2.95,24.77
NEWDEGATE RESEARCH STATION,05/03/2012,7.4,0.0, ,35.6,10.8,67,12,3.26,24.30
NEWDEGATE RESEARCH STATION,06/03/2012,9.3,0.0, ,35.5,13.7,49,8,5.02,24.68
NEWDEGATE RESEARCH STATION,07/03/2012,9.7,0.0, ,36.9,13.4,69,12,5.81,23.49
NEWDEGATE RESEARCH STATION,08/03/2012,6.5,0.0, ,28.3,14.5,79,33,6.27,22.05
NEWDEGATE RESEARCH STATION,09/03/2012,7.6,0.0, ,33.3,11.0,84,21,5.14,22.72
NEWDEGATE RESEARCH STATION,10/03/2012,8.5,0.0, ,38.9,11.6,84,11,4.07,22.48
NEWDEGATE RESEARCH STATION,11/03/2012,7.7,0.0, ,38.4,15.4,89,12,3.60,22.63
NEWDEGATE RESEARCH STATION,12/03/2012,9.1,0.0, ,39.3,12.5,90,8,4.71,20.45
NEWDEGATE RESEARCH STATION,13/03/2012,6.0,0.2, ,25.8,17.1,87,29,7.22,18.85
NEWDEGATE RESEARCH STATION,14/03/2012,4.8,0.0, ,23.7,9.0,88,36,5.62,17.87
NEWDEGATE RESEARCH STATION,15/03/2012,5.6,0.0, ,24.7,8.8,85,29,5.74,22.01
NEWDEGATE RESEARCH STATION,16/03/2012,5.9,0.0, ,26.2,5.8,91,23,5.03,22.78
NEWDEGATE RESEARCH STATION,17/03/2012,7.3,0.0, ,30.8,9.3,86,13,5.11,22.71
NEWDEGATE RESEARCH STATION,18/03/2012,5.7,0.0, ,29.7,8.6,79,27,4.42,16.32
NEWDEGATE RESEARCH STATION,19/03/2012,5.8,0.0, ,27.6,16.0,89,38,7.72,17.12
NEWDEGATE RESEARCH STATION,20/03/2012,3.8,0.0, ,21.2,15.1,80,51,6.83,10.77
NEWDEGATE RESEARCH STATION,21/03/2012,4.2,0.0, ,21.9,9.3,89,37,5.36,15.54
NEWDEGATE RESEARCH STATION,22/03/2012,4.8,0.0, ,22.6,13.0,84,35,6.51,15.78
NEWDEGATE RESEARCH STATION,23/03/2012,5.4,0.0, ,23.3,13.4,78,31,6.56,18.69
NEWDEGATE RESEARCH STATION,24/03/2012,4.7,0.0, ,25.3,9.5,86,32,4.52,16.31
NEWDEGATE RESEARCH STATION,25/03/2012,3.2,6.4, ,26.1,14.8,90,45,2.25,12.78
NEWDEGATE RESEARCH STATION,26/03/2012,4.3,0.0, ,28.8,14.8,90,36,3.07,16.48
NEWDEGATE RESEARCH STATION,27/03/2012,5.3,0.0, ,28.8,16.9,89,23,3.84,18.90
NEWDEGATE RESEARCH STATION,28/03/2012,5.0,0.0, ,26.0,11.6,91,34,5.13,19.43
NEWDEGATE RESEARCH STATION,29/03/2012,6.5,0.0, ,32.8,12.0,89,29,5.40,17.40
NEWDEGATE RESEARCH STATION,30/03/2012,4.9,1.6, ,21.9,12.1,76,29,5.42,20.20
NEWDEGATE RESEARCH STATION,31/03/2012,3.9,0.0, ,24.6,3.8,91,26,2.59,19.17
Totals:,,187.4,8.2, ,,,,,, 
