'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for June 2012,,,,,,,,,,
Issued at 22:38 GMT on Sunday 01 July 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/06/2012,2.4, , ,22.1,7.5,89,33,2.80,7.74
NEWDEGATE RESEARCH STATION,02/06/2012,3.6, , ,24.0,2.5,93,15,3.52,9.54
NEWDEGATE RESEARCH STATION,03/06/2012,3.5, , ,22.2,6.8,71,23,4.00,10.15
NEWDEGATE RESEARCH STATION,04/06/2012,3.0, , ,21.2,0.8,88,30,4.00,9.89
NEWDEGATE RESEARCH STATION,05/06/2012,2.9, , ,19.5,1.2,88,32,4.40,10.10
NEWDEGATE RESEARCH STATION,06/06/2012,3.4, , ,18.2,7.9,74,36,6.61,6.72
NEWDEGATE RESEARCH STATION,07/06/2012,1.5, , ,16.8,9.6,89,73,5.91,4.74
NEWDEGATE RESEARCH STATION,08/06/2012,1.5, , ,17.4,9.6,91,58,2.66,8.99
NEWDEGATE RESEARCH STATION,09/06/2012,1.3, , ,19.4,3.9,93,55,1.46,9.08
NEWDEGATE RESEARCH STATION,10/06/2012,1.7, , ,15.9,10.4,90,70,8.08,2.63
NEWDEGATE RESEARCH STATION,11/06/2012,2.6, , ,18.3,13.3,88,59,9.55,5.88
NEWDEGATE RESEARCH STATION,12/06/2012,1.6, , ,14.9,7.1,90,70,6.87,6.63
NEWDEGATE RESEARCH STATION,13/06/2012,2.2, , ,12.2,7.8,88,51,8.94,9.58
NEWDEGATE RESEARCH STATION,14/06/2012,1.8, , ,14.7,3.8,87,55,4.44,9.57
NEWDEGATE RESEARCH STATION,15/06/2012,1.5, , ,15.1,7.0,90,70,5.09,8.56
NEWDEGATE RESEARCH STATION,16/06/2012,1.5, , ,17.6,6.1,93,61,2.99,8.69
NEWDEGATE RESEARCH STATION,17/06/2012,1.7, , ,18.7,3.3,92,49,2.61,9.34
NEWDEGATE RESEARCH STATION,18/06/2012,2.2, , ,19.9,2.0,93,34,2.78,9.91
NEWDEGATE RESEARCH STATION,19/06/2012,1.6, , ,16.4,6.3,91,64,5.04,4.58
NEWDEGATE RESEARCH STATION,20/06/2012,1.7, , ,13.0,4.9,92,54,5.25,9.18
NEWDEGATE RESEARCH STATION,21/06/2012,1.9, , ,13.3,3.2,92,45,4.62,9.23
NEWDEGATE RESEARCH STATION,22/06/2012,1.6, , ,15.1,1.2,90,54,3.22,9.17
NEWDEGATE RESEARCH STATION,23/06/2012,1.2, , ,14.7,0.0,91,48,1.54,9.28
NEWDEGATE RESEARCH STATION,24/06/2012,1.3, , ,16.7,1.9,91,46,1.49,8.45
NEWDEGATE RESEARCH STATION,25/06/2012,1.7, , ,15.3,0.9,89,46,3.26,6.93
NEWDEGATE RESEARCH STATION,26/06/2012,3.7, , ,17.0,7.5,71,30,7.63,5.81
NEWDEGATE RESEARCH STATION,27/06/2012,3.0, , ,18.8,11.5,91,41,7.16,7.67
NEWDEGATE RESEARCH STATION,28/06/2012,2.3, , ,16.0,6.3,86,48,5.75,8.44
NEWDEGATE RESEARCH STATION,29/06/2012,1.5, , ,15.1,3.8,92,58,3.22,7.20
NEWDEGATE RESEARCH STATION,30/06/2012,1.1, , ,15.9,2.7,91,62,1.56,7.25
Totals:,,62.5, , ,,,,,, 
