'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/03/2015,4.8,0.0, ,28.0,12.4,86,41,5.69,10.83
NEWDEGATE RESEARCH STATION,02/03/2015,1.8,7.8, ,20.2,14.9,91,80,6.68,4.78
NEWDEGATE RESEARCH STATION,03/03/2015,5.1,5.0, ,26.3,14.3,91,45,5.35,21.63
NEWDEGATE RESEARCH STATION,04/03/2015,6.0,0.0, ,27.5,13.6,88,38,5.68,24.78
NEWDEGATE RESEARCH STATION,05/03/2015,5.9,0.0, ,28.3,12.7,89,29,4.69,21.14
NEWDEGATE RESEARCH STATION,06/03/2015,6.1,0.0, ,30.0,11.9,91,23,3.57,24.52
NEWDEGATE RESEARCH STATION,07/03/2015,6.0,0.0, ,29.2,12.6,88,26,3.80,24.16
NEWDEGATE RESEARCH STATION,08/03/2015,5.2,0.0, ,29.0,11.0,91,37,3.18,23.18
NEWDEGATE RESEARCH STATION,09/03/2015,5.6,0.0, ,30.5,11.1,91,22,2.75,24.23
NEWDEGATE RESEARCH STATION,10/03/2015,6.6,0.0, ,31.6,12.8,91,17,3.95,23.28
NEWDEGATE RESEARCH STATION,11/03/2015,6.7,0.0, ,31.3,16.6,82,24,4.41,23.55
NEWDEGATE RESEARCH STATION,12/03/2015,8.0,0.0, ,38.4,13.9,84,12,3.76,23.05
NEWDEGATE RESEARCH STATION,13/03/2015,7.9,0.0, ,39.0,16.3,55,12,3.94,16.23
NEWDEGATE RESEARCH STATION,14/03/2015,4.5,0.0, ,29.9,21.8,93,34,6.22,3.76
NEWDEGATE RESEARCH STATION,15/03/2015,4.9,16.6, ,27.5,17.3,90,44,6.33,14.99
NEWDEGATE RESEARCH STATION,16/03/2015,4.8,3.2, ,27.3,15.1,90,37,4.42,16.82
NEWDEGATE RESEARCH STATION,17/03/2015,5.7,0.0, ,30.3,13.3,90,33,4.54,19.89
NEWDEGATE RESEARCH STATION,18/03/2015,5.3,0.0, ,27.8,17.7,88,38,6.27,15.00
NEWDEGATE RESEARCH STATION,19/03/2015,4.1,1.0, ,23.7,13.2,90,34,3.20,17.94
NEWDEGATE RESEARCH STATION,20/03/2015,5.2,0.0, ,27.8,8.8,91,29,3.64,22.17
NEWDEGATE RESEARCH STATION,21/03/2015,7.5,0.0, ,35.5,14.5,87,27,5.72,18.47
NEWDEGATE RESEARCH STATION,22/03/2015,4.5,0.4, ,20.7,12.4,88,34,6.61,17.18
NEWDEGATE RESEARCH STATION,23/03/2015,4.4,0.2, ,20.7,8.5,72,31,4.47,19.30
NEWDEGATE RESEARCH STATION,24/03/2015,4.1,0.0, ,23.3,6.3,85,27,2.86,19.97
NEWDEGATE RESEARCH STATION,25/03/2015,4.7,0.0, ,24.3,7.0,90,36,4.87,20.15
NEWDEGATE RESEARCH STATION,26/03/2015,5.5,0.0, ,27.1,9.1,86,25,4.58,20.59
NEWDEGATE RESEARCH STATION,27/03/2015,2.5,0.0, ,20.9,12.4,77,38,2.12,7.74
NEWDEGATE RESEARCH STATION,28/03/2015,4.1,0.0, ,27.3,9.4,90,26,2.10,19.50
NEWDEGATE RESEARCH STATION,29/03/2015,4.4,0.0, ,29.3,10.5,92,25,2.15,20.20
NEWDEGATE RESEARCH STATION,30/03/2015, ,0.0, , ,10.3,84,21,3.38,14.58
NEWDEGATE RESEARCH STATION,31/03/2015, , , ,25.7, ,90,37,2.73,10.77
Totals:,,151.9,34.2, ,,,,,, 
