'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/02/2016,5.7,2.4, ,21.9,7.2,87,30,4.60,30.78
NEWDEGATE RESEARCH STATION,02/02/2016,6.2,0.2, ,25.0,7.0,83,28,3.97,30.81
NEWDEGATE RESEARCH STATION,03/02/2016,6.4,0.0, ,26.9,8.1,91,26,3.85,30.42
NEWDEGATE RESEARCH STATION,04/02/2016,6.8,0.0, ,30.3,10.6,89,22,3.34,29.25
NEWDEGATE RESEARCH STATION,05/02/2016,7.1,0.0, ,34.3,10.9,88,15,2.49,29.56
NEWDEGATE RESEARCH STATION,06/02/2016,8.8,0.0, ,35.5,14.3,78,17,4.42,29.43
NEWDEGATE RESEARCH STATION,07/02/2016,8.8,0.0, ,36.2,15.4,87,15,4.32,29.29
NEWDEGATE RESEARCH STATION,08/02/2016,8.6,0.0, ,37.6,14.5,86,13,3.56,29.41
NEWDEGATE RESEARCH STATION,09/02/2016,9.2,0.0, ,41.2,13.6,78,9,3.28,29.19
NEWDEGATE RESEARCH STATION,10/02/2016,10.1,0.0, ,41.5,16.0,90,10,4.24,29.11
NEWDEGATE RESEARCH STATION,11/02/2016,11.6,0.0, ,44.3,15.5,91,8,4.85,28.57
NEWDEGATE RESEARCH STATION,12/02/2016,8.4,0.0, ,34.5,17.1,87,21,4.90,27.95
NEWDEGATE RESEARCH STATION,13/02/2016,6.8,0.2, ,27.0,15.3,88,28,5.45,28.05
NEWDEGATE RESEARCH STATION,14/02/2016,6.5,0.0, ,26.2,13.1,76,30,5.40,25.55
NEWDEGATE RESEARCH STATION,15/02/2016,7.1,0.0, ,28.9,9.7,88,25,5.28,27.75
NEWDEGATE RESEARCH STATION,16/02/2016,8.2,0.0, ,32.8,12.7,80,15,4.59,27.97
NEWDEGATE RESEARCH STATION,17/02/2016,9.7,0.0, ,38.8,13.4,82,11,4.77,25.57
NEWDEGATE RESEARCH STATION,18/02/2016,6.5,0.0, ,27.8,17.9,90,42,9.38,21.62
NEWDEGATE RESEARCH STATION,19/02/2016,3.7,0.2, ,22.2,15.5,90,52,7.64,9.12
NEWDEGATE RESEARCH STATION,20/02/2016,5.7,0.6, ,27.6,14.4,89,41,6.10,20.51
NEWDEGATE RESEARCH STATION,21/02/2016,7.9,0.2, ,35.2,12.9,90,13,3.98,25.38
NEWDEGATE RESEARCH STATION,22/02/2016,6.7,0.0, ,28.3,16.2,83,28,5.67,23.87
NEWDEGATE RESEARCH STATION,23/02/2016,5.4,0.0, ,26.1,12.4,89,26,3.65,22.28
NEWDEGATE RESEARCH STATION,24/02/2016, ,0.2, , ,9.9,89,26,3.67,19.88
NEWDEGATE RESEARCH STATION,25/02/2016, ,0.0, , , ,100,22,2.95,26.60
NEWDEGATE RESEARCH STATION,26/02/2016, ,0.0, ,32.2, ,80,20,3.91,25.77
NEWDEGATE RESEARCH STATION,27/02/2016,9.1,0.0, ,39.6,15.6,79,19,4.86,22.80
NEWDEGATE RESEARCH STATION,28/02/2016,9.3,8.6, ,36.2,20.1,83,21,6.69,24.75
NEWDEGATE RESEARCH STATION,29/02/2016,8.4,0.2, ,35.0,13.3,91,14,5.04,24.28
Totals:,,198.7,12.8, ,,,,,, 
